time,datetime_str,open,high,low,close,tick_volume,spread,real_volume
1651463100,2022-05-02 03:45:00,1893.98,1894.25,1888.84,1890.44,1201,25,0
1651464000,2022-05-02 04:00:00,1890.44,1892.1,1890.44,1891.1,961,25,0
1651464900,2022-05-02 04:15:00,1891.06,1892.18,1890.71,1892.08,782,25,0
1651465800,2022-05-02 04:30:00,1892.07,1892.57,1891.56,1892.16,551,25,0
1651466700,2022-05-02 04:45:00,1892.15,1892.2,1889.83,1890.07,652,25,0
1651467600,2022-05-02 05:00:00,1890.06,1891.63,1887.86,1888.63,952,25,0
1651468500,2022-05-02 05:15:00,1888.68,1888.83,1884.22,1886.07,938,25,0
1651469400,2022-05-02 05:30:00,1886.23,1889.02,1886.21,1888.85,862,25,0
1651470300,2022-05-02 05:45:00,1888.84,1888.85,1887.5,1887.77,501,25,0
1651471200,2022-05-02 06:00:00,1887.76,1889.33,1886.59,1888.15,763,25,0
1651472100,2022-05-02 06:15:00,1888.17,1889.11,1887.53,1887.61,534,25,0
1651473000,2022-05-02 06:30:00,1887.6,1889.18,1887.29,1889.13,579,25,0
1651473900,2022-05-02 06:45:00,1889.11,1889.22,1888.35,1888.55,406,25,0
1651474800,2022-05-02 07:00:00,1888.54,1888.54,1885.96,1886.85,671,25,0
1651475700,2022-05-02 07:15:00,1886.85,1887.69,1884.78,1885.42,683,25,0
1651476600,2022-05-02 07:30:00,1885.43,1886.31,1883.76,1886.17,803,25,0
1651477500,2022-05-02 07:45:00,1886.17,1886.89,1885.38,1885.51,540,25,0
1651478400,2022-05-02 08:00:00,1885.3,1885.3,1882.68,1882.85,706,25,0
1651479300,2022-05-02 08:15:00,1882.85,1883.81,1882.68,1883.7,537,25,0
1651480200,2022-05-02 08:30:00,1883.7,1887.01,1883.11,1884.81,784,25,0
1651481100,2022-05-02 08:45:00,1884.8,1886.94,1884.79,1885.82,711,25,0
1651482000,2022-05-02 09:00:00,1885.76,1886.06,1883.13,1885.06,935,25,0
1651482900,2022-05-02 09:15:00,1884.98,1887.38,1883.61,1886.6,925,25,0
1651483800,2022-05-02 09:30:00,1886.6,1886.91,1885.41,1885.41,1060,25,0
1651484700,2022-05-02 09:45:00,1885.4,1887.7,1885.09,1887.14,1337,25,0
1651485600,2022-05-02 10:00:00,1887.15,1887.34,1884.09,1884.19,1361,25,0
1651486500,2022-05-02 10:15:00,1884.09,1886.2,1882.98,1886.2,1111,25,0
1651487400,2022-05-02 10:30:00,1886.1,1886.29,1884.58,1885.44,903,25,0
1651488300,2022-05-02 10:45:00,1885.44,1885.79,1884.1,1884.21,916,25,0
1651489200,2022-05-02 11:00:00,1884.13,1885.47,1883.42,1884.58,1231,25,0
1651490100,2022-05-02 11:15:00,1884.56,1884.69,1881.04,1882.15,1113,25,0
1651491000,2022-05-02 11:30:00,1882.14,1882.47,1879.32,1880.15,1325,25,0
1651491900,2022-05-02 11:45:00,1880.17,1881.75,1879.49,1879.75,1193,25,0
1651492800,2022-05-02 12:00:00,1879.75,1879.93,1876.69,1879.48,1096,25,0
1651493700,2022-05-02 12:15:00,1879.48,1880.44,1878.77,1879.99,899,25,0
1651494600,2022-05-02 12:30:00,1880.0,1880.26,1878.91,1879.51,1041,25,0
1651495500,2022-05-02 12:45:00,1879.53,1881.23,1879.36,1880.72,680,25,0
1651496400,2022-05-02 13:00:00,1880.67,1880.78,1877.93,1878.72,1031,25,0
1651497300,2022-05-02 13:15:00,1878.74,1878.83,1877.18,1878.05,916,25,0
1651498200,2022-05-02 13:30:00,1878.06,1879.52,1877.31,1878.88,1161,25,0
1651499100,2022-05-02 13:45:00,1878.87,1882.22,1878.86,1882.07,1102,25,0
1651500000,2022-05-02 14:00:00,1882.05,1882.31,1878.89,1879.42,1310,25,0
1651500900,2022-05-02 14:15:00,1879.39,1879.97,1877.61,1879.54,1053,25,0
1651501800,2022-05-02 14:30:00,1879.36,1879.74,1875.84,1876.45,1161,25,0
1651502700,2022-05-02 14:45:00,1876.47,1877.24,1875.74,1875.98,1522,25,0
1651503600,2022-05-02 15:00:00,1875.95,1876.57,1873.11,1873.93,1869,25,0
1651504500,2022-05-02 15:15:00,1873.93,1876.26,1869.31,1874.19,1949,25,0
1651505400,2022-05-02 15:30:00,1874.19,1874.2,1864.85,1865.26,2704,25,0
1651506300,2022-05-02 15:45:00,1865.16,1866.38,1860.51,1861.49,2566,25,0
1651507200,2022-05-02 16:00:00,1861.38,1863.46,1859.34,1863.05,2258,25,0
1651508100,2022-05-02 16:15:00,1863.14,1864.5,1860.98,1861.04,2225,25,0
1651509000,2022-05-02 16:30:00,1861.0,1861.46,1856.57,1857.76,3178,25,0
1651509900,2022-05-02 16:45:00,1857.76,1859.09,1854.35,1858.06,3062,25,0
1651510800,2022-05-02 17:00:00,1858.95,1861.3,1857.77,1860.25,3049,25,0
1651511700,2022-05-02 17:15:00,1860.25,1863.95,1858.95,1863.32,2959,25,0
