time,open,high,low,close,tick_volume,spread,real_volume,dt,datetime_str
1404208800,101.442,101.51,101.428,101.506,1061,19,0,2014-07-01 10:00:00,2014-07-01 10:00:00
1404212400,101.504,101.533,101.487,101.513,1014,19,0,2014-07-01 11:00:00,2014-07-01 11:00:00
1404216000,101.514,101.582,101.51,101.571,932,18,0,2014-07-01 12:00:00,2014-07-01 12:00:00
1404219600,101.571,101.582,101.56,101.572,723,19,0,2014-07-01 13:00:00,2014-07-01 13:00:00
1404223200,101.571,101.571,101.502,101.513,692,19,0,2014-07-01 14:00:00,2014-07-01 14:00:00
1404226800,101.512,101.555,101.491,101.501,1031,19,0,2014-07-01 15:00:00,2014-07-01 15:00:00
1404230400,101.5,101.541,101.461,101.489,1318,19,0,2014-07-01 16:00:00,2014-07-01 16:00:00
1404234000,101.49,101.558,101.442,101.518,1938,19,0,2014-07-01 17:00:00,2014-07-01 17:00:00
1404237600,101.517,101.526,101.466,101.506,1106,19,0,2014-07-01 18:00:00,2014-07-01 18:00:00
1404241200,101.505,101.521,101.472,101.518,695,19,0,2014-07-01 19:00:00,2014-07-01 19:00:00
1404244800,101.518,101.55,101.504,101.524,751,19,0,2014-07-01 20:00:00,2014-07-01 20:00:00
1404248400,101.525,101.538,101.506,101.506,673,19,0,2014-07-01 21:00:00,2014-07-01 21:00:00
1404252000,101.507,101.547,101.503,101.531,584,19,0,2014-07-01 22:00:00,2014-07-01 22:00:00
1404255600,101.531,101.537,101.507,101.509,459,19,0,2014-07-01 23:00:00,2014-07-01 23:00:00
1404259200,101.508,101.551,101.508,101.541,557,20,0,2014-07-02 00:00:00,2014-07-02 00:00:00
1404262800,101.542,101.543,101.51,101.533,569,20,0,2014-07-02 01:00:00,2014-07-02 01:00:00
1404266400,101.532,101.57,101.53,101.543,492,19,0,2014-07-02 02:00:00,2014-07-02 02:00:00
1404270000,101.544,101.606,101.541,101.588,1028,19,0,2014-07-02 03:00:00,2014-07-02 03:00:00
1404273600,101.587,101.622,101.562,101.604,772,19,0,2014-07-02 04:00:00,2014-07-02 04:00:00
1404277200,101.604,101.641,101.594,101.596,581,19,0,2014-07-02 05:00:00,2014-07-02 05:00:00
1404280800,101.595,101.615,101.567,101.602,438,19,0,2014-07-02 06:00:00,2014-07-02 06:00:00
1404284400,101.603,101.605,101.578,101.589,473,20,0,2014-07-02 07:00:00,2014-07-02 07:00:00
1404288000,101.588,101.607,101.553,101.557,535,19,0,2014-07-02 08:00:00,2014-07-02 08:00:00
1404291600,101.558,101.562,101.5,101.518,625,19,0,2014-07-02 09:00:00,2014-07-02 09:00:00
1404295200,101.517,101.518,101.456,101.488,846,19,0,2014-07-02 10:00:00,2014-07-02 10:00:00
1404298800,101.489,101.513,101.456,101.464,911,19,0,2014-07-02 11:00:00,2014-07-02 11:00:00
1404302400,101.465,101.466,101.402,101.438,991,18,0,2014-07-02 12:00:00,2014-07-02 12:00:00
1404306000,101.436,101.455,101.421,101.447,496,19,0,2014-07-02 13:00:00,2014-07-02 13:00:00
1404309600,101.448,101.484,101.446,101.465,480,19,0,2014-07-02 14:00:00,2014-07-02 14:00:00
1404313200,101.464,101.728,101.458,101.695,2537,18,0,2014-07-02 15:00:00,2014-07-02 15:00:00
1404316800,101.696,101.774,101.681,101.767,1767,19,0,2014-07-02 16:00:00,2014-07-02 16:00:00
1404320400,101.766,101.775,101.726,101.749,1431,19,0,2014-07-02 17:00:00,2014-07-02 17:00:00
1404324000,101.751,101.767,101.733,101.751,927,19,0,2014-07-02 18:00:00,2014-07-02 18:00:00
1404327600,101.752,101.832,101.751,101.788,785,19,0,2014-07-02 19:00:00,2014-07-02 19:00:00
1404331200,101.79,101.832,101.769,101.827,624,19,0,2014-07-02 20:00:00,2014-07-02 20:00:00
1404334800,101.826,101.833,101.809,101.815,526,19,0,2014-07-02 21:00:00,2014-07-02 21:00:00
1404338400,101.814,101.815,101.758,101.773,458,19,0,2014-07-02 22:00:00,2014-07-02 22:00:00
1404342000,101.772,101.791,101.746,101.75,532,19,0,2014-07-02 23:00:00,2014-07-02 23:00:00
1404345600,101.751,101.79,101.749,101.762,600,20,0,2014-07-03 00:00:00,2014-07-03 00:00:00
1404349200,101.763,101.777,101.757,101.762,515,20,0,2014-07-03 01:00:00,2014-07-03 01:00:00
1404352800,101.762,101.835,101.759,101.823,582,19,0,2014-07-03 02:00:00,2014-07-03 02:00:00
1404356400,101.822,101.844,101.774,101.841,1195,19,0,2014-07-03 03:00:00,2014-07-03 03:00:00
1404360000,101.842,101.932,101.842,101.886,1505,19,0,2014-07-03 04:00:00,2014-07-03 04:00:00
1404363600,101.886,101.904,101.848,101.874,540,19,0,2014-07-03 05:00:00,2014-07-03 05:00:00
1404367200,101.875,101.877,101.832,101.85,351,19,0,2014-07-03 06:00:00,2014-07-03 06:00:00
1404370800,101.851,101.864,101.807,101.86,487,19,0,2014-07-03 07:00:00,2014-07-03 07:00:00
1404374400,101.861,101.892,101.853,101.868,527,20,0,2014-07-03 08:00:00,2014-07-03 08:00:00
1404378000,101.867,101.897,101.848,101.881,744,19,0,2014-07-03 09:00:00,2014-07-03 09:00:00
1404381600,101.88,101.934,101.863,101.913,976,18,0,2014-07-03 10:00:00,2014-07-03 10:00:00
1404385200,101.914,101.946,101.906,101.934,849,18,0,2014-07-03 11:00:00,2014-07-03 11:00:00
