Trade_ID,Bar_Index,Entry_Time,Date,Sub_Engine,Type,Entry_Price,Exit_Price,PnL_USD,Balance_USD
1,1455,2022-07-28 15:00:00,2022-07-28,EngineB_NYMomentumSurge,BUY,1744.49,1755.35,16.75,1016.75
2,1457,2022-07-28 17:00:00,2022-07-28,EngineE_VolSqueezeBreakout,BUY,1755.06,1767.82,16.78,1033.53
3,1457,2022-07-28 17:00:00,2022-07-28,EngineF_MACDHistAcceleration,BUY,1755.06,1768.71,16.65,1050.18
4,1662,2022-08-10 15:00:00,2022-08-10,EngineE_VolSqueezeBreakout,BUY,1797.2,1792.87,-8.4,1041.78
5,2541,2022-10-03 22:00:00,2022-10-03,EngineF_MACDHistAcceleration,BUY,1700.55,1717.06,16.89,1058.67
6,3185,2022-11-10 22:00:00,2022-11-10,EngineF_MACDHistAcceleration,BUY,1755.51,1747.55,-8.47,1050.2
7,3196,2022-11-11 10:00:00,2022-11-11,EngineA_LondonExpansion,BUY,1765.23,1759.49,-8.4,1041.8
8,3196,2022-11-11 10:00:00,2022-11-11,EngineE_VolSqueezeBreakout,BUY,1765.23,1759.49,-8.33,1033.47
9,3196,2022-11-11 10:00:00,2022-11-11,EngineF_MACDHistAcceleration,BUY,1765.23,1758.94,-8.27,1025.2
10,3502,2022-11-30 22:00:00,2022-11-30,EngineE_VolSqueezeBreakout,BUY,1769.77,1783.35,16.96,1042.16
11,3502,2022-11-30 22:00:00,2022-11-30,EngineF_MACDHistAcceleration,BUY,1769.77,1784.3,16.83,1058.99
12,3616,2022-12-07 21:00:00,2022-12-07,EngineF_MACDHistAcceleration,BUY,1789.74,1783.51,-8.47,1050.52
13,4073,2023-01-06 18:00:00,2023-01-06,EngineE_VolSqueezeBreakout,BUY,1863.33,1876.77,17.37,1067.89
14,4073,2023-01-06 18:00:00,2023-01-06,EngineF_MACDHistAcceleration,BUY,1863.33,1877.71,17.24,1085.13
15,4162,2023-01-12 15:00:00,2023-01-12,EngineB_NYMomentumSurge,BUY,1899.44,1894.11,-8.68,1076.45
16,4162,2023-01-12 15:00:00,2023-01-12,EngineE_VolSqueezeBreakout,BUY,1899.44,1894.11,-8.61,1067.84
17,4162,2023-01-12 15:00:00,2023-01-12,EngineF_MACDHistAcceleration,BUY,1899.44,1893.6,-8.54,1059.29
18,4187,2023-01-13 17:00:00,2023-01-13,EngineE_VolSqueezeBreakout,BUY,1913.52,1926.76,17.51,1076.8
19,4187,2023-01-13 17:00:00,2023-01-13,EngineF_MACDHistAcceleration,BUY,1913.52,1927.68,17.37,1094.17
20,5131,2023-03-13 21:00:00,2023-03-13,EngineE_VolSqueezeBreakout,BUY,1913.15,1903.32,-8.75,1085.42
21,5131,2023-03-13 21:00:00,2023-03-13,EngineF_MACDHistAcceleration,BUY,1913.15,1902.36,-8.68,1076.74
22,5960,2023-05-03 23:00:00,2023-05-03,EngineF_MACDHistAcceleration,BUY,2045.0,2062.29,17.48,1094.22
23,7098,2023-07-12 17:00:00,2023-07-12,EngineE_VolSqueezeBreakout,BUY,1957.55,1952.26,-8.75,1085.46
24,7098,2023-07-12 17:00:00,2023-07-12,EngineF_MACDHistAcceleration,BUY,1957.55,1951.76,-8.68,1076.78
25,7109,2023-07-13 05:00:00,2023-07-13,EngineF_MACDHistAcceleration,BUY,1959.94,1954.31,-8.61,1068.17
26,7189,2023-07-18 16:00:00,2023-07-18,EngineB_NYMomentumSurge,BUY,1971.12,1980.65,17.77,1085.94
27,8638,2023-10-13 18:00:00,2023-10-13,EngineE_VolSqueezeBreakout,BUY,1922.89,1916.08,-8.69,1077.25
28,8638,2023-10-13 18:00:00,2023-10-13,EngineF_MACDHistAcceleration,BUY,1922.89,1915.42,-8.62,1068.64
29,8703,2023-10-18 14:00:00,2023-10-18,EngineB_NYMomentumSurge,BUY,1946.06,1955.73,17.8,1086.43
30,8703,2023-10-18 14:00:00,2023-10-18,EngineE_VolSqueezeBreakout,BUY,1946.06,1955.51,17.68,1104.11
31,8703,2023-10-18 14:00:00,2023-10-18,EngineF_MACDHistAcceleration,BUY,1946.06,1956.17,17.56,1121.67
32,8733,2023-10-19 21:00:00,2023-10-19,EngineE_VolSqueezeBreakout,BUY,1972.97,1985.34,18.49,1140.16
33,8733,2023-10-19 21:00:00,2023-10-19,EngineF_MACDHistAcceleration,BUY,1972.97,1986.2,18.35,1158.51
34,9245,2023-11-21 04:00:00,2023-11-21,EngineF_MACDHistAcceleration,BUY,1990.6,1985.45,-9.27,1149.24
35,9370,2023-11-28 19:00:00,2023-11-28,EngineE_VolSqueezeBreakout,BUY,2040.56,2050.21,18.72,1167.96
36,9370,2023-11-28 19:00:00,2023-11-28,EngineF_MACDHistAcceleration,BUY,2040.56,2050.88,18.6,1186.56
37,9781,2023-12-22 16:00:00,2023-12-22,EngineB_NYMomentumSurge,BUY,2068.3,2063.55,-9.49,1177.07
38,9838,2023-12-28 04:00:00,2023-12-28,EngineC_AsianBreakout,BUY,2087.82,2082.73,-9.42,1167.65
39,9838,2023-12-28 04:00:00,2023-12-28,EngineE_VolSqueezeBreakout,BUY,2087.82,2082.73,-9.34,1158.31
40,9838,2023-12-28 04:00:00,2023-12-28,EngineF_MACDHistAcceleration,BUY,2087.82,2082.24,-9.27,1149.04
41,10858,2024-02-29 16:00:00,2024-02-29,EngineB_NYMomentumSurge,BUY,2047.64,2043.8,-9.19,1139.85
42,10878,2024-03-01 13:00:00,2024-03-01,EngineB_NYMomentumSurge,BUY,2055.26,2051.63,-9.12,1130.73
43,10878,2024-03-01 13:00:00,2024-03-01,EngineD_EuroOverlapExpansion,BUY,2055.26,2051.63,-9.05,1121.69
44,10878,2024-03-01 13:00:00,2024-03-01,EngineE_VolSqueezeBreakout,BUY,2055.26,2051.63,-8.97,1112.71
45,10878,2024-03-01 13:00:00,2024-03-01,EngineF_MACDHistAcceleration,BUY,2055.26,2051.29,-8.9,1103.81
46,11296,2024-03-27 16:00:00,2024-03-27,EngineB_NYMomentumSurge,BUY,2193.36,2207.32,18.69,1122.5
47,12921,2024-07-05 15:00:00,2024-07-05,EngineB_NYMomentumSurge,BUY,2371.98,2382.88,18.81,1141.31
48,12921,2024-07-05 15:00:00,2024-07-05,EngineE_VolSqueezeBreakout,BUY,2371.98,2382.64,18.69,1160.0
49,12921,2024-07-05 15:00:00,2024-07-05,EngineF_MACDHistAcceleration,BUY,2371.98,2383.38,18.55,1178.55
50,13014,2024-07-11 16:00:00,2024-07-11,EngineB_NYMomentumSurge,BUY,2406.54,2420.88,19.98,1198.53
51,13612,2024-08-16 16:00:00,2024-08-16,EngineB_NYMomentumSurge,BUY,2494.31,2487.12,-9.59,1188.94
52,13612,2024-08-16 16:00:00,2024-08-16,EngineE_VolSqueezeBreakout,BUY,2494.31,2487.12,-9.51,1179.43
53,13612,2024-08-16 16:00:00,2024-08-16,EngineF_MACDHistAcceleration,BUY,2494.31,2486.43,-9.44,1169.99
54,14052,2024-09-12 21:00:00,2024-09-12,EngineF_MACDHistAcceleration,BUY,2555.81,2575.49,19.06,1189.06
55,14058,2024-09-13 04:00:00,2024-09-13,EngineC_AsianBreakout,BUY,2563.09,2581.03,19.41,1208.46
56,14058,2024-09-13 04:00:00,2024-09-13,EngineE_VolSqueezeBreakout,BUY,2563.09,2581.46,20.19,1228.66
57,14058,2024-09-13 04:00:00,2024-09-13,EngineF_MACDHistAcceleration,BUY,2563.09,2582.74,20.02,1248.68
58,14073,2024-09-13 19:00:00,2024-09-13,EngineE_VolSqueezeBreakout,BUY,2584.18,2577.74,-9.99,1238.69
59,14073,2024-09-13 19:00:00,2024-09-13,EngineF_MACDHistAcceleration,BUY,2584.18,2577.13,-9.91,1228.78
60,14588,2024-10-16 05:00:00,2024-10-16,EngineC_AsianBreakout,BUY,2667.92,2680.63,19.82,1248.6
61,14695,2024-10-22 20:00:00,2024-10-22,EngineE_VolSqueezeBreakout,BUY,2746.65,2739.47,-9.99,1238.61
62,14695,2024-10-22 20:00:00,2024-10-22,EngineF_MACDHistAcceleration,BUY,2746.65,2738.78,-9.91,1228.71
63,14698,2024-10-22 23:00:00,2024-10-22,EngineF_MACDHistAcceleration,BUY,2748.47,2741.23,-9.83,1218.88
64,15228,2024-11-25 01:00:00,2024-11-25,EngineF_MACDHistAcceleration,BUY,2719.51,2708.12,-9.75,1209.12
65,15515,2024-12-11 16:00:00,2024-12-11,EngineE_VolSqueezeBreakout,BUY,2706.27,2696.84,-9.67,1199.45
66,16031,2025-01-15 23:00:00,2025-01-15,EngineF_MACDHistAcceleration,BUY,2695.15,2709.63,19.36,1218.82
67,16115,2025-01-21 17:00:00,2025-01-21,EngineE_VolSqueezeBreakout,BUY,2738.67,2753.38,20.22,1239.04
68,16115,2025-01-21 17:00:00,2025-01-21,EngineF_MACDHistAcceleration,BUY,2738.67,2754.41,20.06,1259.1
69,16275,2025-01-30 16:00:00,2025-01-30,EngineB_NYMomentumSurge,BUY,2787.65,2798.38,21.08,1280.18
70,16275,2025-01-30 16:00:00,2025-01-30,EngineE_VolSqueezeBreakout,BUY,2787.65,2798.13,20.95,1301.13
71,16275,2025-01-30 16:00:00,2025-01-30,EngineF_MACDHistAcceleration,BUY,2787.65,2798.87,20.8,1321.92
72,16320,2025-02-03 15:00:00,2025-02-03,EngineB_NYMomentumSurge,BUY,2810.88,2827.62,22.53,1344.45
73,16320,2025-02-03 15:00:00,2025-02-03,EngineE_VolSqueezeBreakout,BUY,2810.88,2827.24,22.39,1366.84
74,16377,2025-02-06 03:00:00,2025-02-06,EngineC_AsianBreakout,BUY,2871.48,2863.06,-10.93,1355.9
75,16645,2025-02-21 20:00:00,2025-02-21,EngineE_VolSqueezeBreakout,BUY,2941.78,2933.49,-10.85,1345.05
76,16653,2025-02-24 05:00:00,2025-02-24,EngineC_AsianBreakout,BUY,2940.92,2932.02,-10.76,1334.29
77,17191,2025-03-27 13:00:00,2025-03-27,EngineB_NYMomentumSurge,BUY,3054.5,3047.71,-10.67,1323.62
78,17231,2025-03-31 08:00:00,2025-03-31,EngineF_MACDHistAcceleration,BUY,3116.51,3105.44,-10.59,1313.03
79,17510,2025-04-16 11:00:00,2025-04-16,EngineD_EuroOverlapExpansion,BUY,3306.9,3294.06,-10.5,1302.53
80,17510,2025-04-16 11:00:00,2025-04-16,EngineE_VolSqueezeBreakout,BUY,3306.9,3294.06,-10.42,1292.11
81,17510,2025-04-16 11:00:00,2025-04-16,EngineF_MACDHistAcceleration,BUY,3306.9,3335.87,21.23,1313.34
82,17513,2025-04-16 14:00:00,2025-04-16,EngineB_NYMomentumSurge,BUY,3306.65,3337.74,22.71,1336.05
83,17514,2025-04-16 15:00:00,2025-04-16,EngineB_NYMomentumSurge,BUY,3307.23,3338.05,23.1,1359.15
84,17515,2025-04-16 16:00:00,2025-04-16,EngineB_NYMomentumSurge,BUY,3311.56,3343.36,23.51,1382.66
85,17814,2025-05-06 16:00:00,2025-05-06,EngineB_NYMomentumSurge,BUY,3391.6,3428.63,23.98,1406.64
86,18433,2025-06-12 16:00:00,2025-06-12,EngineB_NYMomentumSurge,BUY,3391.9,3422.74,24.32,1430.97
87,18433,2025-06-12 16:00:00,2025-06-12,EngineE_VolSqueezeBreakout,BUY,3391.9,3422.04,24.18,1455.15
88,18433,2025-06-12 16:00:00,2025-06-12,EngineF_MACDHistAcceleration,BUY,3391.9,3424.14,23.95,1479.1
89,19048,2025-07-21 16:00:00,2025-07-21,EngineB_NYMomentumSurge,BUY,3388.46,3405.03,25.2,1504.3
90,19698,2025-08-28 22:00:00,2025-08-28,EngineE_VolSqueezeBreakout,BUY,3421.87,3414.31,-12.03,1492.26
91,19698,2025-08-28 22:00:00,2025-08-28,EngineF_MACDHistAcceleration,BUY,3421.87,3413.58,-11.94,1480.32
92,19718,2025-08-29 19:00:00,2025-08-29,EngineE_VolSqueezeBreakout,BUY,3448.95,3441.76,-11.84,1468.48
93,19718,2025-08-29 19:00:00,2025-08-29,EngineF_MACDHistAcceleration,BUY,3448.95,3441.06,-11.75,1456.73
94,19763,2025-09-02 20:00:00,2025-09-02,EngineE_VolSqueezeBreakout,BUY,3529.23,3555.01,24.54,1481.28
95,19763,2025-09-02 20:00:00,2025-09-02,EngineF_MACDHistAcceleration,BUY,3529.23,3556.8,24.32,1505.59
96,20084,2025-09-22 19:00:00,2025-09-22,EngineE_VolSqueezeBreakout,BUY,3736.96,3758.67,25.27,1530.86
97,20084,2025-09-22 19:00:00,2025-09-22,EngineF_MACDHistAcceleration,BUY,3736.96,3760.19,25.04,1555.91
98,20086,2025-09-22 21:00:00,2025-09-22,EngineF_MACDHistAcceleration,BUY,3747.5,3770.1,25.44,1581.35
99,20103,2025-09-23 15:00:00,2025-09-23,EngineB_NYMomentumSurge,BUY,3784.18,3772.98,-12.65,1568.7
100,20313,2025-10-06 18:00:00,2025-10-06,EngineE_VolSqueezeBreakout,BUY,3962.39,3948.38,-12.55,1556.15
101,20313,2025-10-06 18:00:00,2025-10-06,EngineF_MACDHistAcceleration,BUY,3962.39,3947.0,-12.45,1543.7
102,20935,2025-11-12 19:00:00,2025-11-12,EngineE_VolSqueezeBreakout,BUY,4199.21,4182.91,-12.35,1531.35
103,20935,2025-11-12 19:00:00,2025-11-12,EngineF_MACDHistAcceleration,BUY,4199.21,4181.3,-12.25,1519.1
104,20936,2025-11-12 20:00:00,2025-11-12,EngineE_VolSqueezeBreakout,BUY,4206.77,4189.62,-12.15,1506.94
105,20936,2025-11-12 20:00:00,2025-11-12,EngineF_MACDHistAcceleration,BUY,4206.77,4187.92,-12.06,1494.89
106,21149,2025-11-26 03:00:00,2025-11-26,EngineC_AsianBreakout,BUY,4148.25,4182.06,24.73,1519.62
107,21560,2025-12-22 04:00:00,2025-12-22,EngineF_MACDHistAcceleration,BUY,4385.86,4413.69,24.95,1544.57
108,21583,2025-12-23 04:00:00,2025-12-23,EngineC_AsianBreakout,BUY,4493.23,4479.47,-12.36,1532.21
109,21583,2025-12-23 04:00:00,2025-12-23,EngineE_VolSqueezeBreakout,BUY,4493.23,4479.47,-12.26,1519.95
110,21583,2025-12-23 04:00:00,2025-12-23,EngineF_MACDHistAcceleration,BUY,4493.23,4478.12,-12.16,1507.79
111,21622,2025-12-26 08:00:00,2025-12-26,EngineA_LondonExpansion,BUY,4511.53,4549.03,24.98,1532.78
112,21622,2025-12-26 08:00:00,2025-12-26,EngineE_VolSqueezeBreakout,BUY,4511.53,4549.92,26.0,1558.78
113,21988,2026-01-20 19:00:00,2026-01-20,EngineE_VolSqueezeBreakout,BUY,4758.9,4796.89,26.44,1585.21
114,21988,2026-01-20 19:00:00,2026-01-20,EngineF_MACDHistAcceleration,BUY,4758.9,4799.54,26.18,1611.39
115,21997,2026-01-21 05:00:00,2026-01-21,EngineC_AsianBreakout,BUY,4844.73,4822.28,-12.89,1598.5
116,21997,2026-01-21 05:00:00,2026-01-21,EngineE_VolSqueezeBreakout,BUY,4844.73,4822.28,-12.79,1585.71
117,21997,2026-01-21 05:00:00,2026-01-21,EngineF_MACDHistAcceleration,BUY,4844.73,4820.06,-12.69,1573.03
118,22063,2026-01-26 02:00:00,2026-01-26,EngineC_AsianBreakout,BUY,5041.57,5091.86,26.15,1599.18
119,22063,2026-01-26 02:00:00,2026-01-26,EngineE_VolSqueezeBreakout,BUY,5041.57,5093.06,27.22,1626.4
120,22063,2026-01-26 02:00:00,2026-01-26,EngineF_MACDHistAcceleration,BUY,5041.57,5096.65,26.95,1653.35
121,22112,2026-01-28 05:00:00,2026-01-28,EngineC_AsianBreakout,BUY,5234.86,5301.39,27.56,1680.91
122,22112,2026-01-28 05:00:00,2026-01-28,EngineE_VolSqueezeBreakout,BUY,5234.86,5302.97,28.69,1709.6
123,22112,2026-01-28 05:00:00,2026-01-28,EngineF_MACDHistAcceleration,BUY,5234.86,5307.72,28.39,1737.99
124,22117,2026-01-28 10:00:00,2026-01-28,EngineF_MACDHistAcceleration,BUY,5293.54,5259.86,-13.9,1724.09
125,22515,2026-02-20 19:00:00,2026-02-20,EngineE_VolSqueezeBreakout,BUY,5072.86,5126.64,29.36,1753.45
126,22515,2026-02-20 19:00:00,2026-02-20,EngineF_MACDHistAcceleration,BUY,5072.86,5130.4,29.07,1782.51
127,23234,2026-04-08 02:00:00,2026-04-08,EngineC_AsianBreakout,BUY,4833.3,4793.98,-14.26,1768.25
128,23234,2026-04-08 02:00:00,2026-04-08,EngineE_VolSqueezeBreakout,BUY,4833.3,4793.98,-14.15,1754.11
129,23234,2026-04-08 02:00:00,2026-04-08,EngineF_MACDHistAcceleration,BUY,4833.3,4790.07,-14.03,1740.07
130,23730,2026-05-07 15:00:00,2026-05-07,EngineB_NYMomentumSurge,BUY,4749.92,4730.52,-13.92,1726.15
