utc_hour,n_events,mean_5m_bps,median_5m_bps,win_rate_5m_pct
0,608,0.826712648748806,0.31418718906771087,53.61842105263158
1,9523,0.045243748690508546,0.03755953185881477,50.03675312401554
2,10803,0.03944007673493646,0.06208191708954326,50.56002962140146
3,12205,-0.024006092950942578,0.081753447951593,50.83162638263007
4,12156,-0.13948036760912144,0.04916482647694269,50.09871668311945
5,11176,0.019923957756807754,0.08080228409828004,50.88582677165354
6,10711,0.018098541983922134,0.0493576106967365,50.18205583045467
7,10997,0.07458225907764524,0.07698110883582165,50.81385832499773
8,12213,0.01198335143767928,0.09494917845214709,51.05215753705068
9,12487,-0.07284015847776777,0.05538171849467452,50.260270681508764
10,12625,0.025675572419488278,0.1012043315452981,50.716831683168316
11,11983,0.04915516154216751,0.21839306383609394,52.048735708920965
12,11680,0.10067716487115339,0.15166969489437154,51.48972602739727
13,11891,0.08403321622095963,0.18055038980730634,52.08140610545791
14,12204,0.11140219820816528,0.2661096200477914,52.39265814487053
15,13761,-0.0739809339568863,0.12028194086928848,50.67945643485212
16,13746,0.0503823735935059,0.20365251988863248,51.003928415539065
17,12871,0.01047941123448442,0.2659150135614239,51.74423121746562
18,12364,0.13012800619666814,0.3295765788850612,52.19184729860886
19,12214,0.13586568196815096,0.11098071100092284,50.92516784018339
20,12139,-0.01597955722990235,0.0,49.74050580772716
21,11488,-0.0359745758165402,0.09360534467520976,50.913997214484674
22,11672,0.11678089053114894,0.07524072935906242,50.762508567512
23,8114,0.04167708465178856,0.06248513801892277,50.76411141237368
