n,mean_bps,median_bps,win_rate_pct,std_bps,skew,p01_bps,p05_bps,p10_bps,p25_bps,p50_bps,p75_bps,p90_bps,p95_bps,p99_bps,adverse_es_5_bps,favorable_es_5_bps,factor,factor_value,events_total,exact_horizon_events,gap_contaminated_pct,mean_mfe_bps,mean_mae_bps
129675,0.0596786858376155,0.1536649080570236,51.45479082321187,6.175661883248122,-0.8835784584347347,-18.683919114745006,-8.80176339326435,-5.752277845451874,-2.3411561968654966,0.1536649080570236,2.719963243823065,5.948808619901328,8.644498595052308,16.24370944004665,-15.373813544794567,13.700793131253942,side,LONG,130296,129675,0.5103763737950517,3.793693176366295,4.003464765260431
140744,0.0017152002304496958,0.06656246015162831,50.5101460808276,5.7057984264563535,-0.45316417089373356,-16.34161793653858,-8.349863343129982,-5.635872035839375,-2.409781109954302,0.06656246015162831,2.5385410260808086,5.5988945862947945,8.125556584521943,15.397626168350493,-13.789513819681728,12.954821286268595,side,SHORT,141335,140744,0.4641454699826686,3.6181710051435725,3.726431131876136
122748,0.040451204740386125,0.06708797928453201,50.56131260794473,4.800219775545746,-0.30213958403711794,-13.47843344772623,-7.097232079489516,-4.836711271839638,-2.105094165954591,0.06708797928453201,2.282818898475094,4.902128948927868,7.028773487144534,12.911140499982988,-11.451604343659863,10.930071405555703,energy_state,E0,123471,122748,0.6438758898850705,3.099102960948878,3.1766248522289597
94003,0.06599549861751969,0.1125061878402289,51.07709328425688,6.183850023426398,-0.4367492413926634,-17.937704181513404,-8.956751216679002,-5.969171555119532,-2.5053618557365094,0.1125061878402289,2.7925693253744353,6.143179390383896,8.954037001846986,16.63563323873253,-15.020158618617936,14.05630532756495,energy_state,E1,94375,94003,0.4238410596026476,3.9440801137424337,4.045763339451489
44029,-0.025572730669309197,0.20134228187901151,51.72045697154148,7.129594418434979,-0.7907740284364413,-21.81994202121833,-10.638557144091202,-7.0424604861381965,-2.8454188756110845,0.20134228187901151,3.1760474518647768,6.949340310943853,9.904465871427675,18.308347548801354,-18.058070686533455,15.52104208854501,energy_state,E2,44146,44029,0.28541657228288164,4.43618818445935,4.785512205592475
9639,-0.21401596121479458,0.2576283762196361,51.509492685963274,9.479402672097532,-1.4406095765778824,-29.524517350584855,-14.355703772095909,-9.485378153511515,-3.865832680218145,0.2576283762196361,4.157800363384473,8.61164693623389,12.405747379919786,23.35513369820582,-24.585821751009142,19.754977408528884,energy_state,E3,9639,9639,0.0,5.671691209868401,6.499559985424178
249051,0.028346356200362927,0.09740749940329048,50.84621222159317,5.809722135428245,-0.6909222614282815,-17.029735007945337,-8.376320909594483,-5.583595178401241,-2.349972432301894,0.09740749940329048,2.5770514440949377,5.666559905393535,8.251990772246547,15.51835403153395,-14.18666390495189,13.058574658813809,location_state,L0,250215,249051,0.5063645265072081,3.637494659823931,3.777809395191337
20123,0.055870831949298067,0.2407569398185713,52.25860955125975,7.165797205183026,-0.5377097839376286,-21.972092223943555,-10.553244987923296,-6.909604350046883,-2.7184936633944004,0.2407569398185713,3.20593430788296,6.842426402356975,10.010309066452631,18.358364783661354,-17.997541834677445,15.92783804604499,location_state,L1,20171,20123,0.2677110703485197,4.42162208330592,4.756901237828468
1245,-0.16364609007639205,0.3268792834803133,53.41365461847389,8.431432313186807,-1.4049246539943647,-26.378793843021327,-13.147987400959058,-8.26985841250013,-3.0950078119186477,0.3268792834803133,3.6772817533295146,7.47448480850309,11.434451665294358,20.173458084819334,-23.17177793006992,17.30112253860439,location_state,L2,1245,1245,0.0,5.047491529653537,5.6474463222407145
67544,0.028577800834910284,0.07897334698802606,50.71656993959493,5.725016346950946,-0.33637794230924983,-16.547810523040145,-8.314229789767397,-5.549022218799415,-2.3347995306468188,0.07897334698802606,2.5375717146715933,5.579490190824644,8.06640417377073,15.466888811635137,-13.838126957182066,13.05489251264195,path_efficiency_quartile,Q1,67908,67544,0.578724156211341,3.597334088877376,3.7186587567390252
67600,0.06630504049449445,0.10854794324734021,51.03254437869823,5.808111379526432,-0.20526781627700463,-17.00287386336455,-8.327991703782631,-5.555855137181591,-2.3501676619578546,0.10854794324734021,2.600776167622445,5.689519044239122,8.369218707214255,15.730732936593908,-14.035205152724542,13.261134057430397,path_efficiency_quartile,Q2,67908,67600,0.5065677092536913,3.6614158187338353,3.7841780440974535
67632,0.04539964575327708,0.11057604639780097,51.06014904187367,5.918700841780247,-0.7656536176021348,-17.527988461458172,-8.501561501886782,-5.702972157925502,-2.3751771280608813,0.11057604639780097,2.6518076096990737,5.845818798638579,8.498960998712839,15.737294553476042,-14.482466684023432,13.274461631821133,path_efficiency_quartile,Q3,67907,67632,0.4388354661522431,3.7278961158471824,3.8639282124858534
