n,mean_bps,median_bps,win_rate_pct,std_bps,skew,p01_bps,p05_bps,p10_bps,p25_bps,p50_bps,p75_bps,p90_bps,p95_bps,p99_bps,adverse_es_5_bps,favorable_es_5_bps,location_state,energy_state,mean_mfe_bps,mean_mae_bps,reaccepted_within_5m_pct
115240,0.04235786290797634,0.0635120402012436,50.53540437348143,4.761262557866876,-0.2737585114971855,-13.289489505284811,-7.0244481219274055,-4.801372754793969,-2.0963042184320813,0.0635120402012436,2.26548797611438,4.8696109855498015,6.9807839732578225,12.798518106262945,-11.306940625515255,10.863939597325508,L0,E0,3.077027169743353,3.142773031178653,56.20218225729935
86054,0.0643056133011982,0.10598507877455883,50.930810886187736,6.05692061211682,-0.32497397816332235,-17.530754228673562,-8.757207285580005,-5.85738291922994,-2.485442686952485,0.10598507877455883,2.736954704540809,6.058617932273529,8.805729446965278,16.311853716007292,-14.662131826702714,13.821821159628985,L0,E1,3.873872140280945,3.9638711556118205,55.398946942081814
39340,-0.04209358350788835,0.16550903146827,51.469242501270976,6.930581222330307,-1.032807600357875,-21.14007943391409,-10.40799637342893,-6.864813055829644,-2.794025674749234,0.16550903146827,3.099762343384769,6.758989860220646,9.687745997584617,17.72273060804625,-17.594646745068815,15.002348803591348,L0,E2,4.337016941178243,4.673381037528222,54.474244575136886
8417,-0.20190393670899254,0.22964353582131222,51.32470001188072,9.417563455457078,-1.442031927389609,-28.800801893624513,-14.025496043228017,-9.36531471901833,-3.8378117495192954,0.22964353582131222,4.105518791447617,8.455885501744946,12.221158205935911,23.243805013883037,-24.174847102542397,19.77751192264545,L0,E3,5.6216824988504746,6.380474016535891,54.021622906023524
7196,0.005121057421314576,0.0885076012604638,50.76431350750417,5.363286195314898,-0.5806705348344484,-16.058219951175356,-8.265501913972045,-5.444432425561777,-2.3030796234840056,0.0885076012604638,2.534710644796334,5.371256826205385,7.689071930820956,14.7192719059838,-13.445047755131396,11.903621857797914,L1,E0,3.438273057893324,3.6969594463066837,53.875968992248055
7475,0.0918735741819863,0.28118163771407495,52.73578595317726,7.405315518703583,-1.0608771665402126,-22.171495362005448,-10.988722673565055,-7.158871451285832,-2.811652239042266,0.28118163771407495,3.3718119133030573,7.0410665599994875,10.258582849900607,18.5564010497016,-18.42808840387009,16.345923619608822,L1,E1,4.6709427151762855,4.89879383991264,52.057173390328614
4340,0.1595875030263879,0.45533952847362413,53.894009216589865,8.44731485414377,0.5122071831874272,-24.593854496481732,-12.986809413277754,-8.314688328104168,-3.412329339106878,0.45533952847362413,3.9353404364319577,8.282009946815766,12.048984906132922,21.366111731124064,-20.625732326680712,19.132852374635686,L1,E2,5.219721855559567,5.640156057454195,50.12646585421936
1112,-0.26252437772745135,0.40323316462061365,52.33812949640287,9.795564016697345,-1.4041216496029132,-30.993740186794607,-16.308102541602448,-10.398695893383836,-4.049832944687634,0.40323316462061365,4.595699558134843,9.703225561924068,13.604213948593097,23.941662649284257,-26.423055156499238,19.310507949090848,L1,E3,5.992756567134142,7.213155939883449,49.19064748201439
312,0.15106804087802309,0.27707291630615655,55.44871794871795,5.364273246161746,-1.0175076641775105,-18.93598420215295,-7.900860335630473,-5.223174717727558,-1.7876009289663,0.27707291630615655,2.986342791714392,5.205268080379172,7.493970004172195,13.356318911599528,-14.653162531982655,11.126808219232508,L2,E0,3.4287197609813402,3.6765650669207464,48.717948717948715
474,-0.035306661369098026,0.20679307851785836,51.47679324894515,7.665986935477033,-1.3317995469916661,-21.012099609059764,-11.812187741182337,-8.35037320617895,-3.232435002767602,0.20679307851785836,3.592379303315951,7.837032709994529,11.115678152408709,18.038713688065588,-18.757647825959495,16.236944110468905,L2,E1,5.226795979627946,5.459948701081925,51.0548523206751
349,-0.4658737724160749,0.5033016588829542,53.00859598853869,10.528856289643027,-1.135664788386452,-43.94107300629052,-17.538958539485613,-10.27971780347776,-3.649756129931016,0.5033016588829542,3.985175148447774,8.77832422555148,13.43580238162187,29.790462792334136,-30.192971056353535,21.089852138274303,L2,E2,5.871290596575734,6.797097962254839,46.13180515759313
110,-0.6504300621535337,1.2430088245675766,57.27272727272727,10.926710638025577,-1.5847743205167317,-36.91527436157738,-18.57535689317413,-12.188457939089735,-3.889665879178731,1.2430088245675766,4.293182264546578,9.158258671451199,13.1350331387494,20.92622785702131,-30.827290899240843,19.326050538886214,L2,E3,6.252587967671806,8.39799542882405,38.18181818181819
