horizon_min,state,n_events,pct_events
1,AT_LEVEL,3540,1.3032385846976229
1,BREAKOUT_SIDE,71999,26.50617933888253
1,GAP_CONTAMINATED,296,0.10897136188432102
1,SNAPBACK_SIDE,195796,72.08161071453553
3,AT_LEVEL,2350,0.8651442582032243
3,BREAKOUT_SIDE,90810,33.4313830159297
3,GAP_CONTAMINATED,773,0.2845772389749329
3,SNAPBACK_SIDE,177698,65.41889548689215
5,AT_LEVEL,1804,0.6641362731057943
5,BREAKOUT_SIDE,97894,36.03933277129636
5,GAP_CONTAMINATED,1212,0.4461935493371523
5,SNAPBACK_SIDE,170721,62.85033740626071
10,AT_LEVEL,1316,0.4844807845938055
10,BREAKOUT_SIDE,105760,38.93517308407362
10,GAP_CONTAMINATED,2198,0.809185991289654
10,SNAPBACK_SIDE,162357,59.77116014004292
15,AT_LEVEL,1092,0.40201597019485996
15,BREAKOUT_SIDE,108980,40.120604791058454
15,GAP_CONTAMINATED,3054,1.124319389171339
15,SNAPBACK_SIDE,158505,58.35305984957534
30,AT_LEVEL,721,0.26543362134660625
30,BREAKOUT_SIDE,114257,42.06331383384076
30,GAP_CONTAMINATED,5469,2.0133931694099716
30,SNAPBACK_SIDE,151184,55.657859375402666
