horizon_min,event_class,n,mean_in_candle_reversion_atr,median_in_candle_reversion_atr,mean_post_close_reversion_atr,median_post_close_reversion_atr,mean_total_reversion_atr,median_total_reversion_atr
1,ACCEPTED_BREAKOUT,343438,0.2392258354984576,0.14914555559781956,0.02722839098790789,0.03674362480090676,0.2664542264863655,0.263021421125515
1,FAILED_AUCTION,270969,0.7427967272689088,0.6351671387408074,-0.00035188279825423607,0.0,0.7424448444706546,0.6920739729259648
3,ACCEPTED_BREAKOUT,342868,0.23923752843249124,0.14919138842962965,0.05384143705495072,0.09433730338325264,0.293078965487442,0.3275422353201912
3,FAILED_AUCTION,270494,0.7423421186831883,0.6349877688210626,0.003878742353871443,0.021300867240579224,0.7462208610370598,0.7384640883908689
5,ACCEPTED_BREAKOUT,342296,0.23922755732950488,0.14919138842962965,0.0631071074741525,0.12957647379646747,0.3023346648036574,0.36694830125118083
5,FAILED_AUCTION,270055,0.7419640376869663,0.6346902719343624,0.009522799615642275,0.04634154251652656,0.7514868373026086,0.7711545021747666
10,ACCEPTED_BREAKOUT,340850,0.23910169445585647,0.1492846714507421,0.06561991955941043,0.17078552378581086,0.3047216140152669,0.405512871046634
10,FAILED_AUCTION,269075,0.7413369721623237,0.6344362583474135,0.01019726579905036,0.0739913279748623,0.7515342379613742,0.8013440157809364
15,ACCEPTED_BREAKOUT,339576,0.2392205653049648,0.1494849864457488,0.061311422181997074,0.20221202033577346,0.30053198748696186,0.4391793171383086
15,FAILED_AUCTION,268220,0.74109112367968,0.634352281863767,0.01252565464939265,0.10483946460883643,0.7536167783290726,0.8350072695852411
30,ACCEPTED_BREAKOUT,335878,0.23953238791642736,0.15000249181391667,0.06886709467894449,0.2437296672226647,0.30839948259537187,0.48088002367287375
30,FAILED_AUCTION,265806,0.7406200698204901,0.6340221836411193,0.019572052635903545,0.13440129542328372,0.7601921224563937,0.864998952791189
