horizon_min,reclaim_bin,n,mean_in_candle_reversion_atr,mean_post_close_reversion_atr,median_post_close_reversion_atr,post_close_positive_pct,mean_total_reversion_atr,median_total_reversion_atr,median_consumption_ratio
1,R0,255124,0.09165277360066386,0.029592155314358527,0.040547040152762295,51.6940781737508,0.12124492891502239,0.13943727887573432,0.14563106796103645
1,R1,140391,0.3668770672314331,0.012602640384116627,0.01664356550584417,50.32516329394334,0.3794797076155497,0.39134251448121304,0.573333333333115
1,R2,145876,0.7093741410894926,0.005703884771633119,0.0,49.02519948449368,0.7150780258611257,0.71370715781068,0.8354430379751134
1,R3,65793,1.3194769665291597,-0.012078084917676974,0.0,47.94583010350645,1.307398881611483,1.293877886774013,0.977777777777789
1,R4,7223,2.52693590766171,-0.013908065679080116,0.0,46.62882458812128,2.51302784198263,2.3955191299573833,1.0
3,R0,254695,0.09168935222027975,0.052800252556112176,0.09209006273132714,52.73130607196843,0.14448960477639194,0.189605882913212,0.08411214953263879
3,R1,140210,0.36686852459988134,0.034262816008372526,0.06591959217803538,51.914984665858356,0.40113134060825384,0.4365397425725758,0.3728813559321087
3,R2,145640,0.7093653182430727,0.013222943494767337,0.03270313137581743,50.6921175501236,0.7225882617378401,0.7459579407758676,0.6119402985078577
3,R3,65641,1.319203424040795,-0.007244939382414823,0.0,49.70216785240932,1.31195848465838,1.3193152607802472,0.8461538461538463
3,R4,7176,2.526300117810106,-0.026824387885280992,0.0,48.885172798216274,2.4994757299248254,2.456840643673682,0.9646538261322513
5,R0,254302,0.09170727402952306,0.06067118076214619,0.12080876423121026,52.9063868943225,0.15237845479166925,0.2173164747352819,0.06542056074740935
5,R1,140003,0.3668759303316586,0.04794904399387965,0.11111748730319448,52.69387084562474,0.4148249743255383,0.47995152440472433,0.30434782608764427
5,R2,145406,0.7093239750683733,0.019638792995966745,0.06355833482652631,51.38577500240705,0.72896276806434,0.7765170370305594,0.5172413793105206
5,R3,65503,1.3191221140742773,-0.009708403909020986,0.012628495279388474,50.072515762636826,1.3094137101652565,1.3291066560786238,0.7599999999999151
5,R4,7137,2.5257450370934067,-0.026410432870196874,0.0,49.13829340058848,2.4993346042232094,2.4639451923763165,0.9271642856035085
10,R0,253263,0.09177366006562815,0.06363395930721877,0.1612065757619346,52.872310602022395,0.15540761937284692,0.25614680971301396,0.04761904761899606
10,R1,139554,0.3668637365061086,0.05169083215757049,0.13496151193788458,52.52877022514583,0.41855456866367907,0.5037428765275822,0.2272727272726991
10,R2,144883,0.7092978761526469,0.020236184712844774,0.09740961799827763,51.67479966593734,0.7295340608654918,0.809658218999639,0.40000000000015157
10,R3,65173,1.3189158505445626,-0.015664777988257453,0.04507744618787801,50.63599957037424,1.3032510725563051,1.365079944325587,0.6333333333336113
10,R4,7052,2.52552142202447,-0.01848688657963681,0.01110318075580552,50.04254112308565,2.507034535444833,2.5057578842618153,0.8428284699706092
15,R0,252293,0.09185111553153873,0.06115321569349301,0.19177870836655264,52.851248350132586,0.15300433122503174,0.2867268422706274,0.03937007874012224
15,R1,139126,0.36686822561191246,0.052921487849149663,0.17405711245189304,52.63717781004269,0.41978971346106203,0.5421240149445337,0.19230769230752415
15,R2,144423,0.7093014150172505,0.019859408669528317,0.13336972517829257,51.970946455896915,0.7291608236867788,0.8418247489824537,0.344444444444436
15,R3,64940,1.318888559016417,-0.01787681258871794,0.06780400225247618,50.917770249461036,1.3010117464276993,1.3921811881596176,0.5648424087933159
15,R4,7014,2.52447395872805,-0.04548043132210497,0.050961038815453885,50.61305959509552,2.4789935274059443,2.5629553082533847,0.783296694966596
30,R0,249439,0.09206990239578557,0.07014819846495267,0.22638604165851361,52.422035046644666,0.1622181008607382,0.32180975986809546,0.028368794326213687
30,R1,137932,0.36686571125374046,0.06625797627536001,0.19578604860936094,52.154684917205586,0.43312368752910047,0.5643162171476377,0.14117647058835173
30,R2,143118,0.709299191733764,0.023295855834915738,0.168424758537981,51.7335345658827,0.7325950475686798,0.8776404431767327,0.25862068965516566
30,R3,64266,1.3186420667944352,-0.018070014371267217,0.12608292147289604,51.34596831917344,1.3005720524231679,1.441272736744525,0.44078947368411414
30,R4,6929,2.52406396475418,-0.0687327699229904,0.11008903731186326,50.95973444941549,2.45533119483119,2.640686330467533,0.6753586727408438
