representation,year,n,rho_5m
ATR_T,2018,67040,0.9340811160247635
ATR_T,2019,65564,0.9372046994909511
ATR_T,2020,74292,0.8694849920201444
ATR_T,2021,79490,0.9240467322856702
ATR_T,2022,80697,0.9332656899272284
ATR_T,2023,79566,0.9755871586811186
ATR_T,2024,81977,0.9813363248631025
ATR_T,2025,83725,0.9846349847098782
ATR_PRE,2018,67040,0.9265071800291804
ATR_PRE,2019,65564,0.9349788247122807
ATR_PRE,2020,74292,0.8826064240044418
ATR_PRE,2021,79490,0.9366279761020441
ATR_PRE,2022,80697,0.9271058026593714
ATR_PRE,2023,79566,0.9936674657301815
ATR_PRE,2024,81977,0.9805211492637814
ATR_PRE,2025,83725,0.9928186683515834
PRICE_BPS,2018,67040,0.9436488020063921
PRICE_BPS,2019,65564,0.9563335954524224
PRICE_BPS,2020,74292,0.8840226423297076
PRICE_BPS,2021,79490,0.9169453393025717
PRICE_BPS,2022,80697,0.9459661857067576
PRICE_BPS,2023,79566,0.9764942819731015
PRICE_BPS,2024,81977,0.9571221273691882
PRICE_BPS,2025,83725,0.9784076081345103
EXCURSION_RATIO,2018,58798,0.965527958348439
EXCURSION_RATIO,2019,58324,0.9528354483001376
EXCURSION_RATIO,2020,62331,0.9405096115155357
EXCURSION_RATIO,2021,66844,0.9742712330765573
EXCURSION_RATIO,2022,67986,0.9660557923580547
EXCURSION_RATIO,2023,67334,0.9909088069813372
EXCURSION_RATIO,2024,69186,0.9691427942651247
EXCURSION_RATIO,2025,69665,0.9391861787204626
