id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars
0,234,2002-04-26 01:00:00,303,2002-08-01 01:00:00,BUY,307.9,299.1642857142857,299.1642857142857,334.10714285714283,0.1,-88.05714285714267,-873.5714285714266,-1.0,SL,2002Q2,2002,69
1,329,2002-09-06 01:00:00,363,2002-10-24 00:00:00,BUY,319.25,309.2857142857143,309.2857142857143,349.1428571428572,0.1,-100.34285714285723,-996.4285714285722,-1.0,SL,2002Q3,2002,34
2,960,2005-02-09 00:00:00,966,2005-02-17 00:00:00,SELL,412.68,427.5714285714286,427.5714285714286,368.00571428571425,0.1,-149.61428571428604,-1489.1428571428605,-1.0,SL,2005Q1,2005,6
3,3790,2013-06-18 09:00:00,3797,2013-06-18 16:00:00,SELL,1380.68,1368.534285714286,1384.7285714285715,1368.534285714286,0.1,120.7571428571412,1214.571428571412,2.999999999999944,TP,2013Q2,2013,7
4,3884,2013-06-24 08:00:00,3929,2013-06-26 05:00:00,SELL,1283.26,1250.7914285714285,1294.0828571428572,1250.7914285714285,0.1,323.98571428571523,3246.857142857152,3.0,TP,2013Q2,2013,45
5,5094,2013-09-03 11:00:00,5094,2013-09-03 11:00:00,SELL,1386.61,1391.87,1391.87,1370.83,0.1,-53.29999999999991,-525.9999999999991,-1.0,SL,2013Q3,2013,0
6,5099,2013-09-03 16:00:00,5124,2013-09-04 17:00:00,BUY,1398.22,1389.3042857142857,1389.3042857142857,1424.9671428571428,0.1,-89.8571428571433,-891.571428571433,-1.0,SL,2013Q3,2013,25
7,5649,2013-10-04 18:00:00,5669,2013-10-07 15:00:00,SELL,1310.6,1319.8628571428571,1319.8628571428571,1282.8114285714285,0.1,-93.32857142857229,-926.2857142857229,-1.0,SL,2013Q4,2013,20
8,6216,2013-11-07 14:00:00,6216,2013-11-07 14:00:00,SELL,1313.89,1317.9728571428573,1317.9728571428573,1301.6414285714286,0.1,-41.52857142857165,-408.2857142857165,-1.0,SL,2013Q4,2013,0
9,6427,2013-11-20 11:00:00,6429,2013-11-20 13:00:00,SELL,1271.74,1260.9014285714284,1275.3528571428571,1260.9014285714284,0.1,107.6857142857164,1083.857142857164,3.000000000000063,TP,2013Q4,2013,2
10,6489,2013-11-25 02:00:00,6508,2013-11-25 21:00:00,SELL,1240.7,1247.2857142857142,1247.2857142857142,1220.9428571428573,0.1,-66.55714285714176,-658.5714285714175,-1.0,SL,2013Q4,2013,19
11,6657,2013-12-04 10:00:00,6661,2013-12-04 14:00:00,SELL,1216.61,1220.7828571428572,1220.7828571428572,1204.091428571428,0.1,-42.42857142857311,-417.28571428573105,-1.0,SL,2013Q4,2013,4
12,6908,2013-12-18 23:00:00,7028,2013-12-27 13:00:00,SELL,1219.34,1211.25,1233.3014285714285,1177.4557142857143,0.1,80.19999999999918,808.9999999999918,0.57945359664381,TIME_EXIT,2013Q4,2013,120
13,7221,2014-01-10 05:00:00,7231,2014-01-10 15:00:00,BUY,1234.21,1228.9428571428573,1228.9428571428573,1250.0114285714285,0.1,-53.371428571427444,-526.7142857142744,-1.0,SL,2014Q1,2014,10
14,8861,2014-04-17 10:00:00,8865,2014-04-17 14:00:00,SELL,1296.79,1300.3528571428571,1300.3528571428571,1286.1014285714286,0.1,-36.328571428571834,-356.2857142857183,-1.0,SL,2014Q2,2014,4
15,9075,2014-05-01 10:00:00,9106,2014-05-02 17:00:00,SELL,1286.08,1291.8014285714285,1291.8014285714285,1268.9157142857143,0.1,-57.91428571428533,-572.1428571428532,-1.0,SL,2014Q2,2014,31
16,9227,2014-05-09 19:00:00,9238,2014-05-12 07:00:00,SELL,1287.5,1292.5185714285715,1292.5185714285715,1272.4442857142858,0.1,-50.88571428571477,-501.85714285714766,-1.0,SL,2014Q2,2014,11
17,9490,2014-05-27 00:00:00,9498,2014-05-27 08:00:00,BUY,1292.7,1289.1357142857144,1289.1357142857144,1303.392857142857,0.1,-36.342857142856886,-356.42857142856883,-1.0,SL,2014Q2,2014,8
18,9653,2014-06-04 20:00:00,9671,2014-06-05 14:00:00,SELL,1243.21,1246.5885714285714,1246.5885714285714,1233.074285714286,0.1,-34.48571428571377,-337.85714285713766,-1.0,SL,2014Q2,2014,18
19,9824,2014-06-16 01:00:00,9845,2014-06-16 22:00:00,BUY,1276.02,1271.7271428571428,1271.7271428571428,1288.8985714285714,0.1,-43.628571428572016,-429.28571428572013,-1.0,SL,2014Q2,2014,21
