Event Definition,Horizon (k bars),Event Count,Mean Abs Ret (%),Mean Max Range (%),Directional Mean (%),Directional Std (%)
Unconditional Baseline (All Bars),1h,81215,0.15434727148489064,0.3198406344158909,0.0037339719354336095,0.30539986357669757
Unconditional Baseline (All Bars),3h,81215,0.27485471323216976,0.5710210900414667,0.011156375337366211,0.5255554771330351
Unconditional Baseline (All Bars),6h,81215,0.40153922946892123,0.8268076294815253,0.022346511393750934,0.7457766009414228
Unconditional Baseline (All Bars),12h,81215,0.5841903206922793,1.2005025697821499,0.044478392965575694,1.0442761734080808
Unconditional Baseline (All Bars),24h,81215,0.8587860535075179,1.7441250601727059,0.08842817406865677,1.486000127815839
Unconditional Baseline (All Bars),48h,81215,1.2283526789264057,2.5054840383578476,0.17388163151151811,2.0307933463968175
Def A: Bollinger Squeeze (>=4 bars),1h,2003,0.1328700054598383,0.2679842828751115,-0.0012756029566002435,0.27648250645037825
Def A: Bollinger Squeeze (>=4 bars),3h,2003,0.25559553029912097,0.49902456860770794,-0.00864537466107125,0.46935041635793184
Def A: Bollinger Squeeze (>=4 bars),6h,2003,0.38259832591768783,0.7452187476837596,-0.0029687344184700687,0.6264304993484693
Def A: Bollinger Squeeze (>=4 bars),12h,2003,0.582082992223884,1.136694309687779,-0.01710276464776795,0.8673959706580452
Def A: Bollinger Squeeze (>=4 bars),24h,2003,0.8998815062930037,1.7252021901813972,-0.03153433320796655,1.3456195344635866
Def A: Bollinger Squeeze (>=4 bars),48h,2003,1.2402288061932918,2.3982593931981513,-0.10176297656769061,1.7817724029710613
Def B: ATR14 <= 20th Percentile,1h,18178,0.1454332092654067,0.30098934924727333,0.003243946653294553,0.2729050922890099
Def B: ATR14 <= 20th Percentile,3h,18178,0.2795039366282028,0.5743804434608448,0.009076865862087561,0.4872716111797136
Def B: ATR14 <= 20th Percentile,6h,18178,0.4331246993753871,0.8798826600024391,0.016444979828753887,0.7134407133232314
Def B: ATR14 <= 20th Percentile,12h,18178,0.6343177959171438,1.2889296584800929,0.03241082307830411,1.0345322172909592
Def B: ATR14 <= 20th Percentile,24h,18178,0.8578197927635378,1.7291254152135027,0.08190254927661392,1.3973969215896282
Def B: ATR14 <= 20th Percentile,48h,18178,1.2320116049660335,2.4855608332308226,0.18179918120384794,1.9431791671261078
Def C: NTR <= 20th Percentile,1h,16572,0.12012477621183608,0.24124902922728816,0.0049283513229009795,0.2602947141304598
Def C: NTR <= 20th Percentile,3h,16572,0.23689591765266976,0.48020989515156154,0.013436567024614404,0.47381573297973156
Def C: NTR <= 20th Percentile,6h,16572,0.3492535000974391,0.7110026805353516,0.031092129572189285,0.6605723817279762
Def C: NTR <= 20th Percentile,12h,16572,0.5606564764983674,1.135976333307574,0.04445896629707237,0.9986423271324271
Def C: NTR <= 20th Percentile,24h,16572,0.8507784171244117,1.6987950088889547,0.10258780268796683,1.4245718351522312
Def C: NTR <= 20th Percentile,48h,16572,1.2101932450623472,2.449579458970443,0.2115905245037066,2.0121262847149732
Def D: Bar Range <= 20th Percentile,1h,16564,0.11993762512573088,0.240884971541249,0.00469558781435689,0.259886960156626
Def D: Bar Range <= 20th Percentile,3h,16564,0.23645173807005507,0.47973965092353427,0.013269999881418568,0.47298450873563935
Def D: Bar Range <= 20th Percentile,6h,16564,0.34887308709124837,0.7101882673447903,0.030643478543155127,0.6604647783980321
Def D: Bar Range <= 20th Percentile,12h,16564,0.5599869992685027,1.1345671377505033,0.04343124476937388,0.9978833332857424
Def D: Bar Range <= 20th Percentile,24h,16564,0.8494827927438633,1.6979833446804657,0.10119425614321044,1.4211787095302775
Def D: Bar Range <= 20th Percentile,48h,16564,1.20931676866046,2.4496637121452256,0.20951032770329991,2.0097857187043067
