Macro EMA,RR Ratio,Trades,Net PnL ($),Profit Factor,Win Rate,Expectancy (R)
100,2.0,164,2611.9857142857263,1.264186520980866,34.146341463414636,0.012542888637032614
100,2.5,162,5384.935714285749,1.5653221452353132,32.098765432098766,0.09652152674763777
100,3.0,161,5517.828571428593,1.5684414395587278,29.81366459627329,0.15209739681406273
100,3.5,159,5963.878571428596,1.5989350423156792,27.044025157232703,0.15346123959446165
150,2.0,151,3481.2142857143003,1.4153860839653167,35.76158940397351,0.059980355870684815
150,2.5,150,5571.021428571462,1.6521349783943637,33.33333333333333,0.13757658222078253
150,3.0,149,5544.314285714307,1.6355056017868108,30.87248322147651,0.19119248917492718
150,3.5,147,5830.764285714307,1.6496828416118199,27.89115646258503,0.1863968509899284
200,2.0,147,4607.442857142859,1.595795894540833,38.775510204081634,0.15004784854743772
200,2.5,146,6251.878571428593,1.7757608148447552,34.24657534246575,0.16874306392546154
200,3.0,144,6169.714285714291,1.7517951485295014,31.944444444444443,0.232553339493501
200,3.5,143,6322.221428571435,1.7429229723264426,28.671328671328673,0.21958277689174477
250,2.0,145,4866.142857142849,1.646643860841435,38.62068965517241,0.14522092232050499
250,2.5,144,6648.021428571446,1.8507180698399723,34.72222222222222,0.18497560647998168
250,3.0,142,6945.628571428574,1.8820789889530127,33.098591549295776,0.27808225976805717
250,3.5,142,7570.557142857139,1.925785392220061,30.28169014084507,0.2915516696867566
