Event Family,Events,Horizon,Mean Max Range (%),Mean Abs Return (%)
Family A: Compression State Bars,2535,6h,0.7290633888303588,0.37554252111431013
Family A: Compression State Bars,2535,12h,1.117789664349426,0.5674624322317099
Family A: Compression State Bars,2535,24h,1.7268717070280466,0.9071430065298881
Family A: Compression State Bars,2535,48h,2.4226811036118647,1.261228299973511
Family A: Compression State Bars,2535,72h,3.010952883066208,1.5323042673654539
Family B: Compression Episode Start,311,6h,0.6918078873287119,0.35209287060951755
Family B: Compression Episode Start,311,12h,1.0867676056128808,0.524886396755581
Family B: Compression Episode Start,311,24h,1.711518729918969,0.8920201942897537
Family B: Compression Episode Start,311,48h,2.458029599679052,1.279918159240425
Family B: Compression Episode Start,311,72h,3.0821443137285764,1.6245639004536052
Family C: Compression Episode End,311,6h,0.8944534128750359,0.48611220401660316
Family C: Compression Episode End,311,12h,1.2790661618814547,0.6661431543731905
Family C: Compression Episode End,311,24h,1.7996162911548916,0.9436363478309027
Family C: Compression Episode End,311,48h,2.492854170552407,1.3346650153661155
Family C: Compression Episode End,311,72h,3.110772604509156,1.5623582026047875
Family D: Squeeze -> Upper Breakout Release,126,6h,0.9296759693717904,0.4384734986863026
Family D: Squeeze -> Upper Breakout Release,126,12h,1.3956625614692064,0.6776837528318298
Family D: Squeeze -> Upper Breakout Release,126,24h,1.9568640283171894,1.0092232027128654
Family D: Squeeze -> Upper Breakout Release,126,48h,2.749037065084801,1.4879440987288284
Family D: Squeeze -> Upper Breakout Release,126,72h,3.365925092461747,1.7535082168003993
Family E: Squeeze -> Lower Breakout Release,142,6h,0.8994544714185159,0.4235823923028442
Family E: Squeeze -> Lower Breakout Release,142,12h,1.2792627670630723,0.625064134316965
Family E: Squeeze -> Lower Breakout Release,142,24h,1.751669412748883,0.8862342320980661
Family E: Squeeze -> Lower Breakout Release,142,48h,2.407526241420679,1.188467984988539
Family E: Squeeze -> Lower Breakout Release,142,72h,2.967962307211118,1.4285232539629253
Family F: Non-Compression BB Upper Break Baseline,1414,6h,0.9297007647127239,0.4681872524018951
Family F: Non-Compression BB Upper Break Baseline,1414,12h,1.2323612958017756,0.5990121411651503
Family F: Non-Compression BB Upper Break Baseline,1414,24h,1.8111088431802855,0.8853146203352914
Family F: Non-Compression BB Upper Break Baseline,1414,48h,2.5749723970903284,1.2464537110879306
Family F: Non-Compression BB Upper Break Baseline,1414,72h,3.1457422040731973,1.4968818438856333
Family G: Non-Compression BB Lower Break Baseline,1282,6h,0.9969708073410332,0.47907601320487964
Family G: Non-Compression BB Lower Break Baseline,1282,12h,1.3245712916983208,0.6410005965679448
Family G: Non-Compression BB Lower Break Baseline,1282,24h,1.8406130068353113,0.8995011682204939
Family G: Non-Compression BB Lower Break Baseline,1282,48h,2.5843048217250546,1.2768590834726161
Family G: Non-Compression BB Lower Break Baseline,1282,72h,3.142961047624647,1.5344107324473177
Family H: Unconditional Baseline (Random Bars),16239,6h,0.8278529832146777,0.40524614530761643
Family H: Unconditional Baseline (Random Bars),16239,12h,1.2006801687922952,0.586521386863886
Family H: Unconditional Baseline (Random Bars),16239,24h,1.7445699274244748,0.858802902846242
Family H: Unconditional Baseline (Random Bars),16239,48h,2.505231985731133,1.2293878710109691
Family H: Unconditional Baseline (Random Bars),16239,72h,3.0918641871423285,1.5104679870964621
