Architecture,Events,Horizon,Mean Return (%),Median Return (%),Win Rate (%),Mean MFE (%),Mean MAE (%),MFE/MAE Ratio,95% CI
LONG: Non-Squeeze Upper Break (Baseline),1414,6h,0.043989018771718506,0.0047164545135747,50.424328147100425,0.48704271805451804,0.44265804665820596,1.1002685294696184,"[+0.00%, +0.08%]"
LONG: Non-Squeeze Upper Break (Baseline),1414,12h,0.06614923687959298,0.01356632246900382,51.34370579915134,0.6560351079718917,0.5763261878298838,1.1383052199001165,"[+0.01%, +0.12%]"
LONG: Non-Squeeze Upper Break (Baseline),1414,24h,0.09801069514783455,0.052734386440138475,52.828854314002825,0.9711775547950273,0.8399312883852584,1.156258337110034,"[+0.01%, +0.18%]"
LONG: Non-Squeeze Upper Break (Baseline),1414,48h,0.1470378146151634,0.04846602915805273,51.83875530410184,1.3892502436118452,1.1857221534784828,1.1716490575269123,"[+0.04%, +0.25%]"
LONG: Non-Squeeze Upper Break (Baseline),1414,72h,0.27461072274095377,0.11739667591094358,53.18246110325319,1.7262382396105915,1.4195039644626055,1.2160855360936658,"[+0.15%, +0.39%]"
LONG: Squeeze Upper Breakout Release,126,6h,-0.00010533961834997939,0.015773739772996977,50.79365079365079,0.4816179727772685,0.44805799659452183,1.0749009646916698,"[-0.12%, +0.12%]"
LONG: Squeeze Upper Breakout Release,126,12h,0.05387074309970598,0.018025312176232055,50.0,0.719528432218476,0.6761341292507305,1.0641800215229982,"[-0.12%, +0.23%]"
LONG: Squeeze Upper Breakout Release,126,24h,0.15485606598407664,-0.0656737803948071,47.61904761904761,1.0683744019137267,0.8884896264034633,1.2024613120565324,"[-0.12%, +0.43%]"
LONG: Squeeze Upper Breakout Release,126,48h,0.14980609563255934,-0.21999896049692386,46.82539682539682,1.5118313662291052,1.2372056988556956,1.2219725205173348,"[-0.23%, +0.53%]"
LONG: Squeeze Upper Breakout Release,126,72h,0.2595683531006393,-0.180203385383789,46.03174603174603,1.8555468974937939,1.510378194967953,1.228531306712333,"[-0.21%, +0.72%]"
LONG: Squeeze Upper Break + Macro Bullish Trend,80,6h,0.04763184322632258,0.032781592216448635,53.75,0.4928542093418593,0.4374529445425874,1.1266450837522672,"[-0.09%, +0.19%]"
LONG: Squeeze Upper Break + Macro Bullish Trend,80,12h,0.14924482372922537,0.07858660359507372,53.75,0.7690010910597741,0.6278498554667882,1.224816864038368,"[-0.08%, +0.38%]"
LONG: Squeeze Upper Break + Macro Bullish Trend,80,24h,0.17350618382527233,0.020985634138047316,50.0,1.078902726907976,0.8268845768691786,1.3047803249554009,"[-0.18%, +0.53%]"
LONG: Squeeze Upper Break + Macro Bullish Trend,80,48h,-0.005421256750100145,-0.2337647051032419,45.0,1.4845562680602546,1.2203327820696035,1.2165175678904123,"[-0.43%, +0.42%]"
LONG: Squeeze Upper Break + Macro Bullish Trend,80,72h,-0.029069487962624697,-0.22077453270063951,45.0,1.734857958639136,1.5621412444221003,1.110564083007059,"[-0.49%, +0.43%]"
SHORT: Non-Squeeze Lower Break (Baseline),1282,6h,-0.01671194727898659,-0.012314558358969236,48.59594383775351,0.5100181991580145,0.48695260818301844,1.0473672192886725,"[-0.06%, +0.03%]"
SHORT: Non-Squeeze Lower Break (Baseline),1282,12h,-0.07353718441902117,-0.04066133087900292,46.72386895475819,0.668878823251739,0.6556924684465817,1.0201105784185647,"[-0.14%, -0.01%]"
SHORT: Non-Squeeze Lower Break (Baseline),1282,24h,-0.12927057475783607,-0.07169875317763771,45.631825273010925,0.8932100193593352,0.9474029874759762,0.942798398534694,"[-0.21%, -0.05%]"
SHORT: Non-Squeeze Lower Break (Baseline),1282,48h,-0.27088714524745344,-0.12835961174516378,45.24180967238689,1.1917730156760478,1.392531806049007,0.855831809728952,"[-0.39%, -0.15%]"
SHORT: Non-Squeeze Lower Break (Baseline),1282,72h,-0.3444283835384694,-0.15206351007119107,45.78783151326053,1.4003459289349212,1.7426151186897256,0.8035887637585991,"[-0.48%, -0.20%]"
SHORT: Squeeze Lower Breakout Release,142,6h,-0.004959229298586539,0.016991598498816964,53.52112676056338,0.4578040655596437,0.4416504058588721,1.0365756704544578,"[-0.11%, +0.10%]"
SHORT: Squeeze Lower Breakout Release,142,12h,0.07149139121808377,0.06934160308440124,55.633802816901415,0.6901937824650461,0.5890689845980259,1.1716688546011749,"[-0.09%, +0.23%]"
SHORT: Squeeze Lower Breakout Release,142,24h,0.08665047229706052,0.11077393161775738,55.633802816901415,0.9400197765918744,0.8116496361570081,1.15815954904221,"[-0.14%, +0.31%]"
SHORT: Squeeze Lower Breakout Release,142,48h,0.21818350022781438,0.1256827064174884,54.929577464788736,1.3400358803078027,1.067490361112876,1.2553142671103779,"[-0.04%, +0.48%]"
SHORT: Squeeze Lower Breakout Release,142,72h,0.23334695078976128,0.20411604050331317,53.52112676056338,1.6886140651404113,1.279348242070706,1.3199018137604837,"[-0.08%, +0.55%]"
