cohort,view,event_count,mean_signed_reversion_atr,median_signed_reversion_atr,positive_return_pct,p10_signed_reversion_atr,p90_signed_reversion_atr,worst5pct_mean_signed_reversion_atr,gap_closure_pct,median_cost_hurdle_atr,mean_to_median_cost_hurdle_ratio,excluded_year,positive_mean
H226-C1,LEAVE_2019_OUT,805,0.1263040866416668,0.1092971698688336,51.80124223602485,-2.601473322993954,2.8241320343827216,-5.038276609872855,77.88819875776397,0.09029085526558407,1.3988580157996333,2019,True
H226-C1,LEAVE_2020_OUT,798,0.13993788040584737,0.1293178601322665,52.255639097744364,-2.597163255582419,2.8318540652578887,-4.947884789934245,77.94486215538848,0.09810674186359888,1.4263839339441904,2020,True
H226-C1,LEAVE_2021_OUT,807,0.1285768137980573,0.1321964301640385,52.66418835192069,-2.622156186642486,2.762174225886982,-5.099147750782721,76.45600991325898,0.09361818303358954,1.3734171037257243,2021,True
H226-C1,LEAVE_2022_OUT,799,0.1373904056854372,0.1373118164326659,52.690863579474346,-2.734957752594256,2.9049148378043173,-4.981144110561287,77.47183979974969,0.09464595593658552,1.4516246819620189,2022,True
H226-C1,LEAVE_2023_OUT,822,0.12433579623430259,0.12219986401195156,52.311435523114355,-2.640826320517258,2.8246631609867405,-5.021642759754461,77.12895377128953,0.09396307359191301,1.323241050780225,2023,True
H226-C1,LEAVE_2024_OUT,824,0.1627235477530434,0.1365698551047152,52.42718446601942,-2.5529002226459445,2.825544536016231,-4.979814539135399,77.9126213592233,0.10039557448989739,1.620823911609948,2024,True
H226-C1,LEAVE_2025_OUT,786,0.11895760379537185,0.1179285878572855,52.16284987277354,-2.4319597853822983,2.6424237628901737,-4.477628990836644,77.60814249363868,0.1051094736706137,1.131749590604503,2025,True
H226-C2,LEAVE_2019_OUT,609,0.15128371551560885,0.1358278937767645,52.70935960591133,-2.755555382622754,2.829851507819453,-4.892388242584782,75.53366174055829,0.09205784896092943,1.6433548819918187,2019,True
H226-C2,LEAVE_2020_OUT,603,0.1641620022733348,0.156099531058693,53.06799336650083,-2.817678943973173,2.866947510168993,-4.745859579652156,75.9535655058043,0.09998201009241468,1.6419154017967603,2020,True
H226-C2,LEAVE_2021_OUT,615,0.15339490528990632,0.1412735803717681,53.170731707317074,-2.772408655264899,2.811953883852486,-4.968103920531734,74.30894308943088,0.09568465201386649,1.6031296771364811,2021,True
H226-C2,LEAVE_2022_OUT,615,0.13988283137124427,0.15990449573064,53.170731707317074,-2.8253880971056007,2.9108505719695197,-4.994730166909227,75.1219512195122,0.09886224506301351,1.4149267122356444,2022,True
H226-C2,LEAVE_2023_OUT,629,0.16090644375778632,0.1684189326532284,53.73608903020668,-2.805089151584302,2.829851507819453,-4.870473739502485,75.3577106518283,0.09810510982184355,1.6401433528792582,2023,True
H226-C2,LEAVE_2024_OUT,629,0.1833379680205184,0.1616008322832333,53.10015898251193,-2.7037867160612636,2.8468270409278573,-4.974209816647189,75.83465818759937,0.10305515456650441,1.7790276361402693,2024,True
H226-C2,LEAVE_2025_OUT,610,0.13166902213766687,0.1150007920259121,52.29508196721312,-2.5445224015609975,2.732175209357864,-4.3936364395380805,74.91803278688525,0.10700866123778158,1.2304520084134878,2025,True
H226-C3,LEAVE_2019_OUT,746,0.09586663330814871,0.08760795236417804,51.07238605898124,-2.7361356253137155,2.822630729460125,-5.13856542594851,76.67560321715817,0.08876285207128867,1.0800310160285829,2019,True
H226-C3,LEAVE_2020_OUT,745,0.1229128872948959,0.1264392901004945,51.81208053691275,-2.7435167463861347,2.8254439170407806,-4.998534868048422,76.91275167785236,0.09749139478397674,1.2607562705123727,2020,True
H226-C3,LEAVE_2021_OUT,756,0.10988815229530247,0.1195672285963926,52.116402116402114,-2.7361356253137155,2.7838222829462707,-5.200333479010497,75.39682539682539,0.09363002013134161,1.1736423012742536,2021,True
H226-C3,LEAVE_2022_OUT,748,0.10582250866326759,0.1150007920259121,51.87165775401069,-2.820962340806206,2.8802998789313645,-5.05896341545011,76.33689839572193,0.09478889774749913,1.1164019329052655,2022,True
H226-C3,LEAVE_2023_OUT,767,0.09445477610413258,0.1038974171857338,51.499348109517605,-2.79404123239345,2.823777949980042,-5.114272059743454,75.8800521512386,0.09454320060313451,0.999064718579043,2023,True
H226-C3,LEAVE_2024_OUT,770,0.14146159251129525,0.12668522471670757,51.94805194805194,-2.6109541063176227,2.823246823376023,-5.076573358239344,76.75324675324676,0.10079969665048331,1.4033930379949906,2024,True
H226-C3,LEAVE_2025_OUT,729,0.09781362593574484,0.1121048462606618,51.577503429355275,-2.479928649362785,2.595971389514763,-4.5449390206268,76.40603566529492,0.10599959432235775,0.9227735875882848,2025,True
H226-C4,LEAVE_2019_OUT,555,0.11959282912430678,0.1178967377911624,51.711711711711715,-2.821319680183133,2.8254439170407806,-5.006040472907645,73.87387387387388,0.09167800412101898,1.3044877042309846,2019,True
H226-C4,LEAVE_2020_OUT,555,0.15007185325279185,0.1412735803717681,52.43243243243243,-2.8514416056297827,2.8628724664596295,-4.839852926773487,74.5945945945946,0.10074901060437014,1.4895615584961612,2020,True
H226-C4,LEAVE_2021_OUT,568,0.13963943557613617,0.1311335919386295,52.46478873239436,-2.8235921148956513,2.831149732429737,-5.034089726535248,72.88732394366197,0.09587009295424118,1.4565484529444037,2021,True
H226-C4,LEAVE_2022_OUT,568,0.09551143622593773,0.1150007920259121,51.93661971830986,-2.8481982278783424,2.8802998789313627,-5.088699297632813,73.59154929577466,0.0991746032870954,0.9630634563714527,2022,True
H226-C4,LEAVE_2023_OUT,579,0.13100770398025544,0.1568741364843249,52.67702936096719,-2.836993897938195,2.829851507819453,-4.974117056707597,73.74784110535406,0.09810837390535422,1.3353366156760422,2023,True
H226-C4,LEAVE_2024_OUT,579,0.15887093604905556,0.1412735803717681,52.331606217616574,-2.791651580150247,2.829851507819453,-5.088699297632813,74.26597582037996,0.10447484989258082,1.5206620178196362,2024,True
H226-C4,LEAVE_2025_OUT,557,0.11560138972231578,0.1038974171857338,51.526032315978455,-2.5916950520877435,2.7353063112292344,-4.470728928707733,73.24955116696589,0.10802524286673623,1.0701331156915401,2025,True
