cohort,view,event_count,mean_signed_reversion_atr,median_signed_reversion_atr,positive_return_pct,p10_signed_reversion_atr,p90_signed_reversion_atr,worst5pct_mean_signed_reversion_atr,gap_closure_pct,median_cost_hurdle_atr,mean_to_median_cost_hurdle_ratio,quarter,positive_mean
H226-C1,QUARTER_2018Q2,29,-0.026219428727364758,0.1616008322832333,55.172413793103445,-2.620358118395083,1.8181722764360142,-4.116380250852572,82.75862068965517,0.20471490065111542,-0.12807777374275808,2018Q2,False
H226-C1,QUARTER_2018Q3,33,-0.30742906011514604,-0.2367700051914462,45.45454545454545,-2.8269031889069565,1.6521080080350512,-4.4582260920519605,81.81818181818183,0.19382350621709069,-1.5861288762922916,2018Q3,False
H226-C1,QUARTER_2018Q4,35,-0.10488575227791648,0.0242629348695703,51.42857142857142,-2.3388107192303496,1.9493305876132723,-3.634151905314191,77.14285714285715,0.2068310500333331,-0.5071083488722461,2018Q4,False
H226-C1,QUARTER_2019Q1,26,0.1533281959380332,0.5354684059177257,57.692307692307686,-2.033930676762273,2.420404527404787,-4.980584297534076,88.46153846153845,0.22310151893629715,0.6872575169773428,2019Q1,True
H226-C1,QUARTER_2019Q2,23,0.03731416236448,0.0153289234096491,52.17391304347826,-2.7736440186794433,3.1527200948690286,-3.2263054542044833,69.56521739130434,0.22387182810143214,0.16667645358027652,2019Q2,True
H226-C1,QUARTER_2019Q3,31,0.47528093467235666,0.613513669389201,61.29032258064516,-2.043088936120764,2.4263833255691334,-3.4966996728820394,67.74193548387096,0.10547737651153988,4.505998825448204,2019Q3,True
H226-C1,QUARTER_2019Q4,28,0.060279944175766584,0.43482465439874396,53.57142857142857,-1.6538146021066455,1.7451201590643324,-3.9263616358074653,78.57142857142857,0.16992303176793985,0.35474852083671377,2019Q4,True
H226-C1,QUARTER_2020Q1,34,0.5583148695783112,0.2102215397544695,52.94117647058824,-2.0512886428527755,3.234872128317748,-3.91770214911321,61.76470588235294,0.12812143744678786,4.357700637024103,2020Q1,True
H226-C1,QUARTER_2020Q2,22,0.1232928336924131,-0.11054888216853015,40.909090909090914,-1.3695575701102032,2.0615196951704706,-1.6462519974902343,72.72727272727273,0.06296173786377735,1.9582184017723083,2020Q2,True
H226-C1,QUARTER_2020Q3,28,0.036384301939552895,0.25372312365838096,64.28571428571429,-2.7432976305961736,2.0233036001981404,-5.5967323729865495,92.85714285714286,0.06667643501396407,0.5456845725470013,2020Q3,True
H226-C1,QUARTER_2020Q4,31,-0.3691368044513259,0.1092971698688336,51.61290322580645,-2.8430367153374254,1.773592886959389,-5.218138040789963,77.41935483870968,0.09192375708601243,-4.015684477582081,2020Q4,False
H226-C1,QUARTER_2021Q1,20,0.15895308872505778,-0.004524150067115096,50.0,-2.076357857334404,2.610928255421226,-3.829726319333195,85.0,0.08105080775905651,1.9611536654586463,2021Q1,True
