cohort,view,event_count,mean_signed_reversion_atr,median_signed_reversion_atr,positive_return_pct,p10_signed_reversion_atr,p90_signed_reversion_atr,worst5pct_mean_signed_reversion_atr,gap_closure_pct,median_cost_hurdle_atr,mean_to_median_cost_hurdle_ratio,year,positive_mean
H226-C1,YEAR_2019,108,0.19691024296792992,0.4833280431269376,56.481481481481474,-2.307597062607238,2.754226750605377,-4.186021139459482,75.92592592592592,0.1710455805637199,1.1512150288769056,2019,True
H226-C1,YEAR_2020,115,0.09800580368010481,0.1121048462606618,53.04347826086957,-2.472241117206752,2.6643912471526376,-4.977234647516306,75.65217391304347,0.09029085526558407,1.085445512636111,2020,True
H226-C1,YEAR_2021,106,0.1809396910570379,0.0207419904074965,50.0,-2.2674947175873577,2.8837168207331314,-3.5917200668910567,86.79245283018868,0.11570751520159489,1.5637678394682513,2021,True
H226-C1,YEAR_2022,114,0.11549264775801665,0.0025475449413900515,50.0,-2.0388464511139555,2.326055566502832,-4.6493528065426935,78.94736842105263,0.10017865747009887,1.1528667949307334,2022,True
H226-C1,YEAR_2023,91,0.2278799064008958,0.1717228689962948,52.74725274725275,-2.3689421031886693,2.3852718113445945,-3.8569845519482486,82.41758241758241,0.10503425857806568,2.1695769502816673,2023,True
H226-C1,YEAR_2024,89,-0.12520345349920817,0.0901905031891388,51.68539325842697,-2.843776802642001,2.315188329558802,-4.461810651445317,75.28089887640449,0.07413125679135943,-1.6889428146563084,2024,False
H226-C1,YEAR_2025,127,0.2318143260150863,0.2438116985633004,53.54330708661418,-3.5206140300980486,4.029007900416103,-6.485922975932758,77.95275590551181,0.044321527338319136,5.230287400647996,2025,True
H226-C2,YEAR_2019,87,0.1816901576850853,0.3205243579965722,55.172413793103445,-2.4418951054248463,2.7584461624831786,-4.346393290706521,74.71264367816092,0.17517513526147996,1.037191479337981,2019,True
H226-C2,YEAR_2020,93,0.09622730211599262,0.1358278937767645,52.68817204301075,-2.1661928521687446,2.6801931692488004,-5.094533671601662,72.04301075268818,0.09035830697092222,1.064952469139988,2020,True
H226-C2,YEAR_2021,81,0.16791308289278797,0.15990449573064,51.85185185185185,-2.4037206853399256,2.8506473353315407,-3.74148075340847,83.9506172839506,0.11648294979090255,1.4415249888005683,2021,True
H226-C2,YEAR_2022,81,0.2705047552381851,0.0977638799013815,51.85185185185185,-1.8345219934207029,2.3937745373712813,-3.2113034883886913,77.77777777777779,0.09950958464224025,2.7183788999895,2022,True
H226-C2,YEAR_2023,67,0.10042796035762123,-0.1698318019625754,46.26865671641791,-2.48298906786656,2.410011310524825,-4.134448503359891,76.11940298507463,0.10774768250748101,0.9320660827266372,2023,True
H226-C2,YEAR_2024,67,-0.11016052861638628,0.0901905031891388,52.23880597014925,-2.8508715774521916,2.2334001595305586,-3.5553219602376958,71.64179104477611,0.07851260171900441,-1.4030935952249983,2024,False
H226-C2,YEAR_2025,86,0.321171197251528,0.5079500240191329,58.139534883720934,-4.265502602939055,4.145113046827957,-6.23300510205763,79.06976744186046,0.04406825489749962,7.288039837260515,2025,True
H226-C3,YEAR_2019,105,0.20653634066479587,0.4899725543942136,56.19047619047619,-2.332240787310907,2.766884986238781,-4.186021139459482,75.23809523809524,0.17033976602632092,1.2124963270930045,2019,True
H226-C3,YEAR_2020,106,0.015403048896085568,0.0488789011687365,50.943396226415096,-2.465087943471603,2.5743640506496384,-4.908898541972111,73.58490566037736,0.09051456752941958,0.17017204320264998,2020,True
H226-C3,YEAR_2021,95,0.10660401139404048,-0.1821688584792473,48.421052631578945,-2.37344836169861,2.824735748235422,-3.74148075340847,85.26315789473684,0.11646336560690543,0.9153437292363431,2021,True
H226-C3,YEAR_2022,103,0.1363843469665857,0.1179604379234086,50.48543689320388,-2.0464437542493346,2.331639657812112,-4.306189841256363,77.66990291262135,0.10058392532561809,1.355925875084629,2022,True
H226-C3,YEAR_2023,84,0.24709536840253354,0.1841308070606218,53.57142857142857,-2.384419389773001,2.31118275401121,-3.8569845519482486,82.14285714285714,0.10551692645021171,2.3417604806668226,2023,True
H226-C3,YEAR_2024,81,-0.19410619772857812,-0.0544293076017149,49.382716049382715,-2.872155901882763,2.2866795250660434,-4.461810651445317,74.07407407407408,0.07355690890404525,-2.638857459083674,2024,False
H226-C3,YEAR_2025,122,0.17948107303708635,0.15030768140863346,52.459016393442624,-3.723647249679627,4.069258403527777,-6.485922975932758,77.04918032786885,0.04432344783597029,4.049348184764411,2025,True
H226-C4,YEAR_2019,84,0.1931792053317806,0.317667190836861,54.761904761904766,-2.499492119306632,2.7711043981165817,-4.346393290706521,73.80952380952381,0.1742971939196946,1.1083322742463981,2019,True
H226-C4,YEAR_2020,84,-0.008200061231424588,0.027477866713101,50.0,-2.13407586879866,2.6052142429853005,-4.996878988259031,69.04761904761905,0.0911248642150568,-0.08998708861801157,2020,False
H226-C4,YEAR_2021,71,0.04627991555795053,-0.0564668112516896,49.29577464788733,-2.54312609804684,2.8230697811746834,-3.8931625286719305,81.69014084507043,0.1193720868183504,0.38769461765693264,2021,True
H226-C4,YEAR_2022,71,0.39930391035953783,0.2152600862090662,53.52112676056338,-1.8345219934207029,2.462056597002589,-2.8894334105415815,76.05633802816901,0.09902177740227273,4.03248579085163,2022,True
H226-C4,YEAR_2023,60,0.11246021345486537,-0.1674662539236409,46.666666666666664,-2.516370541451557,2.391456686139652,-4.57199929358462,75.0,0.10991133007367056,1.0231903606251183,2023,True
H226-C4,YEAR_2024,60,-0.1564199760090557,0.0026468234558301475,50.0,-2.899190238086988,2.300933927312423,-3.5830016763993755,70.0,0.07783443345699911,-2.009650087521642,2024,False
H226-C4,YEAR_2025,82,0.22208657727475536,0.33891822411792527,56.09756097560976,-4.289929438823907,4.199356680970233,-6.23300510205763,78.04878048780488,0.04406825489749962,5.039604535993466,2025,True
