cohort,view,event_count,mean_raw_reversion_atr,mean_excess_reversion_atr,median_excess_reversion_atr,positive_excess_pct,median_cost_hurdle_atr,worst5pct_mean_excess_atr
H226-C1,FULL,913,0.1346561839946092,0.02744252116751845,0.02736054587903533,50.602409638554214,0.09614243823124576,-5.065798100897901
H226-C1,PRE_2025,720,0.08319469879811095,-0.04229527507079288,-0.004205471867043009,49.861111111111114,0.10906705017992899,-4.598032685770929
H226-C1,RECENT,193,0.3266368541577116,0.28760424806691814,0.18941172543820015,53.36787564766839,0.03298723555659782,-6.048640331555851
H226-C1,UP_GAP,521,0.0033827842000132818,-0.10764101435405897,-0.006339959520195337,49.520153550863725,0.09810837390535422,-5.646264964858511
H226-C1,DOWN_GAP,392,0.3091292485175288,0.20697956710308435,0.09686556006319824,52.04081632653062,0.09489484862728642,-4.09557177330701
H226-C2,FULL,696,0.1550845207867934,0.04430793059821162,0.05337832731127054,51.00574712643679,0.09900370913882917,-4.957949109033838
H226-C2,PRE_2025,557,0.10307112713680316,-0.025680454388859606,-0.006339959520195337,49.55116696588869,0.11243120935537214,-4.45574029223945
H226-C2,RECENT,139,0.36351229246337313,0.3247649841075546,0.5062795205448467,56.83453237410072,0.03289835802969857,-5.91902586991636
H226-C2,UP_GAP,396,0.0665511348492118,-0.04918072166387223,0.014252601529188669,50.252525252525245,0.10066646796499412,-5.464220636623707
H226-C2,DOWN_GAP,300,0.2719485902244012,0.16771295158416227,0.09607543099268284,52.0,0.09713556717108286,-4.129986772558731
H226-C3,FULL,851,0.10952153257071973,0.00183713270327286,0.003148406581363658,50.0587544065805,0.09614243823124576,-5.14666713775052
H226-C3,PRE_2025,667,0.05984285850754419,-0.0667115664480242,-0.007859782519334599,49.47526236881559,0.11051031831695157,-4.6324885139743825
H226-C3,RECENT,184,0.28960672604973114,0.25032616712672473,0.08159049778146504,52.17391304347826,0.033160089179690794,-6.048640331555851
H226-C3,UP_GAP,502,-0.015252207329778188,-0.12680279126801225,-0.06696530046807059,49.00398406374502,0.09818470423410094,-5.712579831834148
H226-C3,DOWN_GAP,349,0.288995508014989,0.1868722095903362,0.09649590071444063,51.57593123209169,0.09475862276702923,-4.113015693639239
H226-C4,FULL,639,0.12926615557411555,0.017759900726567954,0.005512468704880175,50.23474178403756,0.09916318844939166,-5.051308316361479
H226-C4,PRE_2025,508,0.08600794321348196,-0.04419491277761607,-0.0172169506417576,49.01574803149607,0.1154214670327315,-4.489852345003085
H226-C4,RECENT,131,0.297015559232145,0.2580121546206555,0.31136602251309453,54.961832061068705,0.03296659666956962,-5.91902586991636
H226-C4,UP_GAP,378,0.039865914335508595,-0.07657337017729404,-0.005384686476714098,49.47089947089947,0.10098084292049478,-5.527630831360537
H226-C4,DOWN_GAP,261,0.2587423670231325,0.154380499966644,0.09565496127092507,51.34099616858238,0.09643191165055776,-4.09630965243681
