quarter,year,trades,wins,losses,win_rate_pct,net_pnl_usd,gross_profit_usd,gross_loss_usd,profit_factor,max_drawdown_pct,expectancy_usd,expectancy_r,payoff_ratio,tail_loss_usd,verdict
2018Q2,2018,7,4,3,57.14285714285714,374.9999999999979,576.6999999999982,201.7000000000004,2.8591968269707344,108.00000000000017,53.57142857142827,0.004080378392359015,2.144397620228051,108.00000000000018,PASS
2018Q3,2018,7,3,4,42.857142857142854,-143.70000000000107,262.7000000000002,406.4000000000013,0.6464074803149591,338.00000000000205,-20.52857142857158,-0.001658588501377133,0.8618766404199455,170.7,FAIL
2018Q4,2018,8,3,5,37.5,-428.0999999999954,221.0000000000017,649.0999999999973,0.340471421968884,538.7999999999961,-53.51249999999943,-0.004376466253200411,0.5674523699481401,322.1999999999986,FAIL
2019Q1,2019,3,3,0,100.0,381.5999999999989,381.5999999999989,0.0,999.0,0.0,127.19999999999963,0.009686003116210267,0.0,0.0,PASS
2019Q2,2019,4,3,1,75.0,179.20000000000044,330.00000000000034,150.7999999999999,2.1883289124668472,150.7999999999999,44.80000000000011,0.0036528169459494695,0.7294429708222824,150.7999999999999,PASS
2019Q3,2019,4,3,1,75.0,287.4999999999952,334.6999999999961,47.20000000000091,7.091101694915035,47.2000000000009,71.8749999999988,0.0050821559127344745,2.3637005649716785,47.20000000000091,PASS
2019Q4,2019,7,4,3,57.14285714285714,94.29999999999848,477.39999999999753,383.0999999999991,1.2461498303315026,280.30000000000035,13.471428571428353,0.0009403588576787988,0.934612372748627,280.30000000000035,INCONCLUSIVE
2020Q1,2020,4,2,2,50.0,731.5000000000005,932.3000000000011,200.80000000000052,4.642928286852583,24.499999999998863,182.8750000000001,0.012288579741521236,4.642928286852583,176.30000000000172,PASS
2020Q2,2020,12,7,5,58.333333333333336,615.7000000000031,1214.9000000000024,599.1999999999994,2.0275367156208337,299.3999999999989,51.30833333333359,0.003172624363945723,1.4482405111577383,299.3999999999989,PASS
2020Q3,2020,11,6,5,54.54545454545454,1724.5999999999906,3649.4999999999945,1924.9000000000033,1.895942646371234,1264.400000000002,156.78181818181733,0.007891539879199454,1.5799522053093618,966.2000000000019,PASS
2020Q4,2020,11,5,6,45.45454545454545,-297.0000000000031,1181.7999999999995,1478.8000000000027,0.7991614822829303,958.3000000000011,-27.000000000000284,-0.001443575431795686,0.9589937787395163,649.2000000000014,FAIL
2021Q1,2021,6,0,6,0.0,-1298.7000000000028,0.0,1298.7000000000028,0.0,984.5000000000014,-216.45000000000047,-0.011968435301625342,0.0,367.0000000000011,FAIL
2021Q2,2021,9,6,3,66.66666666666666,747.900000000003,1411.5000000000016,663.5999999999987,2.127034358047023,408.4999999999997,83.10000000000034,0.004456611303280727,1.0635171790235114,408.4999999999997,PASS
2021Q3,2021,6,2,4,33.33333333333333,-174.5999999999973,437.0000000000015,611.5999999999989,0.714519293655988,257.99999999999915,-29.09999999999955,-0.0015875602162228886,1.429038587311976,353.5999999999996,FAIL
2021Q4,2021,2,1,1,50.0,23.500000000000085,76.8,53.29999999999991,1.4409005628517846,0.0,11.750000000000043,0.0006004031284266918,1.4409005628517846,53.29999999999991,INCONCLUSIVE
2022Q1,2022,6,3,3,50.0,-27.699999999994475,672.5000000000027,700.1999999999971,0.9604398743216302,349.79999999999853,-4.616666666665746,-0.0002649153736317122,0.9604398743216302,349.79999999999853,FAIL
2022Q2,2022,5,2,3,40.0,59.49999999999733,711.2999999999976,651.8000000000002,1.0912856704510545,410.20000000000044,11.899999999999466,0.0003866917124457945,1.6369285056765819,410.20000000000044,INCONCLUSIVE
