quarter,year,trades,wins,losses,win_rate_pct,net_pnl_usd,gross_profit_usd,gross_loss_usd,profit_factor,max_drawdown_pct,expectancy_usd,expectancy_r,payoff_ratio,tail_loss_usd,verdict
2018Q2,2018,17,3,14,17.647058823529413,-128.95357142857569,132.51428571428312,261.46785714285875,0.5068090860662885,109.75000000000092,-7.585504201680923,-0.37910024174498935,2.365109068309346,38.682142857142665,FAIL
2018Q3,2018,13,4,9,30.76923076923077,36.16428571428138,228.5285714285689,192.36428571428752,1.1879989603059429,133.6285714285729,2.7818681318677982,0.1321342577662608,2.672997660688371,33.22857142857238,INCONCLUSIVE
2018Q4,2018,16,5,11,31.25,51.72499999999559,305.59642857142444,253.8714285714288,1.2037448652298515,89.76785714285852,3.2328124999997243,0.031720823975373125,2.648238703505673,36.26071428571386,INCONCLUSIVE
2019Q1,2019,7,5,2,71.42857142857143,141.43571428571255,192.68928571428341,51.25357142857084,3.7595289526862223,15.303571428569924,20.20510204081608,1.3256237178243624,1.503811581074489,35.95000000000091,PASS
2019Q2,2019,6,3,3,50.0,130.23214285714246,174.03214285714319,43.80000000000072,3.9733365949118795,43.800000000000736,21.70535714285708,0.6171781161493758,3.973336594911879,16.160714285713947,PASS
2019Q3,2019,13,6,7,46.15384615384615,170.5464285714296,433.00714285714395,262.4607142857143,1.6497979289417506,163.22500000000014,13.118956043956123,0.3565071628637276,1.9247642504320426,61.492857142857886,PASS
2019Q4,2019,14,3,11,21.428571428571427,4.792857142858956,314.70000000000067,309.90714285714165,1.015465462004754,125.67499999999973,0.34234693877563976,-0.22983865150661206,3.723373360684098,52.08571428571368,INCONCLUSIVE
2020Q1,2020,15,4,11,26.666666666666668,-189.0535714285719,571.0785714285701,760.1321428571421,0.7512885447549054,400.64999999999986,-12.60357142857146,-0.1438335554032581,2.06604349807599,151.05357142857264,FAIL
2020Q2,2020,23,8,15,34.78260869565217,116.67499999999914,878.5642857142848,761.8892857142857,1.153139048136914,454.7321428571434,5.072826086956485,0.09121879587351739,2.162135715256714,77.88571428571295,INCONCLUSIVE
2020Q3,2020,19,6,13,31.57894736842105,-15.185714285713189,897.4821428571461,912.6678571428596,0.9833611820917492,439.31428571428626,-0.7992481203006941,-0.013629597117298586,2.130615894532123,113.70357142857138,FAIL
2020Q4,2020,23,5,18,21.73913043478261,-319.00357142857604,606.4749999999995,925.4785714285756,0.6553096081563943,399.7714285714312,-13.86972049689461,-0.22926876918027894,2.359114589363019,90.45357142857092,FAIL
2021Q1,2021,16,5,11,31.25,168.22142857142472,724.0749999999971,555.8535714285724,1.3026362287087352,225.77142857143264,10.513839285714045,0.1691627828809197,2.865799703159217,91.55714285714403,PASS
2021Q2,2021,14,5,9,35.714285714285715,130.75000000000063,485.81071428571386,355.06071428571323,1.368246879306359,162.17499999999737,9.33928571428576,0.12306183252947668,2.4628443827514457,55.83571428571368,PASS
2021Q3,2021,15,3,12,20.0,-227.60357142856537,225.1071428571462,452.71071428571156,0.49724279932786875,363.0892857142835,-15.173571428571025,-0.3480748004767896,1.988971197311475,58.43928571428542,FAIL
2021Q4,2021,5,3,2,60.0,400.7392857142863,496.78928571428554,96.04999999999919,5.17219454153347,44.382142857142014,80.14785714285726,0.9801960476710058,3.448129694355646,51.66785714285716,PASS
2022Q1,2022,11,4,7,36.36363636363637,230.14642857143127,545.4928571428602,315.3464285714289,1.729820945218985,113.13928571428634,20.922402597402844,0.25635869066717376,3.0271866541332235,72.84999999999918,PASS
2022Q2,2022,9,3,6,33.33333333333333,75.2785714285721,375.9857142857167,300.70714285714456,1.2503384878500687,125.84642857142755,8.36428571428579,0.20270163084449644,2.5006769757001375,63.839285714285054,PASS
2022Q3,2022,13,3,10,23.076923076923077,17.28928571428553,369.2035714285707,351.91428571428514,1.0491292522529834,187.33928571428697,1.3299450549450407,-0.16739899798033073,3.497097507509944,81.82857142857138,INCONCLUSIVE
2022Q4,2022,10,4,6,40.0,190.76428571428602,520.1642857142881,329.4000000000021,1.5791265504380232,97.13214285714355,19.0764285714286,0.4744158631780772,2.3686898256570346,73.29999999999991,PASS
2023Q1,2023,7,1,6,14.285714285714285,-174.8071428571415,97.76428571428532,272.5714285714268,0.35867400419287304,138.0535714285695,-24.972448979591643,-0.577436725351753,2.152044025157238,73.825,FAIL
2023Q2,2023,10,6,4,60.0,415.6142857142827,580.189285714285,164.57500000000235,3.5253792235411012,88.7750000000018,41.561428571428266,1.0611791916777242,2.3502528156940676,57.732142857144666,PASS
2023Q3,2023,11,3,8,27.27272727272727,-202.96785714285784,118.35000000000072,321.31785714285854,0.36832686814347226,321.31785714285854,-18.45162337662344,-0.20987985198207923,0.982204981715926,51.41071428571486,FAIL
2023Q4,2023,10,5,5,50.0,137.07499999999118,365.9499999999948,228.87500000000364,1.5989077007099464,169.25357142857553,13.707499999999119,0.46793721524290455,1.5989077007099464,61.4071428571453,PASS
2024Q1,2024,12,3,9,25.0,-218.7749999999877,255.60000000001116,474.3749999999989,0.5388142292490367,305.58214285713956,-18.231249999998976,-0.18292801736280254,1.6164426877471099,59.79999999999855,FAIL
2024Q2,2024,11,2,9,18.181818181818183,-135.24285714285287,367.42857142857576,502.67142857142863,0.7309517719612442,231.4428571428587,-12.294805194804807,-0.372092392316051,3.289282973825599,99.80714285714221,FAIL
2024Q3,2024,9,3,6,33.33333333333333,34.29642857142987,323.40000000000185,289.1035714285719,1.1186302486750963,215.0857142857158,3.8107142857144303,-0.014078724625573679,2.2372604973501926,74.01785714285616,INCONCLUSIVE
2024Q4,2024,10,5,5,50.0,476.9214285714343,792.078571428573,315.15714285713875,2.5132813562395553,149.9428571428565,47.69214285714343,0.6796452359613783,2.5132813562395557,87.13214285714294,PASS
2025Q1,2025,11,5,6,45.45454545454545,425.15714285714233,756.3785714285759,331.2214285714337,2.283603976623299,91.11785714285651,38.6506493506493,0.5280438167961233,2.7403247719479586,91.11785714285652,PASS
2025Q2,2025,12,2,10,16.666666666666664,-712.0285714285714,613.3321428571422,1325.3607142857136,0.4627662011150601,876.0571428571411,-59.33571428571428,-0.41997642336432617,2.3138310055753006,221.77857142857027,FAIL
2025Q3,2025,6,4,2,66.66666666666666,724.6285714285711,949.5500000000013,224.92142857143006,4.221696465432351,224.92142857143017,120.77142857142853,1.4774623177104032,2.1108482327161755,145.57857142857137,PASS
