id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars
1,821,2018-02-27 15:30:00,821,2018-02-27 15:30:00,SELL,1327.06,1329.2275,1329.2275,1321.64125,0.1,-22.37500000000018,-216.75000000000182,-1.0,SL,2018Q1,2018,0
2,822,2018-02-27 16:00:00,825,2018-02-27 17:30:00,SELL,1327.93,1321.0273214285714,1330.6910714285714,1321.0273214285714,0.1,68.32678571428623,690.2678571428623,2.4134603254700298,TP,2018Q1,2018,3
3,1227,2018-03-12 10:30:00,1232,2018-03-12 13:00:00,SELL,1320.61,1316.4903571428572,1322.257857142857,1316.4903571428572,0.1,40.496428571427074,411.9642857142708,2.357380457380577,TP,2018Q1,2018,5
4,1730,2018-03-27 10:00:00,1732,2018-03-27 11:00:00,BUY,1355.51,1353.1914285714286,1353.1914285714286,1361.3064285714288,0.1,-23.88571428571431,-231.85714285714312,-1.0,SL,2018Q1,2018,2
5,2711,2018-04-26 17:30:00,2755,2018-04-27 16:30:00,SELL,1319.1,1322.8982142857142,1322.8982142857142,1309.6044642857141,0.1,-38.682142857142665,-379.8214285714266,-1.0,SL,2018Q2,2018,44
6,3258,2018-05-14 15:00:00,3260,2018-05-14 16:00:00,SELL,1318.8,1320.8517857142858,1320.8517857142858,1313.6705357142855,0.1,-21.2178571428587,-205.17857142858702,-1.0,SL,2018Q2,2018,2
7,3893,2018-06-01 14:30:00,3895,2018-06-01 15:30:00,SELL,1295.79,1290.9926785714285,1297.7089285714285,1290.9926785714285,0.1,47.27321428571422,479.7321428571422,2.376818100197576,TP,2018Q2,2018,2
8,4069,2018-06-07 10:30:00,4078,2018-06-07 15:00:00,BUY,1298.55,1302.5196428571426,1296.962142857143,1302.5196428571426,0.1,38.996428571426165,396.9642857142617,2.3522188711762086,TP,2018Q2,2018,9
9,4111,2018-06-08 08:30:00,4111,2018-06-08 08:30:00,SELL,1294.82,1296.4271428571428,1296.4271428571428,1290.8021428571428,0.1,-16.771428571428896,-160.71428571428896,-1.0,SL,2018Q2,2018,0
10,4113,2018-06-08 09:30:00,4115,2018-06-08 10:30:00,SELL,1294.59,1296.4832142857142,1296.4832142857142,1289.8569642857142,0.1,-19.632142857142934,-189.32142857142935,-1.0,SL,2018Q2,2018,2
