id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars
1,299,2018-02-12 03:30:00,357,2018-02-13 09:30:00,BUY,1320.57,1328.192142857143,1316.7589285714284,1328.192142857143,0.1,75.5214285714299,762.214285714299,1.9458912303303586,TP,2018Q1,2018,58
2,649,2018-02-21 21:30:00,649,2018-02-21 21:30:00,BUY,1332.18,1328.0185714285715,1328.0185714285715,1340.5028571428572,0.1,-42.31428571428587,-416.1428571428587,-1.0,SL,2018Q1,2018,0
3,752,2018-02-26 04:00:00,759,2018-02-26 07:30:00,BUY,1333.89,1339.0500000000002,1331.31,1339.0500000000002,0.1,50.900000000000816,516.0000000000082,1.9207547169810508,TP,2018Q1,2018,7
4,1730,2018-03-27 10:00:00,1732,2018-03-27 11:00:00,BUY,1355.51,1353.1914285714286,1353.1914285714286,1360.147142857143,0.1,-23.88571428571431,-231.85714285714312,-1.0,SL,2018Q1,2018,2
5,2750,2018-04-27 14:00:00,2753,2018-04-27 15:30:00,BUY,1319.79,1317.6375,1317.6375,1324.095,0.1,-22.22499999999918,-215.24999999999181,-1.0,SL,2018Q2,2018,3
6,3050,2018-05-08 03:00:00,3053,2018-05-08 04:30:00,BUY,1315.94,1314.4560714285715,1314.4560714285715,1318.9078571428572,0.1,-15.539285714285779,-148.3928571428578,-1.0,SL,2018Q2,2018,3
7,3733,2018-05-29 03:30:00,3734,2018-05-29 04:00:00,BUY,1299.82,1298.2664285714284,1298.2664285714284,1302.9271428571428,0.1,-16.235714285715584,-155.35714285715585,-1.0,SL,2018Q2,2018,1
8,3825,2018-05-31 03:30:00,3827,2018-05-31 04:30:00,BUY,1303.65,1302.2475000000002,1302.2475000000002,1306.4550000000002,0.1,-14.72499999999918,-140.24999999999181,-1.0,SL,2018Q2,2018,2
9,4069,2018-06-07 10:30:00,4078,2018-06-07 15:00:00,BUY,1298.55,1301.725714285714,1296.962142857143,1301.725714285714,0.1,31.057142857140935,317.57142857140934,1.873330461008179,TP,2018Q2,2018,9
10,4149,2018-06-11 04:30:00,4156,2018-06-11 08:00:00,BUY,1299.8,1298.5410714285713,1298.5410714285713,1302.317857142857,0.1,-13.289285714286688,-125.89285714286689,-1.0,SL,2018Q2,2018,7
11,4572,2018-06-22 09:00:00,4586,2018-06-22 16:00:00,BUY,1269.25,1267.632142857143,1267.632142857143,1272.4857142857143,0.1,-16.878571428570194,-161.78571428570194,-1.0,SL,2018Q2,2018,14
12,4600,2018-06-22 23:00:00,4612,2018-06-25 06:00:00,BUY,1270.3,1268.3425,1268.3425,1274.215,0.1,-20.274999999999817,-195.74999999999818,-1.0,SL,2018Q2,2018,12
13,4822,2018-06-29 19:00:00,4846,2018-07-02 08:00:00,BUY,1252.53,1250.34,1250.34,1256.91,0.1,-22.600000000000545,-219.00000000000546,-1.0,SL,2018Q2,2018,24
14,5225,2018-07-12 17:30:00,5251,2018-07-13 07:30:00,BUY,1247.07,1244.652857142857,1244.652857142857,1251.9042857142858,0.1,-24.87142857142835,-241.7142857142835,-1.0,SL,2018Q3,2018,26
15,5291,2018-07-16 04:30:00,5292,2018-07-16 05:00:00,BUY,1243.35,1242.0974999999999,1242.0974999999999,1245.855,0.1,-13.225000000000545,-125.25000000000546,-1.0,SL,2018Q3,2018,1
16,6282,2018-08-14 17:00:00,6286,2018-08-14 19:00:00,BUY,1197.12,1195.2975,1195.2975,1200.7649999999999,0.1,-18.92499999999991,-182.2499999999991,-1.0,SL,2018Q3,2018,4
17,6787,2018-08-29 16:30:00,6787,2018-08-29 16:30:00,BUY,1206.22,1203.1342857142859,1203.1342857142859,1212.3914285714286,0.1,-31.557142857141752,-308.5714285714175,-1.0,SL,2018Q3,2018,0
18,7284,2018-09-13 16:00:00,7286,2018-09-13 17:00:00,BUY,1209.88,1207.2935714285716,1207.2935714285716,1215.0528571428574,0.1,-26.564285714285415,-258.64285714285415,-1.0,SL,2018Q3,2018,2
19,7491,2018-09-20 04:30:00,7500,2018-09-20 09:00:00,BUY,1205.62,1204.310714285714,1204.310714285714,1208.2385714285713,0.1,-13.792857142858065,-130.92857142858065,-1.0,SL,2018Q3,2018,9
20,7640,2018-09-25 10:00:00,7640,2018-09-25 10:00:00,BUY,1200.29,1198.9271428571428,1198.9271428571428,1203.0157142857142,0.1,-14.328571428571376,-136.28571428571377,-1.0,SL,2018Q3,2018,0
21,8013,2018-10-05 12:30:00,8018,2018-10-05 15:00:00,BUY,1200.15,1203.5678571428573,1198.4410714285716,1203.5678571428573,0.1,33.47857142857201,341.78571428572013,1.8819514153785601,TP,2018Q4,2018,5
22,8273,2018-10-15 04:30:00,8284,2018-10-15 10:00:00,BUY,1221.63,1226.0400000000002,1219.4250000000002,1226.0400000000002,0.1,43.400000000000816,441.0000000000082,1.9076923076924046,TP,2018Q4,2018,11
23,8699,2018-10-26 10:30:00,8708,2018-10-26 15:00:00,BUY,1234.82,1232.8742857142856,1232.8742857142856,1238.7114285714285,0.1,-20.157142857143025,-194.57142857143026,-1.0,SL,2018Q4,2018,9
24,9375,2018-11-16 03:30:00,9378,2018-11-16 05:00:00,BUY,1216.02,1213.8567857142857,1213.8567857142857,1220.3464285714285,0.1,-22.332142857142752,-216.32142857142753,-1.0,SL,2018Q4,2018,3
25,9644,2018-11-26 07:00:00,9650,2018-11-26 10:00:00,BUY,1224.75,1227.7992857142858,1223.225357142857,1227.7992857142858,0.1,29.792857142858157,304.92857142858156,1.8683090705487164,TP,2018Q4,2018,6
26,9761,2018-11-28 19:30:00,9797,2018-11-29 14:30:00,BUY,1220.44,1227.7942857142857,1216.7628571428572,1227.7942857142857,0.1,72.84285714285652,735.4285714285652,1.9439573008006092,TP,2018Q4,2018,36
27,9804,2018-11-29 18:00:00,9804,2018-11-29 18:00:00,BUY,1227.9,1225.1260714285715,1225.1260714285715,1233.4478571428572,0.1,-28.439285714285415,-277.39285714285415,-1.0,SL,2018Q4,2018,0
28,10703,2018-12-28 20:30:00,10719,2018-12-31 05:30:00,BUY,1280.43,1277.5939285714287,1277.5939285714287,1286.102142857143,0.1,-29.060714285713583,-283.60714285713584,-1.0,SL,2018Q4,2018,16
29,10815,2019-01-03 20:30:00,10843,2019-01-04 11:30:00,BUY,1292.9,1289.375,1289.375,1299.95,0.1,-35.95000000000091,-352.5000000000091,-1.0,SL,2019Q1,2019,28
30,11150,2019-01-15 04:00:00,11152,2019-01-15 05:00:00,BUY,1293.17,1291.709642857143,1291.709642857143,1296.0907142857143,0.1,-15.30357142856992,-146.0357142856992,-1.0,SL,2019Q1,2019,2
31,12071,2019-02-12 08:30:00,12074,2019-02-12 10:00:00,BUY,1310.52,1313.7364285714284,1308.9117857142858,1313.7364285714284,0.1,31.464285714284234,321.64285714284233,1.8748669929772237,TP,2019Q1,2019,3
32,12884,2019-03-08 05:00:00,12889,2019-03-08 07:30:00,BUY,1287.33,1289.9378571428572,1286.0260714285714,1289.9378571428572,0.1,25.37857142857256,260.7857142857256,1.8471536262023949,TP,2019Q1,2019,5
33,13389,2019-03-25 03:30:00,13407,2019-03-25 12:30:00,BUY,1314.81,1318.3607142857143,1313.0346428571427,1318.3607142857143,0.1,34.807142857143205,355.0714285714321,1.886200890265029,TP,2019Q1,2019,18
34,13830,2019-04-05 18:00:00,13870,2019-04-08 15:00:00,BUY,1292.36,1299.4935714285714,1288.7932142857142,1299.4935714285714,0.1,70.63571428571485,713.3571428571486,1.9422567023470492,TP,2019Q2,2019,40
35,14682,2019-05-03 07:00:00,14686,2019-05-03 09:00:00,BUY,1272.51,1271.4524999999999,1271.4524999999999,1274.625,0.1,-11.275000000001182,-105.75000000001182,-1.0,SL,2019Q2,2019,4
36,14913,2019-05-10 07:30:00,14916,2019-05-10 09:00:00,BUY,1286.17,1284.6239285714287,1284.6239285714287,1289.2621428571429,0.1,-16.160714285713947,-154.60714285713948,-1.0,SL,2019Q2,2019,3
37,15295,2019-05-22 14:30:00,15300,2019-05-22 17:00:00,BUY,1274.79,1273.4132142857143,1273.4132142857143,1277.5435714285713,0.1,-14.467857142856882,-137.67857142856883,-1.0,SL,2019Q2,2019,5
38,16033,2019-06-13 19:00:00,16047,2019-06-14 03:00:00,BUY,1339.26,1344.9085714285713,1336.4357142857143,1344.9085714285713,0.1,55.78571428571358,564.8571428571358,1.9274432379072053,TP,2019Q2,2019,14
39,16629,2019-07-02 18:00:00,16630,2019-07-02 18:30:00,BUY,1394.15,1400.9621428571431,1390.7439285714286,1400.9621428571431,0.1,67.42142857143044,681.2142857143044,1.9395869721565822,TP,2019Q3,2019,1
40,16631,2019-07-02 19:00:00,16637,2019-07-02 22:00:00,BUY,1403.75,1412.3964285714287,1399.4267857142856,1412.3964285714287,0.1,85.76428571428714,864.6428571428714,1.9521990082107152,TP,2019Q3,2019,6
41,16695,2019-07-04 05:00:00,16702,2019-07-04 08:30:00,BUY,1420.82,1417.76,1417.76,1426.9399999999998,0.1,-31.299999999999454,-305.99999999999454,-1.0,SL,2019Q3,2019,7
42,17174,2019-07-18 18:30:00,17179,2019-07-18 21:00:00,BUY,1425.43,1434.685,1420.8025,1434.685,0.1,91.84999999999881,925.4999999999882,1.9552953698775464,TP,2019Q3,2019,5
43,17502,2019-07-29 21:30:00,17534,2019-07-30 14:30:00,BUY,1422.82,1429.5571428571427,1419.4514285714286,1429.5571428571427,0.1,66.67142857142771,673.7142857142771,1.9389281262982956,TP,2019Q3,2019,32
44,17548,2019-07-30 21:30:00,17585,2019-07-31 17:00:00,BUY,1430.82,1427.465357142857,1427.465357142857,1437.5292857142856,0.1,-34.24642857142835,-335.4642857142835,-1.0,SL,2019Q3,2019,37
45,17869,2019-08-08 21:00:00,17903,2019-08-09 15:00:00,BUY,1501.91,1495.8307142857143,1495.8307142857143,1514.0685714285714,0.1,-61.492857142857886,-607.9285714285788,-1.0,SL,2019Q3,2019,34
46,18443,2019-08-27 09:00:00,18455,2019-08-27 15:00:00,BUY,1531.74,1529.1482142857144,1529.1482142857144,1536.9235714285714,0.1,-26.617857142856064,-259.17857142856064,-1.0,SL,2019Q3,2019,12
