id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars
1,564,2018-02-20 02:00:00,579,2018-02-20 09:30:00,SELL,1345.24,1338.1878571428572,1347.5907142857143,1338.1878571428572,0.1,69.82142857142826,705.2142857142826,2.8843316612570074,TP,2018Q1,2018,15
2,650,2018-02-21 22:00:00,686,2018-02-22 17:00:00,SELL,1326.34,1331.2010714285714,1331.2010714285714,1311.7567857142858,0.1,-49.310714285714496,-486.10714285714494,-1.0,SL,2018Q1,2018,36
3,748,2018-02-26 02:00:00,750,2018-02-26 03:00:00,SELL,1326.98,1329.0703571428571,1329.0703571428571,1320.7089285714285,0.1,-21.603571428571012,-209.03571428571013,-1.0,SL,2018Q1,2018,2
4,821,2018-02-27 15:30:00,821,2018-02-27 15:30:00,SELL,1327.06,1329.2275,1329.2275,1320.5575,0.1,-22.37500000000018,-216.75000000000182,-1.0,SL,2018Q1,2018,0
5,822,2018-02-27 16:00:00,825,2018-02-27 17:30:00,SELL,1327.93,1319.6467857142857,1330.6910714285714,1319.6467857142857,0.1,82.13214285714393,828.3214285714394,2.901097514822914,TP,2018Q1,2018,3
6,877,2018-02-28 20:30:00,878,2018-02-28 21:00:00,SELL,1316.4,1319.6989285714287,1319.6989285714287,1306.5032142857144,0.1,-33.68928571428633,-329.89285714286325,-1.0,SL,2018Q1,2018,1
7,888,2018-03-01 03:00:00,910,2018-03-01 14:00:00,SELL,1315.28,1308.0382142857143,1317.6939285714286,1308.0382142857143,0.1,71.71785714285697,724.1785714285697,2.8872753414808607,TP,2018Q1,2018,22
8,1227,2018-03-12 10:30:00,1232,2018-03-12 13:00:00,SELL,1320.61,1315.6664285714287,1322.257857142857,1315.6664285714287,0.1,48.735714285712035,494.3571428571204,2.837006237006355,TP,2018Q1,2018,5
9,2711,2018-04-26 17:30:00,2755,2018-04-27 16:30:00,SELL,1319.1,1322.8982142857142,1322.8982142857142,1307.705357142857,0.1,-38.682142857142665,-379.8214285714266,-1.0,SL,2018Q2,2018,44
10,3258,2018-05-14 15:00:00,3260,2018-05-14 16:00:00,SELL,1318.8,1320.8517857142858,1320.8517857142858,1312.6446428571426,0.1,-21.2178571428587,-205.17857142858702,-1.0,SL,2018Q2,2018,2
11,3893,2018-06-01 14:30:00,3895,2018-06-01 15:30:00,SELL,1295.79,1290.0332142857144,1297.7089285714285,1290.0332142857144,0.1,56.8678571428557,575.678571428557,2.8592206859400218,TP,2018Q2,2018,2
12,4107,2018-06-08 06:30:00,4109,2018-06-08 07:30:00,SELL,1295.85,1297.0660714285714,1297.0660714285714,1292.2017857142855,0.1,-12.860714285714675,-121.60714285714675,-1.0,SL,2018Q2,2018,2
13,4111,2018-06-08 08:30:00,4111,2018-06-08 08:30:00,SELL,1294.82,1296.4271428571428,1296.4271428571428,1289.9985714285713,0.1,-16.771428571428896,-160.71428571428896,-1.0,SL,2018Q2,2018,0
14,4113,2018-06-08 09:30:00,4115,2018-06-08 10:30:00,SELL,1294.59,1296.4832142857142,1296.4832142857142,1288.910357142857,0.1,-19.632142857142934,-189.32142857142935,-1.0,SL,2018Q2,2018,2
15,4217,2018-06-12 15:30:00,4217,2018-06-12 15:30:00,SELL,1293.78,1295.807142857143,1295.807142857143,1287.6985714285713,0.1,-20.971428571429623,-202.71428571429624,-1.0,SL,2018Q2,2018,0
16,4253,2018-06-13 10:30:00,4262,2018-06-13 15:00:00,SELL,1294.4,1295.4360714285715,1295.4360714285715,1291.2917857142857,0.1,-11.060714285714038,-103.60714285714039,-1.0,SL,2018Q2,2018,9
17,4342,2018-06-15 09:00:00,4354,2018-06-15 15:00:00,SELL,1300.22,1295.6910714285714,1301.7296428571428,1295.6910714285714,0.1,44.589285714286504,452.89285714286507,2.8227447433869797,TP,2018Q2,2018,12
18,5152,2018-07-11 04:00:00,5180,2018-07-11 18:00:00,SELL,1253.2,1247.3403571428573,1255.1532142857143,1247.3403571428573,0.1,57.896428571427165,585.9642857142717,2.861606354810235,TP,2018Q3,2018,28
19,5252,2018-07-13 08:00:00,5254,2018-07-13 09:00:00,SELL,1244.65,1246.0610714285715,1246.0610714285715,1240.4167857142859,0.1,-14.810714285714038,-141.1071428571404,-1.0,SL,2018Q3,2018,2
20,5692,2018-07-26 21:00:00,5812,2018-07-31 12:00:00,SELL,1225.18,1219.07,1227.9142857142858,1216.9771428571426,0.1,60.40000000000127,611.0000000000127,2.153846153846163,TIME_EXIT,2018Q3,2018,120
21,6172,2018-08-10 08:00:00,6174,2018-08-10 09:00:00,SELL,1211.01,1206.3557142857144,1212.5614285714287,1206.3557142857144,0.1,45.84285714285606,465.42857142856064,2.827312775330128,TP,2018Q3,2018,2
22,6578,2018-08-23 04:00:00,6590,2018-08-23 10:00:00,SELL,1193.03,1186.5210714285715,1195.1996428571429,1186.5210714285715,0.1,64.38928571428441,650.8928571428442,2.874980066974864,TP,2018Q3,2018,12
23,6939,2018-09-04 04:30:00,6939,2018-09-04 04:30:00,SELL,1199.5,1200.8457142857144,1200.8457142857144,1195.462857142857,0.1,-14.157142857143935,-134.57142857143936,-1.0,SL,2018Q3,2018,0
24,7100,2018-09-07 16:00:00,7101,2018-09-07 16:30:00,SELL,1194.42,1197.6728571428573,1197.6728571428573,1184.6614285714286,0.1,-33.22857142857238,-325.28571428572377,-1.0,SL,2018Q3,2018,1
25,7674,2018-09-26 04:00:00,7675,2018-09-26 04:30:00,SELL,1199.96,1201.1417857142858,1201.1417857142858,1196.414642857143,0.1,-12.517857142857519,-118.1785714285752,-1.0,SL,2018Q3,2018,1
26,8005,2018-10-05 08:30:00,8007,2018-10-05 09:30:00,SELL,1197.8,1199.1767857142856,1199.1767857142856,1193.6696428571427,0.1,-14.467857142856882,-137.67857142856883,-1.0,SL,2018Q4,2018,2
27,8149,2018-10-10 11:30:00,8153,2018-10-10 13:30:00,SELL,1187.22,1188.9460714285715,1188.9460714285715,1182.0417857142857,0.1,-17.960714285714584,-172.60714285714585,-1.0,SL,2018Q4,2018,4
28,8489,2018-10-19 20:30:00,8496,2018-10-22 01:00:00,SELL,1225.5,1228.0575000000001,1228.0575000000001,1217.8274999999999,0.1,-26.27500000000118,-255.75000000001182,-1.0,SL,2018Q4,2018,7
29,8516,2018-10-22 11:00:00,8558,2018-10-23 09:00:00,SELL,1225.5,1227.3203571428571,1227.3203571428571,1220.0389285714284,0.1,-18.903571428571194,-182.03571428571195,-1.0,SL,2018Q4,2018,42
30,8984,2018-11-05 15:00:00,8987,2018-11-05 16:30:00,SELL,1228.64,1231.0132142857144,1231.0132142857144,1221.5203571428574,0.1,-24.432142857143116,-237.32142857143117,-1.0,SL,2018Q4,2018,3
31,9136,2018-11-08 22:00:00,9169,2018-11-09 15:30:00,SELL,1221.47,1211.3289285714288,1224.850357142857,1211.3289285714288,0.1,100.71071428571194,1014.1071428571195,2.9188489804368056,TP,2018Q4,2018,33
32,9810,2018-11-29 21:00:00,9876,2018-12-03 08:00:00,SELL,1223.49,1227.0567857142858,1227.0567857142858,1212.7896428571428,0.1,-36.36785714285743,-356.6785714285743,-1.0,SL,2018Q4,2018,66
33,10276,2018-12-14 01:00:00,10305,2018-12-14 15:30:00,SELL,1241.47,1235.8835714285717,1243.3321428571428,1235.8835714285717,0.1,55.16428571428314,558.6428571428314,2.8550831792975906,TP,2018Q4,2018,29
34,11299,2019-01-18 09:30:00,11302,2019-01-18 11:00:00,SELL,1290.46,1286.429285714286,1291.8035714285713,1286.429285714286,0.1,39.60714285714111,403.07142857141116,2.801920161697969,TP,2019Q1,2019,3
