quarter,year,trades,wins,losses,win_rate_pct,net_pnl_usd,gross_profit_usd,gross_loss_usd,profit_factor,max_drawdown_pct,expectancy_usd,expectancy_r,payoff_ratio,tail_loss_usd,verdict
2018Q2,2018,54,13,41,24.074074074074073,-311.2392857142893,882.4892857142873,1193.728571428577,0.7392713107789498,437.45892857143264,-5.7636904761905425,-0.18194023875070117,2.331547980148996,61.68571428571404,FAIL
2018Q3,2018,54,11,43,20.37037037037037,-451.60178571429265,616.0589285714283,1067.6607142857213,0.577017511582394,506.66964285714994,-8.36299603174616,-0.3095839638292767,2.255613908912995,40.128571428572926,FAIL
2018Q4,2018,45,11,34,24.444444444444443,-285.83035714286007,615.0946428571408,900.9250000000011,0.6827367903622833,372.7107142857199,-6.351785714285779,-0.1726395904158077,2.110277352028876,59.43571428571495,FAIL
2019Q1,2019,48,10,38,20.833333333333336,-397.70892857143383,547.8125000000005,945.5214285714346,0.57937608122502,361.75892857143253,-8.285602678571538,-0.2947654090004333,2.201629108655076,39.72142857142963,FAIL
2019Q2,2019,55,17,38,30.909090909090907,628.5339285714317,1504.4660714285676,875.9321428571361,1.717560068661557,373.0732142857071,11.427889610389668,0.05538087986316704,3.839251918184657,39.464285714285054,PASS
2019Q3,2019,63,16,47,25.396825396825395,-713.8500000000017,1653.639285714286,2367.4892857142863,0.6984780441003654,1102.9607142857192,-11.330952380952409,-0.11924719613948681,2.0517792545448232,95.73571428571604,FAIL
2019Q4,2019,52,11,41,21.153846153846153,-661.926785714292,799.5946428571389,1461.5214285714308,0.5470974473762629,814.8035714285774,-12.729361263736385,-0.2789554577847698,2.0391813947660706,65.83214285714185,FAIL
2020Q1,2020,55,18,37,32.72727272727273,581.2142857142853,3078.042857142855,2496.828571428569,1.232781013628718,614.2607142857146,10.56753246753246,0.12751319256257315,2.53404986134792,309.65714285714347,INCONCLUSIVE
2020Q2,2020,43,13,30,30.23255813953488,-71.98035714285652,2001.7910714285729,2073.77142857143,0.9652901201399796,864.3821428571437,-1.673961794019919,-0.0011801691297274378,2.2275925849384146,104.81071428571404,FAIL
2020Q3,2020,49,15,34,30.612244897959183,258.2357142857323,2777.35714285715,2519.121428571417,1.1025102289063444,933.0232142857045,5.270116618076169,0.07699023571698077,2.499023185521047,159.8285714285709,INCONCLUSIVE
2020Q4,2020,50,12,38,24.0,-582.1464285714296,1694.5285714285696,2276.674999999999,0.74429972281005,745.93928571429,-11.642928571428593,-0.17104687279443234,2.3569491222318253,102.01428571428615,FAIL
2021Q1,2021,37,10,27,27.027027027027028,-81.71607142857137,1837.1160714285684,1918.83214285714,0.9574136425988276,694.1821428571434,-2.2085424710424695,-0.06381433913490617,2.5850168350168348,108.91428571428442,FAIL
2021Q2,2021,51,9,42,17.647058823529413,-958.5321428571349,1201.253571428573,2159.7857142857074,0.5561910903859535,1014.9982142857093,-18.794747899159507,-0.390632292786726,2.5955584218011163,98.49999999999973,FAIL
2021Q3,2021,44,10,34,22.727272727272727,-562.6499999999971,1174.4500000000044,1737.1000000000017,0.6760980945253602,1034.662500000001,-12.787499999999936,-0.23627851709428052,2.2987335213862248,88.64285714285707,FAIL
2021Q4,2021,47,14,33,29.78723404255319,17.14285714285974,1668.2142857142867,1651.0714285714273,1.0103828682673601,799.3017857142863,0.36474164133744125,-0.004917478967160523,2.3816167609159207,96.325,INCONCLUSIVE
