quarter,year,trades,wins,losses,win_rate_pct,net_pnl_usd,gross_profit_usd,gross_loss_usd,profit_factor,max_drawdown_pct,expectancy_usd,expectancy_r,payoff_ratio,tail_loss_usd,verdict
2018Q2,2018,9,1,8,11.11111111111111,-110.71071428571604,31.057142857140935,141.76785714285697,0.21907041189065304,88.48571428571687,-12.301190476190671,-0.6807410598879802,1.7525632951252244,22.600000000000545,FAIL
2018Q3,2018,7,0,7,0.0,-143.2642857142854,0.0,143.2642857142854,0.0,118.39285714285704,-20.4663265306122,-1.0,0.0,31.557142857141752,FAIL
2018Q4,2018,8,4,4,50.0,79.52500000000272,179.5142857142875,99.98928571428478,1.7953352144873012,57.499999999999005,9.94062500000034,0.4502387618025363,1.7953352144873012,29.060714285713583,PASS
2019Q1,2019,5,3,2,60.0,40.39642857142916,91.65,51.25357142857084,1.788168071911386,15.303571428569924,8.079285714285833,0.7216443018889296,1.1921120479409237,35.95000000000091,PASS
2019Q2,2019,5,2,3,40.0,84.51785714285641,126.42142857142844,41.90357142857201,3.0169607091110096,41.90357142857202,16.903571428571283,0.1739399880508509,4.5254410636665146,16.160714285713947,PASS
2019Q3,2019,10,6,4,60.0,279.3500000000022,433.00714285714395,153.65714285714176,2.8180085533655905,122.35714285714226,27.93500000000022,0.7634593117228459,1.878672368910394,61.492857142857886,PASS
2019Q4,2019,5,1,4,20.0,-13.485714285712685,101.75000000000118,115.23571428571387,0.8829727886939948,48.71428571428524,-2.697142857142537,-0.40808858931149833,3.531891154775979,45.292857142856704,FAIL
2020Q1,2020,8,3,5,37.5,167.12499999999812,419.35714285714124,252.23214285714312,1.662584070796452,115.58571428571405,20.890624999999766,0.1121072576585527,2.7709734513274196,114.88214285714385,PASS
2020Q2,2020,19,8,11,42.10526315789473,254.02142857142667,818.7999999999984,564.7785714285717,1.4497717183725571,221.50714285714378,13.369548872180351,0.2451728152819693,1.993436112762266,86.41428571428669,PASS
2020Q3,2020,10,5,5,50.0,161.48214285714454,585.7214285714294,424.23928571428496,1.3806392955458133,236.47500000000002,16.148214285714452,0.47677415615801844,1.3806392955458133,113.70357142857138,PASS
2020Q4,2020,12,3,9,25.0,-113.1000000000003,320.10000000000025,433.20000000000056,0.7389196675900274,196.95357142857375,-9.425000000000026,-0.2602176646611505,2.216759002770082,90.45357142857092,FAIL
2021Q1,2021,12,2,10,16.666666666666664,-389.1321428571458,140.34999999999954,529.4821428571454,0.2650703180331165,336.21071428571685,-32.42767857142882,-0.5096852659948761,1.3253515901655823,91.55714285714403,FAIL
2021Q2,2021,9,4,5,44.44444444444444,112.72499999999916,320.45000000000044,207.72500000000127,1.5426645805752726,154.16785714285805,12.524999999999906,0.3082580592548903,1.9283307257190905,55.83571428571368,PASS
2021Q3,2021,6,3,3,50.0,71.21785714286104,163.73571428571756,92.51785714285653,1.7697741748697635,92.51785714285653,11.869642857143505,0.4626266109188942,1.7697741748697635,40.06428571428451,PASS
2021Q4,2021,4,2,2,50.0,164.25714285714292,260.30714285714214,96.04999999999919,2.7101212166282598,44.38214285714204,41.06428571428573,0.48402130998056103,2.7101212166282598,51.66785714285716,PASS
2022Q1,2022,5,2,3,40.0,95.24285714285632,218.71428571428498,123.47142857142863,1.771375679740824,64.37857142857084,19.048571428571265,0.18426864774747567,2.6570635196112358,59.092857142857795,PASS
2022Q2,2022,4,1,3,25.0,-15.753571428572556,146.08571428571332,161.8392857142859,0.9026591636323443,104.56785714285743,-3.938392857143139,-0.2570857032681075,2.707977490897033,63.839285714285054,FAIL
2022Q3,2022,5,2,3,40.0,-40.51785714286189,98.67142857142525,139.18928571428714,0.7089010340491825,57.360714285715765,-8.103571428572378,0.16636612057394923,1.0633515510737737,81.82857142857138,FAIL
2022Q4,2022,5,1,4,20.0,-123.21071428571578,83.6642857142845,206.87500000000028,0.40441950798445625,97.13214285714358,-24.642142857143156,-0.4097942866661219,1.617678031937825,63.02500000000073,FAIL
2023Q1,2023,4,1,3,25.0,-8.510714285714869,97.76428571428532,106.27500000000019,0.9199180024868044,69.52142857142817,-2.127678571428717,-0.26051426936556765,2.7597540074604137,38.90714285714303,FAIL
2023Q2,2023,5,3,2,60.0,181.5571428571402,289.82142857142924,108.26428571428906,2.6769809329022127,57.73214285714465,36.31142857142804,0.7737798042385183,1.7846539552681417,57.732142857144666,PASS
2023Q3,2023,6,3,3,50.0,-2.5928571428578095,118.35000000000072,120.94285714285853,0.9785613040396829,120.94285714285853,-0.43214285714296824,0.4485536046995214,0.9785613040396828,51.41071428571486,FAIL
2023Q4,2023,8,5,3,62.5,239.6607142857096,365.9499999999948,126.28928571428524,2.8977121687734773,95.12857142857126,29.9575892857137,0.8349215190536305,1.7386273012640865,52.66428571428669,PASS
2024Q1,2024,10,3,7,30.0,-108.29285714285291,237.34285714286023,345.6357142857131,0.6866849903903892,231.56428571428344,-10.829285714285291,-0.11600422159611438,1.6022649775775748,59.79999999999855,FAIL
2024Q2,2024,7,1,6,14.285714285714285,-276.5499999999996,61.74285714285979,338.2928571428594,0.1825130381537618,201.32499999999965,-39.5071428571428,-0.5808266470607035,1.095078228922571,99.80714285714221,FAIL
2024Q3,2024,6,4,2,66.66666666666666,294.19285714285786,381.58571428571327,87.39285714285543,4.366326113608574,55.44999999999908,49.03214285714298,0.9672705386540317,2.183163056804287,55.44999999999909,PASS
2024Q4,2024,4,3,1,75.0,240.4035714285667,327.5357142857096,87.13214285714294,3.7590687379595282,87.13214285714292,60.10089285714167,1.2181280497270803,1.253022912653176,87.13214285714294,PASS
2025Q1,2025,6,3,3,50.0,210.91071428571541,401.76428571428954,190.85357142857413,2.1050917868972,91.11785714285651,35.1517857142859,0.48340054976298563,2.1050917868972006,91.11785714285652,PASS
2025Q2,2025,3,1,2,33.33333333333333,-16.5214285714315,270.9714285714261,287.4928571428576,0.942532733732505,287.4928571428576,-5.507142857143833,-0.005126863719591886,1.88506546746501,153.27142857142752,FAIL
2025Q3,2025,2,1,1,50.0,43.921428571428436,123.26428571428714,79.3428571428587,1.5535649981994832,0.0,21.960714285714218,0.4832488177312192,1.5535649981994832,79.3428571428587,INCONCLUSIVE
2025Q4,2025,8,5,3,62.5,824.0607142857375,1327.557142857162,503.4964285714246,2.6366763844261083,420.38214285713946,103.00758928571719,0.8640201084605806,1.582005830655665,216.65714285714165,PASS
2026Q1,2026,12,6,6,50.0,1562.7321428571408,3169.0928571428512,1606.3607142857102,1.9728401155228892,982.8607142857127,130.2276785714284,0.4953928241006194,1.9728401155228894,617.5642857142823,PASS
2026Q2,2026,5,2,3,40.0,-50.11785714285992,602.8642857142892,652.982142857149,0.9232477370306527,221.23214285714602,-10.023571428571984,0.1943724135321559,1.3848716055459789,228.2071428571482,FAIL
