id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars
1,299,2018-02-12 03:30:00,357,2018-02-13 09:30:00,BUY,1320.57,1328.192142857143,1316.7589285714284,1328.192142857143,0.1,75.5214285714299,762.214285714299,1.9458912303303586,TP,2018Q1,2018,58
2,564,2018-02-20 02:00:00,579,2018-02-20 09:30:00,SELL,1345.24,1338.1878571428572,1347.5907142857143,1338.1878571428572,0.1,69.82142857142826,705.2142857142826,2.8843316612570074,TP,2018Q1,2018,15
3,649,2018-02-21 21:30:00,649,2018-02-21 21:30:00,BUY,1332.18,1328.0185714285715,1328.0185714285715,1340.5028571428572,0.1,-42.31428571428587,-416.1428571428587,-1.0,SL,2018Q1,2018,0
4,650,2018-02-21 22:00:00,686,2018-02-22 17:00:00,SELL,1326.34,1331.2010714285714,1331.2010714285714,1311.7567857142858,0.1,-49.310714285714496,-486.10714285714494,-1.0,SL,2018Q1,2018,36
5,748,2018-02-26 02:00:00,750,2018-02-26 03:00:00,SELL,1326.98,1329.0703571428571,1329.0703571428571,1320.7089285714285,0.1,-21.603571428571012,-209.03571428571013,-1.0,SL,2018Q1,2018,2
6,752,2018-02-26 04:00:00,759,2018-02-26 07:30:00,BUY,1333.89,1339.0500000000002,1331.31,1339.0500000000002,0.1,50.900000000000816,516.0000000000082,1.9207547169810508,TP,2018Q1,2018,7
7,821,2018-02-27 15:30:00,821,2018-02-27 15:30:00,SELL,1327.06,1329.2275,1329.2275,1320.5575,0.1,-22.37500000000018,-216.75000000000182,-1.0,SL,2018Q1,2018,0
8,822,2018-02-27 16:00:00,825,2018-02-27 17:30:00,SELL,1327.93,1319.6467857142857,1330.6910714285714,1319.6467857142857,0.1,82.13214285714393,828.3214285714394,2.901097514822914,TP,2018Q1,2018,3
9,877,2018-02-28 20:30:00,878,2018-02-28 21:00:00,SELL,1316.4,1319.6989285714287,1319.6989285714287,1306.5032142857144,0.1,-33.68928571428633,-329.89285714286325,-1.0,SL,2018Q1,2018,1
10,888,2018-03-01 03:00:00,910,2018-03-01 14:00:00,SELL,1315.28,1308.0382142857143,1317.6939285714286,1308.0382142857143,0.1,71.71785714285697,724.1785714285697,2.8872753414808607,TP,2018Q1,2018,22
11,1227,2018-03-12 10:30:00,1232,2018-03-12 13:00:00,SELL,1320.61,1315.6664285714287,1322.257857142857,1315.6664285714287,0.1,48.735714285712035,494.3571428571204,2.837006237006355,TP,2018Q1,2018,5
12,1730,2018-03-27 10:00:00,1732,2018-03-27 11:00:00,BUY,1355.51,1353.1914285714286,1353.1914285714286,1360.147142857143,0.1,-23.88571428571431,-231.85714285714312,-1.0,SL,2018Q1,2018,2
13,2711,2018-04-26 17:30:00,2755,2018-04-27 16:30:00,SELL,1319.1,1322.8982142857142,1322.8982142857142,1307.705357142857,0.1,-38.682142857142665,-379.8214285714266,-1.0,SL,2018Q2,2018,44
14,3050,2018-05-08 03:00:00,3053,2018-05-08 04:30:00,BUY,1315.94,1314.4560714285715,1314.4560714285715,1318.9078571428572,0.1,-15.539285714285779,-148.3928571428578,-1.0,SL,2018Q2,2018,3
