config_id,mechanism_family,description,total_trades,min_trades_per_q,median_trades_per_q,max_trades_per_q,max_q_trade_share_pct,max_to_median_ratio,trade_count_gini,top3_q_pnl_share_pct,top5_q_pnl_share_pct,rolling_4q_pos_pct,rolling_4q_pf12_pct,overall_pf,overall_wr_pct,net_pnl_usd,avg_expectancy_usd,long_trades,long_pf,short_trades,short_pf,gate_min_trades,gate_max_share,gate_max_median,gate_gini,gate_top3_pnl,gate_top5_pnl,gate_r4_pos,gate_r4_pf,gate_pf,gate_expectancy,all_precommitted_gates_pass,primary_failure_reason,final_status
H-209-C1,MHTP,"Trend Persistence (EMA50/100, EMA20 Pullback, SL1.5, TP3.0)",3986,106,120.0,138,3.462117410938284,1.15,0.03763171098845961,-999.0,-999.0,23.333333333333332,0.0,0.9484108116806969,31.779350744447154,-9928.553571428503,-2.4233716308099837,2261,0.9956504184445674,1836,0.8937596215259295,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.948 < 1.25),REJECTED
H-209-C2,MHTP,"Trend Persistence (EMA50/100, EMA20 Pullback, SL1.5, TP3.75)",3555,91,109.0,124,3.488045007032349,1.1376146788990826,0.03767634147380983,-999.0,-999.0,30.0,0.0,0.9774624886352039,27.59846827133479,-4083.2357142858,-1.116858783995022,2018,1.0343131768909954,1638,0.9116519837990829,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.977 < 1.25),REJECTED
H-209-C3,MHTP,"Trend Persistence (EMA50/100, EMA20 Pullback, SL2.0, TP4.0)",2796,71,85.0,104,3.719599427753934,1.223529411764706,0.047188624441843324,433.7363956894352,573.9577358144,36.666666666666664,0.0,1.012917765366418,33.12456506610995,2281.900000000098,0.7939805149617599,1593,1.0940838987114292,1281,0.919344659251817,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.013 < 1.25),REJECTED
H-209-C4,MHTP,"Trend Persistence (EMA50/100, EMA20 Pullback, SL2.0, TP5.0)",2524,64,76.0,96,3.8034865293185423,1.263157894736842,0.044085866589828555,-999.0,-999.0,40.0,3.3333333333333335,0.9861145783163928,28.670253651037665,-2359.9642857141953,-0.9069808938179075,1432,1.0880645519275618,1170,0.8707142776504591,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.986 < 1.25),REJECTED
H-210-C1,EDMR,"Displacement MR (EMA50 Dist > 2.5 ATR, SL1.5, TP2.25)",5415,131,161.0,194,3.58264081255771,1.204968944099379,0.05496516410643834,-999.0,-999.0,0.0,0.0,0.8591512577995142,36.17900790797987,-37422.04999999996,-6.725745866283242,2421,0.938171352026974,3143,0.7909011906072966,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.859 < 1.25),REJECTED
H-210-C2,EDMR,"Displacement MR (EMA50 Dist > 2.5 ATR, SL1.5, TP3.0)",4946,121,147.0,182,3.679741205014153,1.2380952380952381,0.05463858152899803,-999.0,-999.0,6.666666666666667,0.0,0.880996443925536,30.622292241039776,-31252.12142857155,-6.154415405390223,2213,0.9452673124464728,2865,0.8242319089737954,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.881 < 1.25),REJECTED
H-210-C3,EDMR,"Displacement MR (EMA50 Dist > 3.0 ATR, SL1.5, TP2.25)",4180,90,125.0,160,3.827751196172249,1.28,0.06662316949398289,-999.0,-999.0,3.3333333333333335,0.0,0.8877253497280486,36.105287677614726,-23129.250000000022,-5.387665967854653,1843,0.9803046126830789,2450,0.8109023049998217,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.888 < 1.25),REJECTED
H-210-C4,EDMR,"Displacement MR (EMA50 Dist > 3.0 ATR, SL1.5, TP3.0)",3925,88,120.0,149,3.796178343949044,1.2416666666666667,0.06590233545647559,-999.0,-999.0,10.0,0.0,0.8829511511265754,30.41211519364449,-24863.082142857216,-6.1725625975315825,1727,0.960456735147776,2301,0.8170115474891342,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.883 < 1.25),REJECTED
H-211-C1,FBRLT,"Failed Breakout Trap (Donchian 20, SL1.5, TP3.0)",5069,128,151.0,184,3.6299072795423157,1.218543046357616,0.05507033244259522,-999.0,-999.0,3.3333333333333335,0.0,0.8584168262844556,30.332117488961412,-37594.071428571486,-7.217137920631885,2434,0.9523663813807128,2775,0.7733260448267758,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.858 < 1.25),REJECTED
H-211-C2,FBRLT,"Failed Breakout Trap (Donchian 20, SL1.5, TP3.75)",4371,109,131.0,159,3.63761153054221,1.213740458015267,0.053590122224302046,-999.0,-999.0,16.666666666666664,0.0,0.8729684073753995,26.340378197997776,-31388.623214285766,-6.983008501509626,2081,0.975146163434706,2414,0.7817630111162394,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.873 < 1.25),REJECTED
