id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars
1,41,2018-02-02 12:30:00,41,2018-02-02 12:30:00,BUY,1345.77,1343.8746428571428,1343.8746428571428,1349.5607142857143,0.1,-19.65357142857165,-189.5357142857165,-1.0,SL,2018Q1,2018,0
2,42,2018-02-02 13:00:00,47,2018-02-02 15:30:00,BUY,1345.51,1343.5192857142856,1343.5192857142856,1349.4914285714285,0.1,-20.607142857143753,-199.07142857143754,-1.0,SL,2018Q1,2018,5
3,49,2018-02-02 16:30:00,49,2018-02-02 16:30:00,BUY,1336.53,1333.1796428571429,1333.1796428571429,1343.2307142857142,0.1,-34.203571428570925,-335.0357142857092,-1.0,SL,2018Q1,2018,0
4,52,2018-02-02 18:00:00,106,2018-02-05 22:00:00,BUY,1330.46,1338.92,1326.23,1338.92,0.1,83.90000000000036,846.0000000000036,1.9511627906976745,TP,2018Q1,2018,54
5,107,2018-02-05 22:30:00,116,2018-02-06 04:00:00,SELL,1337.86,1341.3421428571428,1341.3421428571428,1330.8957142857141,0.1,-35.5214285714289,-348.21428571428896,-1.0,SL,2018Q1,2018,9
6,118,2018-02-06 05:00:00,138,2018-02-06 15:00:00,SELL,1344.48,1334.7835714285713,1349.3282142857145,1334.7835714285713,0.1,96.26428571428669,969.6428571428669,1.9573015757751346,TP,2018Q1,2018,20
7,139,2018-02-06 15:30:00,141,2018-02-06 16:30:00,BUY,1335.83,1332.5225,1332.5225,1342.445,0.1,-33.77499999999891,-330.7499999999891,-1.0,SL,2018Q1,2018,2
8,144,2018-02-06 18:00:00,152,2018-02-06 22:00:00,BUY,1328.46,1324.2482142857143,1324.2482142857143,1336.8835714285715,0.1,-42.81785714285725,-421.17857142857247,-1.0,SL,2018Q1,2018,8
9,172,2018-02-07 09:00:00,182,2018-02-07 14:00:00,SELL,1330.56,1325.9635714285712,1332.8582142857142,1325.9635714285712,0.1,45.264285714287595,459.642857142876,1.91132559191685,TP,2018Q1,2018,10
10,184,2018-02-07 15:00:00,186,2018-02-07 16:00:00,BUY,1324.45,1321.6107142857143,1321.6107142857143,1330.1285714285714,0.1,-29.092857142857792,-283.9285714285779,-1.0,SL,2018Q1,2018,2
11,187,2018-02-07 16:30:00,189,2018-02-07 17:30:00,BUY,1322.79,1319.6367857142857,1319.6367857142857,1329.0964285714285,0.1,-32.23214285714285,-315.32142857142844,-1.0,SL,2018Q1,2018,2
12,190,2018-02-07 18:00:00,192,2018-02-07 19:00:00,BUY,1321.01,1317.3542857142857,1317.3542857142857,1328.3214285714287,0.1,-37.25714285714339,-365.5714285714339,-1.0,SL,2018Q1,2018,2
13,193,2018-02-07 19:30:00,194,2018-02-07 20:00:00,BUY,1318.21,1314.0892857142858,1314.0892857142858,1326.4514285714286,0.1,-41.907142857142574,-412.0714285714257,-1.0,SL,2018Q1,2018,1
14,214,2018-02-08 07:00:00,228,2018-02-08 14:00:00,BUY,1311.24,1308.0846428571429,1308.0846428571429,1317.550714285714,0.1,-32.25357142857156,-315.5357142857156,-1.0,SL,2018Q1,2018,14
15,232,2018-02-08 16:00:00,238,2018-02-08 19:00:00,SELL,1314.85,1318.6664285714285,1318.6664285714285,1307.2171428571428,0.1,-38.8642857142856,-381.642857142856,-1.0,SL,2018Q1,2018,6
16,240,2018-02-08 20:00:00,299,2018-02-12 03:30:00,SELL,1319.77,1324.7875,1324.7875,1309.735,0.1,-50.874999999999275,-501.7499999999927,-1.0,SL,2018Q1,2018,59
17,322,2018-02-12 15:00:00,327,2018-02-12 17:30:00,BUY,1319.15,1323.6671428571428,1316.8914285714286,1323.6671428571428,0.1,44.47142857142744,451.7142857142744,1.90981595092015,TP,2018Q1,2018,5
18,330,2018-02-12 19:00:00,352,2018-02-13 07:00:00,SELL,1323.5,1326.7014285714286,1326.7014285714286,1317.097142857143,0.1,-32.71428571428551,-320.14285714285506,-1.0,SL,2018Q1,2018,22
19,353,2018-02-13 07:30:00,353,2018-02-13 07:30:00,SELL,1325.98,1328.0114285714287,1328.0114285714287,1321.9171428571428,0.1,-21.014285714287052,-203.14285714287053,-1.0,SL,2018Q1,2018,0
20,354,2018-02-13 08:00:00,357,2018-02-13 09:30:00,SELL,1326.28,1328.4560714285715,1328.4560714285715,1321.927857142857,0.1,-22.46071428571504,-217.6071428571504,-1.0,SL,2018Q1,2018,3
21,358,2018-02-13 10:00:00,358,2018-02-13 10:00:00,SELL,1327.15,1329.3057142857144,1329.3057142857144,1322.8385714285714,0.1,-22.25714285714339,-215.5714285714339,-1.0,SL,2018Q1,2018,0
22,360,2018-02-13 11:00:00,363,2018-02-13 12:30:00,SELL,1328.68,1330.96,1330.96,1324.1200000000001,0.1,-23.499999999999726,-227.99999999999727,-1.0,SL,2018Q1,2018,3
23,364,2018-02-13 13:00:00,370,2018-02-13 16:00:00,SELL,1329.39,1324.412142857143,1331.8789285714288,1324.412142857143,0.1,49.078571428571465,497.7857142857147,1.917934403349531,TP,2018Q1,2018,6
24,371,2018-02-13 16:30:00,386,2018-02-14 01:00:00,BUY,1324.67,1330.3550000000002,1321.8275,1330.3550000000002,0.1,56.150000000001725,568.5000000000173,1.927896995708232,TP,2018Q1,2018,15
25,390,2018-02-14 03:00:00,393,2018-02-14 04:30:00,SELL,1332.51,1334.555357142857,1334.555357142857,1328.4192857142857,0.1,-21.153571428570284,-204.53571428570285,-1.0,SL,2018Q1,2018,3
26,412,2018-02-14 14:00:00,415,2018-02-14 15:30:00,BUY,1330.42,1328.4892857142856,1328.4892857142856,1334.281428571429,0.1,-20.0071428571443,-193.071428571443,-1.0,SL,2018Q1,2018,3
27,418,2018-02-14 17:00:00,418,2018-02-14 17:00:00,SELL,1333.76,1338.0714285714287,1338.0714285714287,1325.1371428571429,0.1,-43.81428571428678,-431.1428571428678,-1.0,SL,2018Q1,2018,0
28,451,2018-02-15 10:30:00,458,2018-02-15 14:00:00,SELL,1355.1,1350.3857142857141,1357.4571428571428,1350.3857142857141,0.1,46.44285714285779,471.4285714285779,1.9134785167745745,TP,2018Q1,2018,7
29,475,2018-02-15 22:30:00,488,2018-02-16 06:00:00,SELL,1354.89,1358.7578571428571,1358.7578571428571,1347.1542857142858,0.1,-39.3785714285702,-386.78571428570194,-1.0,SL,2018Q1,2018,13
30,491,2018-02-16 07:30:00,498,2018-02-16 11:00:00,SELL,1358.38,1360.7832142857144,1360.7832142857144,1353.5735714285715,0.1,-24.732142857142843,-240.32142857142844,-1.0,SL,2018Q1,2018,7
31,500,2018-02-16 12:00:00,504,2018-02-16 14:00:00,SELL,1359.89,1354.9550000000002,1362.3575,1354.9550000000002,0.1,48.64999999999945,493.49999999999454,1.9172413793103438,TP,2018Q1,2018,4
32,505,2018-02-16 14:30:00,508,2018-02-16 16:00:00,BUY,1355.1,1352.5275,1352.5275,1360.245,0.1,-26.42499999999991,-257.2499999999991,-1.0,SL,2018Q1,2018,3
33,510,2018-02-16 17:00:00,517,2018-02-16 20:30:00,BUY,1354.05,1350.639642857143,1350.639642857143,1360.8707142857143,0.1,-34.80357142857038,-341.03571428570376,-1.0,SL,2018Q1,2018,7
34,519,2018-02-16 21:30:00,563,2018-02-20 01:30:00,BUY,1348.13,1344.1346428571428,1344.1346428571428,1356.1207142857145,0.1,-40.65357142857302,-399.53571428573014,-1.0,SL,2018Q1,2018,44
35,566,2018-02-20 03:00:00,566,2018-02-20 03:00:00,BUY,1344.05,1341.6339285714287,1341.6339285714287,1348.8821428571428,0.1,-24.860714285712856,-241.60714285712857,-1.0,SL,2018Q1,2018,0
36,572,2018-02-20 06:00:00,579,2018-02-20 09:30:00,BUY,1341.47,1338.9167857142859,1338.9167857142859,1346.5764285714286,0.1,-26.23214285714148,-255.3214285714148,-1.0,SL,2018Q1,2018,7
37,581,2018-02-20 10:30:00,591,2018-02-20 15:30:00,BUY,1338.18,1336.065,1336.065,1342.41,0.1,-21.85000000000009,-211.5000000000009,-1.0,SL,2018Q1,2018,10
38,593,2018-02-20 16:30:00,596,2018-02-20 18:00:00,SELL,1341.64,1334.3457142857144,1345.287142857143,1334.3457142857144,0.1,72.24285714285706,729.4285714285706,1.9435049961568023,TP,2018Q1,2018,3
39,602,2018-02-20 21:00:00,650,2018-02-21 22:00:00,BUY,1330.12,1325.0039285714283,1325.0039285714283,1340.3521428571428,0.1,-51.86071428571559,-511.60714285715585,-1.0,SL,2018Q1,2018,48
40,652,2018-02-21 23:00:00,752,2018-02-26 04:00:00,BUY,1324.82,1335.1935714285714,1319.6332142857143,1335.1935714285714,0.1,103.03571428571495,1037.3571428571495,1.9600516339425658,TP,2018Q1,2018,100
41,761,2018-02-26 08:30:00,776,2018-02-26 16:00:00,SELL,1339.22,1333.5778571428573,1342.0410714285715,1333.5778571428573,0.1,55.72142857142744,564.2142857142744,1.9273625694872607,TP,2018Q1,2018,15
42,778,2018-02-26 17:00:00,779,2018-02-26 17:30:00,BUY,1334.14,1331.3457142857144,1331.3457142857144,1339.7285714285717,0.1,-28.642857142857064,-279.42857142857065,-1.0,SL,2018Q1,2018,1
43,783,2018-02-26 19:30:00,820,2018-02-27 15:00:00,BUY,1330.98,1327.8396428571427,1327.8396428571427,1337.2607142857144,0.1,-32.103571428572835,-314.0357142857283,-1.0,SL,2018Q1,2018,37
44,822,2018-02-27 16:00:00,824,2018-02-27 17:00:00,BUY,1328.18,1325.4189285714288,1325.4189285714288,1333.702142857143,0.1,-28.31071428571313,-276.1071428571313,-1.0,SL,2018Q1,2018,2
45,825,2018-02-27 17:30:00,825,2018-02-27 17:30:00,BUY,1325.05,1321.8657142857141,1321.8657142857141,1331.4185714285713,0.1,-32.54285714285807,-318.42857142858065,-1.0,SL,2018Q1,2018,0
46,829,2018-02-27 19:30:00,904,2018-03-01 11:00:00,BUY,1315.8,1311.0792857142856,1311.0792857142856,1325.2414285714285,0.1,-47.90714285714394,-472.07142857143936,-1.0,SL,2018Q1,2018,75
47,907,2018-03-01 12:30:00,910,2018-03-01 14:00:00,BUY,1311.37,1309.4424999999999,1309.4424999999999,1315.225,0.1,-19.97500000000009,-192.7500000000009,-1.0,SL,2018Q1,2018,3
48,914,2018-03-01 16:00:00,914,2018-03-01 16:00:00,BUY,1310.5,1307.577142857143,1307.577142857143,1316.3457142857144,0.1,-29.92857142857083,-292.2857142857083,-1.0,SL,2018Q1,2018,0
49,917,2018-03-01 17:30:00,925,2018-03-01 21:30:00,BUY,1305.53,1312.9057142857143,1301.8421428571428,1312.9057142857143,0.1,73.05714285714366,737.5714285714366,1.944117088006083,TP,2018Q1,2018,8
50,928,2018-03-01 23:00:00,954,2018-03-02 13:00:00,SELL,1314.96,1321.7207142857144,1321.7207142857144,1301.4385714285715,0.1,-68.30714285714357,-676.0714285714357,-1.0,SL,2018Q1,2018,26
51,961,2018-03-02 16:30:00,965,2018-03-02 18:30:00,SELL,1324.85,1318.172857142857,1328.1885714285713,1318.172857142857,0.1,66.07142857142826,667.7142857142826,1.9383906119027656,TP,2018Q1,2018,4
52,994,2018-03-05 10:00:00,1002,2018-03-05 14:00:00,SELL,1326.55,1322.8728571428571,1328.3885714285714,1322.8728571428571,0.1,36.07142857142826,367.7142857142826,1.8899700598802385,TP,2018Q1,2018,8
53,1007,2018-03-05 16:30:00,1007,2018-03-05 16:30:00,BUY,1321.65,1319.6207142857143,1319.6207142857143,1325.7085714285715,0.1,-20.992857142858337,-202.92857142858338,-1.0,SL,2018Q1,2018,0
54,1008,2018-03-05 17:00:00,1012,2018-03-05 19:00:00,BUY,1321.23,1319.2017857142857,1319.2017857142857,1325.2864285714286,0.1,-20.982142857142843,-202.82142857142844,-1.0,SL,2018Q1,2018,4
55,1015,2018-03-05 20:30:00,1043,2018-03-06 11:30:00,BUY,1319.24,1324.3121428571428,1316.7039285714286,1324.3121428571428,0.1,50.021428571428075,507.2142857142808,1.9194189392901184,TP,2018Q1,2018,28
56,1044,2018-03-06 12:00:00,1047,2018-03-06 13:30:00,SELL,1324.13,1326.0617857142859,1326.0617857142859,1320.2664285714288,0.1,-20.01785714285752,-193.1785714285752,-1.0,SL,2018Q1,2018,3
57,1049,2018-03-06 14:30:00,1050,2018-03-06 15:00:00,SELL,1326.99,1329.3567857142857,1329.3567857142857,1322.2564285714286,0.1,-24.367857142856973,-236.67857142856974,-1.0,SL,2018Q1,2018,1
58,1053,2018-03-06 16:30:00,1054,2018-03-06 17:00:00,SELL,1330.55,1333.2146428571427,1333.2146428571427,1325.2207142857142,0.1,-27.346428571427804,-266.46428571427805,-1.0,SL,2018Q1,2018,1
59,1069,2018-03-07 01:30:00,1086,2018-03-07 10:00:00,SELL,1337.96,1331.4328571428573,1341.2235714285714,1331.4328571428573,0.1,64.57142857142735,652.7142857142735,1.937004499678593,TP,2018Q1,2018,17
60,1087,2018-03-07 10:30:00,1094,2018-03-07 14:00:00,BUY,1332.47,1330.2060714285715,1330.2060714285715,1336.9978571428571,0.1,-23.339285714285506,-226.39285714285506,-1.0,SL,2018Q1,2018,7
61,1097,2018-03-07 15:30:00,1100,2018-03-07 17:00:00,BUY,1330.57,1328.4260714285713,1328.4260714285713,1334.8578571428573,0.1,-22.139285714286597,-214.39285714286598,-1.0,SL,2018Q1,2018,3
