config_id,family,description,evaluation_start,evaluation_end,total_trades,min_trades_q,median_trades_q,max_trades_q,max_q_share,max_median,gini,net_pnl,gross_profit,gross_loss,pf,expectancy,win_rate_pct,long_trades,long_pf,long_expectancy,short_trades,short_pf,short_expectancy,top1_positive_q_share,top3_positive_q_share,top5_positive_q_share,top10_positive_q_share,profit_pool_applicable,rolling4_positive_pct,rolling4_pf120_pct,gate_A1,gate_A2,gate_A3,gate_A4,gate_B1,gate_B2,gate_D1,gate_D2,gate_E1,gate_E2,all_gates_pass,primary_failure_reason,final_status
H-209-C1,MHTP,"Trend Persistence (EMA50/100, EMA20 Pullback, SL1.5, TP3.0)",2018Q2,2026Q2,3986,106,120.0,138,3.462117410938284,1.15,0.03763171098845961,-9107.099999999933,177387.21428571426,186494.3142857142,0.9511668758649251,-2.28477170095332,31.81133968891119,2216,0.9898065252078464,-0.4643695203713161,1770,0.9055674891001166,-4.563874092009658,21.707236927526683,58.007382948505295,77.49009714090545,98.74398986842024,True,23.333333333333332,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.951 < 1.25),REJECTED
H-209-C2,MHTP,"Trend Persistence (EMA50/100, EMA20 Pullback, SL1.5, TP3.75)",2018Q2,2026Q2,3555,91,109.0,124,3.488045007032349,1.1376146788990826,0.03767634147380983,-2873.355357142944,172376.73392857128,175250.08928571426,0.983604257385236,-0.8082574844283948,27.59493670886076,1978,1.0298859306582924,1.4352078217535482,1577,0.928829626781773,-3.6221917746172885,12.652609485784321,35.898221804976785,54.125290770656434,89.60321634874695,True,30.0,0.0,True,True,True,True,True,True,False,False,False,False,False,Gate E1 (PF = 0.984 < 1.25),REJECTED
H-209-C3,MHTP,"Trend Persistence (EMA50/100, EMA20 Pullback, SL2.0, TP4.0)",2018Q2,2026Q2,2796,71,85.0,104,3.719599427753934,1.223529411764706,0.047188624441843324,1867.842857142933,173282.37142857144,171414.52857142856,1.0108966426166413,0.6680410790926085,33.0829756795422,1558,1.085542875354877,5.072244635980237,1238,0.9236433835291824,-4.8745672744057185,29.346636067480762,47.39525266893197,62.717521933966204,92.39928928766595,True,36.666666666666664,0.0,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.011 < 1.25),REJECTED
H-209-C4,MHTP,"Trend Persistence (EMA50/100, EMA20 Pullback, SL2.0, TP5.0)",2018Q2,2026Q2,2524,64,76.0,96,3.8034865293185423,1.263157894736842,0.044085866589828555,-2029.3928571428032,162256.90714285715,164286.29999999993,0.9876472179533973,-0.8040383744622833,28.763866877971473,1398,1.0830475907516823,5.227084610668349,1126,0.8776216607301243,-8.292057853336727,18.525222907696502,44.84543173313756,65.05762261237936,92.9804110462093,True,40.0,3.3333333333333335,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.988 < 1.25),REJECTED
H-210-C1,EDMR,"Displacement MR (EMA50 Dist > 2.5 ATR, SL1.5, TP2.25)",2018Q2,2026Q2,5415,131,161.0,194,3.58264081255771,1.204968944099379,0.05496516410643834,-35514.02142857139,222711.51785714284,258225.53928571424,0.8624689814694245,-6.558452710724171,36.32502308402585,2335,0.9530668671788759,-2.3883488834505755,3080,0.7852442508022636,-9.719878826530614,55.17499287242084,96.8643587708726,100.0,100.0,True,0.0,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.862 < 1.25),REJECTED
H-210-C2,EDMR,"Displacement MR (EMA50 Dist > 2.5 ATR, SL1.5, TP3.0)",2018Q2,2026Q2,4946,121,147.0,182,3.679741205014153,1.2380952380952381,0.05463858152899803,-29928.007142857263,225639.357142857,255567.36428571428,0.8828958179910682,-6.05095170700713,30.731904569348966,2135,0.9558919613938546,-2.4567363666778195,2811,0.8193739536917397,-8.780816435432273,24.167800478097018,62.51321274277608,85.8954580688523,100.0,True,6.666666666666667,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.883 < 1.25),REJECTED
H-210-C3,EDMR,"Displacement MR (EMA50 Dist > 3.0 ATR, SL1.5, TP2.25)",2018Q2,2026Q2,4180,90,125.0,160,3.827751196172249,1.28,0.06662316949398289,-23174.232142857145,177921.37142857135,201095.6035714285,0.8847601253767552,-5.5440746753246755,36.124401913875595,1776,0.980928563859021,-0.9760346283783712,2404,0.8054441187851336,-8.918799768243412,50.03598848368631,89.54836465753786,100.0,100.0,True,3.3333333333333335,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.885 < 1.25),REJECTED
H-210-C4,EDMR,"Displacement MR (EMA50 Dist > 3.0 ATR, SL1.5, TP3.0)",2018Q2,2026Q2,3925,88,120.0,149,3.796178343949044,1.2416666666666667,0.06590233545647559,-23852.153571428644,183202.17142857128,207054.32499999992,0.8848024373727588,-6.076981801637871,30.4968152866242,1666,0.9648004820287714,-2.0024845652546586,2259,0.8172721540118351,-9.08190096755838,26.03475343932532,58.06070903847868,85.02681173541717,100.0,True,10.0,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.885 < 1.25),REJECTED
H-211-C1,FBRLT,"Failed Breakout Trap (Donchian 20, SL1.5, TP3.0)",2018Q2,2026Q2,5069,128,151.0,184,3.6299072795423157,1.218543046357616,0.05507033244259522,-37509.73214285722,220984.94285714274,258494.675,0.8548916640435349,-7.399828791252164,30.42020122312093,2357,0.9549894501729954,-2.334096005818564,2712,0.7651089436068725,-11.80245864938896,29.966262743148615,75.4211045284528,98.69451484357855,100.00000000000003,True,3.3333333333333335,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.855 < 1.25),REJECTED
H-211-C2,FBRLT,"Failed Breakout Trap (Donchian 20, SL1.5, TP3.75)",2018Q2,2026Q2,4371,109,131.0,159,3.63761153054221,1.213740458015267,0.053590122224302046,-32466.473214285776,208113.6553571428,240580.1285714286,0.8650492315925151,-7.4276992025362105,26.332646991535118,2013,0.9679628899163174,-1.7983411397346207,2358,0.7739030667573331,-12.233423452078025,29.165295049018486,62.474448780903316,88.482960718012,99.99999999999999,True,16.666666666666664,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.865 < 1.25),REJECTED
