quarter,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,128,-870.9017857142858,1559.1732142857124,2430.0749999999975,0.6416152646670222,-6.803920200892858
2018Q3,120,-355.0392857142846,1784.9428571428577,2139.982142857142,0.8340924073131457,-2.958660714285705
2018Q4,114,-269.15000000000174,1575.5892857142758,1844.7392857142777,0.8540986240796689,-2.360964912280717
2019Q1,121,-223.48750000000305,1657.5124999999966,1881.0,0.8811868686868669,-1.8470041322314301
2019Q2,111,-627.3035714285564,1286.3035714285766,1913.6071428571329,0.6721879024281057,-5.651383526383391
2019Q3,92,-847.6571428571306,1942.1035714285792,2789.760714285708,0.6961541760494094,-9.213664596273158
2019Q4,131,-689.7232142857109,2057.926785714285,2747.649999999994,0.7489770479188722,-5.265062704471076
2020Q1,102,496.15714285714506,4791.046428571429,4294.889285714284,1.1155226851848008,4.864285714285736
2020Q2,105,-1463.0946428571276,3452.6767857142845,4915.77142857141,0.7023672349057286,-13.934234693877405
2020Q3,111,1392.080357142856,6348.576785714286,4956.496428571431,1.2808597518840708,12.541264478764468
2020Q4,106,141.06607142856635,4464.83035714286,4323.764285714292,1.0326257543443451,1.3308119946091164
2021Q1,110,106.73392857142616,4735.366071428563,4628.632142857137,1.0230594969047468,0.9703084415584197
2021Q2,112,-526.6214285714212,3388.7607142857205,3915.382142857141,0.8654993537394199,-4.701977040816261
2021Q3,119,-1206.5285714285537,2688.2892857142983,3894.8178571428502,0.6902220808051769,-10.13889555822314
2021Q4,112,-63.6035714285876,3351.639285714279,3415.242857142865,0.9813765597091987,-0.5678890306123893
2022Q1,127,-188.40357142855834,4814.707142857156,5003.110714285716,0.9623427139258384,-1.483492688413845
2022Q2,114,-645.8035714285614,3835.0714285714366,4480.874999999998,0.8558755663952773,-5.664943609022469
2022Q3,129,-413.2232142857198,4137.712500000007,4550.935714285726,0.9092003842223961,-3.2032807308970526
2022Q4,103,-420.35714285714397,3281.79642857143,3702.153571428573,0.8864560492300332,-4.08113730929266
2023Q1,122,-1473.4089285714213,3493.85892857143,4967.267857142851,0.7033763890037291,-12.077122365339518
2023Q2,130,-676.375000000015,3956.667857142859,4633.042857142874,0.8540106317045543,-5.202884615384731
2023Q3,115,44.151785714281985,2773.8375000000065,2729.6857142857234,1.0161746773568898,0.383928571428539
2023Q4,127,-433.6482142857212,3584.6874999999873,4018.3357142857067,0.8920826319353946,-3.414552868391506
2024Q1,121,-729.1964285714489,3187.446428571427,3916.642857142874,0.8138210566629546,-6.0264167650532965
2024Q2,113,-76.77499999996736,5100.850000000021,5177.624999999988,0.9851717727722716,-0.6794247787607731
2024Q3,121,-1496.1035714285456,4577.196428571442,6073.299999999987,0.7536588722064531,-12.364492325855748
2024Q4,115,51.76785714282886,5690.24642857142,5638.47857142859,1.0091811747596504,0.45015527950285966
2025Q1,107,1374.2178571428788,6521.282142857168,5147.0642857142875,1.2669906146222094,12.84315754339139
2025Q2,77,1462.0053571428464,8805.898214285706,7343.892857142858,1.199077707910848,18.987082560296706
2025Q3,96,572.9464285714383,6367.396428571441,5794.450000000001,1.0988784834749528,5.968191964285816
2025Q4,74,2063.0910714285556,10553.08035714284,8489.989285714291,1.2430027885783101,27.879609073358857
2026Q1,69,-1903.4678571428522,15057.58214285713,16961.04999999998,0.8877741733475903,-27.58649068322974
2026Q2,83,-1737.4410714285034,11603.566071428584,13341.007142857088,0.8697668734583694,-20.93302495696992
