window,net_pnl_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,-1748.4857142857136,0.7914852294797098,False,False
2018Q3->2019Q2,-1688.4071428571192,0.7925514876049765,False,False
2018Q4->2019Q3,-1329.4821428571217,0.8430921206536914,False,False
2019Q1->2019Q4,-1505.4571428571226,0.8345451490996579,False,False
2019Q2->2020Q1,-1021.078571428536,0.9111952801817488,False,False
2019Q3->2020Q2,9.775000000029763,1.0007276752967689,True,False
2019Q4->2020Q3,1224.367857142887,1.0782152513614336,True,False
2020Q1->2020Q4,2312.132142857168,1.1374357478532748,True,False
2020Q2->2021Q1,2220.0428571428743,1.1327678137390689,True,False
2020Q3->2021Q2,1702.3892857143057,1.1049665140108704,True,False
2020Q4->2021Q3,43.82142857145726,1.002841694678321,True,False
2021Q1->2021Q4,-527.6499999999827,0.9655357423618185,False,False
2021Q2->2022Q1,-1562.8392857142558,0.9024019084481101,False,False
2021Q3->2022Q2,-2626.774999999975,0.8471858711490128,False,False
2021Q4->2022Q3,-2968.900000000001,0.8351042980806617,False,False
2022Q1->2022Q4,-2883.028571428565,0.8354361945455813,False,False
2022Q2->2023Q1,-2627.864285714302,0.8445088178349036,False,False
2022Q3->2023Q2,-2337.0607142857407,0.8584294243495658,False,False
2022Q4->2023Q3,-1531.3035714285984,0.8941429981159952,False,False
2023Q1->2023Q4,-2234.917857142882,0.8474822805576131,False,False
2023Q2->2024Q1,-2458.2392857143004,0.8298464530033164,False,False
2023Q3->2024Q2,-1682.4392857142734,0.8904769134159822,False,False
2023Q4->2024Q3,-2369.1428571428023,0.8734799127237248,False,False
2024Q1->2024Q4,-1608.5892857142458,0.9209008006246399,False,False
2024Q2->2025Q1,-930.5357142856703,0.9574640301276475,False,False
2024Q3->2025Q2,1176.9321428571566,1.0525105274890683,True,False
2024Q4->2025Q3,2389.778571428549,1.1095054711986354,True,False
2025Q1->2025Q4,4506.775000000009,1.1759182546257942,True,False
2025Q2->2026Q1,2669.0464285714197,1.0738960503598178,True,False
2025Q3->2026Q2,3309.596428571453,1.080101876979183,True,False
