id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter
101,1853,2018-04-02 02:30:00,1868,2018-04-02 10:00:00,BUY,1326.99,1331.1835714285714,1324.8932142857143,1331.1835714285714,0.1,41.23571428571431,419.3571428571431,1.9030822482281193,TP,2018Q2,2018,15,2018-04-02 02:30:00,2018Q2
102,1869,2018-04-02 10:30:00,1877,2018-04-02 14:30:00,BUY,1331.42,1334.555,1329.8525,1334.555,0.1,30.64999999999991,313.4999999999991,1.8717557251907095,TP,2018Q2,2018,8,2018-04-02 10:30:00,2018Q2
103,1878,2018-04-02 15:00:00,1882,2018-04-02 17:00:00,BUY,1333.72,1336.6857142857143,1332.2371428571428,1336.6857142857143,0.1,28.957142857142845,296.57142857142844,1.8647654093834882,TP,2018Q2,2018,4,2018-04-02 15:00:00,2018Q2
104,1883,2018-04-02 17:30:00,1888,2018-04-02 20:00:00,BUY,1336.61,1341.392857142857,1334.2185714285713,1341.392857142857,0.1,47.1285714285721,478.28571428572104,1.914683691236217,TP,2018Q2,2018,5,2018-04-02 17:30:00,2018Q2
105,1889,2018-04-02 20:30:00,1902,2018-04-03 04:00:00,BUY,1342.9,1339.4607142857144,1339.4607142857144,1349.7785714285717,0.1,-35.092857142856886,-343.92857142856883,-1.0,SL,2018Q2,2018,13,2018-04-02 20:30:00,2018Q2
106,1914,2018-04-03 10:00:00,1914,2018-04-03 10:00:00,BUY,1341.31,1339.2582142857143,1339.2582142857143,1345.4135714285712,0.1,-21.217857142856428,-205.17857142856428,-1.0,SL,2018Q2,2018,0,2018-04-03 10:00:00,2018Q2
107,1927,2018-04-03 16:30:00,1961,2018-04-04 10:30:00,SELL,1334.15,1337.2314285714288,1337.2314285714288,1327.987142857143,0.1,-31.514285714286597,-308.142857142866,-1.0,SL,2018Q2,2018,34,2018-04-03 16:30:00,2018Q2
108,1962,2018-04-04 11:00:00,1962,2018-04-04 11:00:00,BUY,1339.74,1344.0942857142857,1337.5628571428572,1344.0942857142857,0.1,42.842857142856516,435.4285714285652,1.906547997457087,TP,2018Q2,2018,0,2018-04-04 11:00:00,2018Q2
109,1963,2018-04-04 11:30:00,1974,2018-04-04 17:00:00,BUY,1343.44,1340.8203571428571,1340.8203571428571,1348.6792857142857,0.1,-26.89642857142935,-261.9642857142935,-1.0,SL,2018Q2,2018,11,2018-04-04 11:30:00,2018Q2
110,1983,2018-04-04 21:30:00,2018,2018-04-05 16:00:00,SELL,1332.84,1323.1735714285712,1337.6732142857143,1323.1735714285712,0.1,95.96428571428696,966.6428571428696,1.9571709519994176,TP,2018Q2,2018,35,2018-04-04 21:30:00,2018Q2
111,2019,2018-04-05 16:30:00,2019,2018-04-05 16:30:00,SELL,1323.13,1326.2007142857144,1326.2007142857144,1316.9885714285715,0.1,-31.407142857143025,-307.07142857143026,-1.0,SL,2018Q2,2018,0,2018-04-05 16:30:00,2018Q2
112,2021,2018-04-05 17:30:00,2035,2018-04-06 01:30:00,SELL,1325.17,1328.8792857142857,1328.8792857142857,1317.7514285714287,0.1,-37.792857142856704,-370.928571428567,-1.0,SL,2018Q2,2018,14,2018-04-05 17:30:00,2018Q2
113,2041,2018-04-06 04:30:00,2044,2018-04-06 06:00:00,BUY,1332.42,1330.4271428571428,1330.4271428571428,1336.4057142857143,0.1,-20.628571428572467,-199.28571428572468,-1.0,SL,2018Q2,2018,3,2018-04-06 04:30:00,2018Q2
114,2052,2018-04-06 10:00:00,2052,2018-04-06 10:00:00,SELL,1324.66,1319.9264285714285,1327.0267857142858,1319.9264285714285,0.1,46.63571428571622,473.3571428571622,1.9138208998974984,TP,2018Q2,2018,0,2018-04-06 10:00:00,2018Q2
115,2053,2018-04-06 10:30:00,2053,2018-04-06 10:30:00,SELL,1321.72,1324.5239285714288,1324.5239285714288,1316.1121428571428,0.1,-28.739285714287416,-280.39285714287416,-1.0,SL,2018Q2,2018,0,2018-04-06 10:30:00,2018Q2
116,2062,2018-04-06 15:00:00,2062,2018-04-06 15:00:00,SELL,1322.86,1325.647857142857,1325.647857142857,1317.2842857142855,0.1,-28.57857142857092,-278.7857142857092,-1.0,SL,2018Q2,2018,0,2018-04-06 15:00:00,2018Q2
117,2063,2018-04-06 15:30:00,2063,2018-04-06 15:30:00,SELL,1321.25,1324.5414285714287,1324.5414285714287,1314.6671428571428,0.1,-33.614285714286964,-329.1428571428696,-1.0,SL,2018Q2,2018,0,2018-04-06 15:30:00,2018Q2
118,2065,2018-04-06 16:30:00,2065,2018-04-06 16:30:00,BUY,1334.83,1330.0846428571429,1330.0846428571429,1344.3207142857143,0.1,-48.15357142857074,-474.5357142857074,-1.0,SL,2018Q2,2018,0,2018-04-06 16:30:00,2018Q2
119,2066,2018-04-06 17:00:00,2164,2018-04-10 20:00:00,BUY,1331.66,1341.7742857142857,1326.6028571428571,1341.7742857142857,0.1,100.44285714285643,1011.4285714285643,1.9590415157425027,TP,2018Q2,2018,98,2018-04-06 17:00:00,2018Q2
120,2165,2018-04-10 20:30:00,2165,2018-04-10 20:30:00,BUY,1342.42,1338.747142857143,1338.747142857143,1349.7657142857145,0.1,-37.428571428570834,-367.2857142857083,-1.0,SL,2018Q2,2018,0,2018-04-10 20:30:00,2018Q2
121,2167,2018-04-10 21:30:00,2198,2018-04-11 14:00:00,BUY,1340.16,1348.0135714285716,1336.2332142857144,1348.0135714285716,0.1,77.83571428571513,785.3571428571513,1.9474577785721225,TP,2018Q2,2018,31,2018-04-10 21:30:00,2018Q2
122,2199,2018-04-11 14:30:00,2199,2018-04-11 14:30:00,BUY,1350.93,1348.337142857143,1348.337142857143,1356.1157142857144,0.1,-26.628571428571558,-259.2857142857156,-1.0,SL,2018Q2,2018,0,2018-04-11 14:30:00,2018Q2
123,2200,2018-04-11 15:00:00,2201,2018-04-11 15:30:00,BUY,1348.88,1354.5778571428573,1346.0310714285715,1354.5778571428573,0.1,56.27857142857174,569.7857142857174,1.9280557934662919,TP,2018Q2,2018,1,2018-04-11 15:00:00,2018Q2
124,2202,2018-04-11 16:00:00,2206,2018-04-11 18:00:00,BUY,1352.62,1359.5221428571426,1349.1689285714285,1359.5221428571426,0.1,68.32142857142735,690.2142857142735,1.9403590627852711,TP,2018Q2,2018,4,2018-04-11 16:00:00,2018Q2
125,2207,2018-04-11 18:30:00,2208,2018-04-11 19:00:00,BUY,1362.98,1357.9860714285714,1357.9860714285714,1372.9678571428572,0.1,-50.63928571428569,-499.3928571428569,-1.0,SL,2018Q2,2018,1,2018-04-11 18:30:00,2018Q2
126,2210,2018-04-11 20:00:00,2212,2018-04-11 21:00:00,BUY,1358.35,1352.4432142857142,1352.4432142857142,1370.1635714285715,0.1,-59.76785714285661,-590.6785714285661,-1.0,SL,2018Q2,2018,2,2018-04-11 20:00:00,2018Q2
127,2240,2018-04-12 12:00:00,2246,2018-04-12 15:00:00,SELL,1346.79,1341.5292857142856,1349.420357142857,1341.5292857142856,0.1,51.90714285714357,526.0714285714357,1.9222325089274725,TP,2018Q2,2018,6,2018-04-12 12:00:00,2018Q2
128,2247,2018-04-12 15:30:00,2260,2018-04-12 22:00:00,SELL,1342.92,1335.5121428571429,1346.6239285714287,1335.5121428571429,0.1,73.3785714285721,740.785714285721,1.9443550676634809,TP,2018Q2,2018,13,2018-04-12 15:30:00,2018Q2
129,2261,2018-04-12 22:30:00,2270,2018-04-13 04:00:00,SELL,1334.87,1338.9757142857143,1338.9757142857143,1326.6585714285713,0.1,-41.75714285714385,-410.57142857143845,-1.0,SL,2018Q2,2018,9,2018-04-12 22:30:00,2018Q2
130,2281,2018-04-13 09:30:00,2282,2018-04-13 10:00:00,SELL,1337.39,1339.1428571428573,1339.1428571428573,1333.8842857142859,0.1,-18.228571428572376,-175.28571428572377,-1.0,SL,2018Q2,2018,1,2018-04-13 09:30:00,2018Q2
131,2292,2018-04-13 15:00:00,2293,2018-04-13 15:30:00,SELL,1336.48,1339.5025,1339.5025,1330.435,0.1,-30.925000000000363,-302.25000000000364,-1.0,SL,2018Q2,2018,1,2018-04-13 15:00:00,2018Q2
132,2296,2018-04-13 17:00:00,2310,2018-04-16 01:00:00,BUY,1343.86,1340.1260714285713,1340.1260714285713,1351.327857142857,0.1,-38.03928571428578,-373.3928571428578,-1.0,SL,2018Q2,2018,14,2018-04-13 17:00:00,2018Q2
133,2313,2018-04-16 02:30:00,2328,2018-04-16 10:00:00,BUY,1345.75,1342.42,1342.42,1352.41,0.1,-33.999999999999275,-332.9999999999927,-1.0,SL,2018Q2,2018,15,2018-04-16 02:30:00,2018Q2
134,2340,2018-04-16 16:00:00,2375,2018-04-17 10:30:00,BUY,1345.76,1342.9442857142858,1342.9442857142858,1351.3914285714286,0.1,-28.857142857141934,-281.57142857141935,-1.0,SL,2018Q2,2018,35,2018-04-16 16:00:00,2018Q2
135,2376,2018-04-17 11:00:00,2393,2018-04-17 19:30:00,SELL,1342.87,1345.7639285714286,1345.7639285714286,1337.0821428571426,0.1,-29.639285714286597,-289.392857142866,-1.0,SL,2018Q2,2018,17,2018-04-17 11:00:00,2018Q2
