config_id,family,source_symmetric_config,description,evaluation_start,evaluation_end,baseline_spread_pips,baseline_slippage_pips,commission_per_lot,fixed_lot,total_trades,min_trades_q,p10_trades_q,p25_trades_q,median_trades_q,mean_trades_q,p75_trades_q,p90_trades_q,max_trades_q,max_q_share_pct,max_median,trade_count_cv,trade_count_gini,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd,win_rate_pct,top1_positive_q_share_pct,top3_positive_q_share_pct,top5_positive_q_share_pct,top10_positive_q_share_pct,positive_quarter_profit_pool_applicable,rolling4_positive_pct,rolling4_pf120_pct,full_calendar_years,profitable_full_calendar_years,profitable_full_calendar_year_pct,best_positive_year_share_pct,top3_positive_year_share_pct,positive_year_profit_pool_applicable,best_positive_trade_share_pct,top3_positive_trade_share_pct,top5_positive_trade_share_pct,positive_trade_profit_pool_applicable,gate_A1,gate_A2,gate_A3,gate_A4,gate_B1,gate_B2,gate_D1,gate_D2,gate_E1,gate_E2,all_gates_pass,primary_failure_reason,final_status,symmetric_v3_3_1_total_trades,symmetric_v3_3_1_pf,symmetric_v3_3_1_expectancy,symmetric_v3_3_1_r4_positive_pct,symmetric_v3_3_1_r4_pf120_pct
H-215-C1,MRLM-L,H-213-C1,Long-only MRLM: Channel50 0.75/0.25 SL1.5 TP3.0,2018Q2,2026Q2,25.0,0.0,7.0,0.1,3004,60,67.4,78.0,94.0,91.03030303030303,101.0,110.4,127,4.227696404793608,1.351063829787234,0.17802897059687514,0.10073437436952751,14097.814285714305,152900.12857142856,138802.3142857143,1.1015675736983388,4.693014076469476,33.92143808255659,34.78581760689976,60.9307670120664,78.70430915877391,94.85414221418907,True,46.666666666666664,16.666666666666664,7,4,57.14285714285714,52.23926912081228,95.9618411684232,True,1.0927067332186708,2.8172451317195057,4.09598833374802,True,True,True,True,True,False,False,False,False,False,True,False,Gate E1: PF = 1.102 < 1.25,REJECTED,5388,1.028044946847014,1.4105147682680992,33.33333333333333,0.0
H-215-C2,MRLM-L,H-213-C2,Long-only MRLM: Channel50 0.75/0.25 SL1.5 TP3.75,2018Q2,2026Q2,25.0,0.0,7.0,0.1,2600,49,64.0,71.0,81.0,78.78787878787878,88.0,95.6,100,3.8461538461538463,1.2345679012345678,0.16767819277222948,0.09496503496503497,20135.89107142861,148094.2767857143,127958.38571428572,1.1573628094714274,7.744573489011004,30.423076923076923,30.769637674482407,56.309576892556535,70.02899609769518,89.7626776411384,True,60.0,26.666666666666668,7,4,57.14285714285714,45.51228668129071,90.5846764559288,True,1.4103262768365676,3.6731958690165936,5.263448554941385,True,True,True,True,True,False,False,False,False,False,True,False,Gate E1: PF = 1.157 < 1.25,REJECTED,4656,1.0366760053389406,1.9892588672066875,46.66666666666666,3.333333333333333
H-215-C3,MRLM-L,H-213-C3,Long-only MRLM: Channel100 0.80/0.20 SL1.5 TP3.0,2018Q2,2026Q2,25.0,0.0,7.0,0.1,2428,42,48.6,61.0,73.0,73.57575757575758,87.0,93.8,113,4.654036243822076,1.547945205479452,0.24225516709879671,0.13826069592132195,16823.242857142774,127571.69999999997,110748.4571428572,1.1519049862287658,6.928847964226843,34.88467874794069,33.46247506696035,61.32300812163813,78.58285979322015,91.48039836495016,True,63.33333333333333,16.666666666666664,7,5,71.42857142857143,51.797404641737835,89.48768771578015,True,0.9721479875910608,2.504776305627113,3.9542245094887187,True,True,True,True,True,False,False,False,False,False,True,False,Gate E1: PF = 1.152 < 1.25,REJECTED,4204,1.0591037083109502,2.9368475601467723,46.66666666666666,3.333333333333333
H-215-C4,MRLM-L,H-213-C4,Long-only MRLM: Channel100 0.80/0.20 SL1.5 TP3.75,2018Q2,2026Q2,25.0,0.0,7.0,0.1,2071,34,43.4,56.0,62.0,62.75757575757576,73.0,82.4,85,4.104297440849831,1.3709677419354838,0.2212809485723426,0.12618702720103012,18102.56607142847,119086.15178571426,100983.58571428579,1.1792624607591804,8.740978305856336,30.90294543698696,22.427885646920746,46.98984895008868,63.158518967062825,82.24818607794711,True,63.33333333333333,36.666666666666664,7,4,57.14285714285714,46.669814289136305,85.69889596473202,True,0.9940177613011142,2.9299601451500146,4.573362216984418,True,True,True,True,True,False,False,False,False,False,True,False,Gate E1: PF = 1.179 < 1.25,REJECTED,3584,1.0620232070288385,3.3623116629464143,60.0,3.333333333333333
H-216-C1,VRA-L,H-214-C1,Long-only VRA: ATR7/28>1.20 3b breakout EMA50 SL1.5 TP3.0,2018Q2,2026Q2,25.0,0.0,7.0,0.1,1966,37,46.2,57.0,61.0,59.57575757575758,66.0,68.0,74,3.7639877924720246,1.2131147540983607,0.1467409126253284,0.07947224020469187,1205.6821428572132,92344.37142857148,91138.68928571428,1.0132290924118676,0.6132666036913597,33.36724313326551,14.096857399123216,36.32061938373627,55.209964011342784,88.11942551852104,True,46.666666666666664,3.3333333333333335,7,2,28.57142857142857,71.39273698011263,100.0,True,1.0846356789322398,3.201927691160997,4.771162477843023,True,True,True,True,True,True,True,False,False,False,True,False,Gate E1: PF = 1.013 < 1.25,REJECTED,3616,0.9364011213245902,-3.227652891908945,16.666666666666664,0.0
H-216-C2,VRA-L,H-214-C2,Long-only VRA: ATR7/28>1.20 3b breakout EMA50 SL1.5 TP3.75,2018Q2,2026Q2,25.0,0.0,7.0,0.1,1820,36,44.2,51.0,57.0,55.15151515151515,60.0,64.6,66,3.626373626373627,1.1578947368421053,0.1422896590042083,0.0783882783882784,2261.3250000000835,92838.61428571436,90577.28928571429,1.0249656952403048,1.2424862637363097,28.846153846153843,17.745389874249188,42.10762298188131,60.40097852718144,90.5869116531986,True,43.333333333333336,6.666666666666667,7,3,42.857142857142854,56.35934161955608,90.27401190190152,True,1.3487652843959717,3.6223458742459704,5.570448057096912,True,True,True,True,True,False,False,False,False,False,True,False,Gate E1: PF = 1.025 < 1.25,REJECTED,3263,0.9535105376264864,-2.530394356639344,26.666666666666668,0.0
H-216-C3,VRA-L,H-214-C3,Long-only VRA: ATR7/28>1.30 3b breakout EMA50 SL1.5 TP3.0,2018Q2,2026Q2,25.0,0.0,7.0,0.1,1509,26,30.6,43.0,46.0,45.72727272727273,53.0,56.6,61,4.042412193505633,1.326086956521739,0.20210648626904074,0.11293853043356025,3254.2571428571327,72433.21428571428,69178.95714285717,1.0470411419492338,2.156565369686635,33.86348575215374,25.61720287827004,44.4520506273035,60.264976903961355,88.19309519706589,True,66.66666666666666,3.3333333333333335,7,5,71.42857142857143,47.993807072416274,80.2161561525309,True,1.3827910439666036,4.08210519049567,6.157465251241287,True,True,True,True,True,False,False,False,False,False,True,False,Gate E1: PF = 1.047 < 1.25,REJECTED,2805,0.9960130688283506,-0.1975299210593353,36.66666666666666,0.0
H-216-C4,VRA-L,H-214-C4,Long-only VRA: ATR7/28>1.30 3b breakout EMA50 SL1.5 TP3.75,2018Q2,2026Q2,25.0,0.0,7.0,0.1,1409,25,30.4,39.0,44.0,42.696969696969695,49.0,53.0,59,4.187366926898509,1.3409090909090908,0.2010183710837999,0.11368475385508743,7029.471428571389,75492.44642857142,68462.97500000003,1.1026755180967724,4.988979012470822,29.95031937544358,22.50963539925411,43.07131145758923,58.29239134700319,85.54336650943468,True,80.0,10.0,7,6,85.71428571428571,26.777307797830563,62.120533942700185,True,1.6586758798242989,4.541204098707119,6.940051003210571,True,True,True,True,True,False,True,True,False,False,True,False,Gate E1: PF = 1.103 < 1.25,REJECTED,2548,1.0227765982912087,1.2040557019510882,50.0,3.333333333333333
H-217-C1,MHTP-L,H-209-C1,Long-only MHTP control: EMA50/100 EMA20 pullback SL1.5 TP3.0,2018Q2,2026Q2,25.0,0.0,7.0,0.1,2231,39,52.2,57.0,70.0,67.60606060606061,75.0,85.80000000000001,96,4.303003137606455,1.3714285714285714,0.19911482211109696,0.11192154625592546,-900.9642857142617,100359.3571428571,101260.32142857136,0.9911024943136311,-0.40383876544789854,32.855221873599284,22.110166079408955,44.57268682771435,62.31954070172016,93.19991961707987,True,40.0,6.666666666666667,7,3,42.857142857142854,76.84502256241697,100.0,True,0.9980135669604403,2.7006236873065363,4.269443165310934,True,True,True,True,True,False,False,False,False,False,False,False,Gate E1: PF = 0.991 < 1.25,REJECTED,3986,0.9511668758649252,-2.28477170095332,23.33333333333333,0.0
H-217-C2,MHTP-L,H-209-C2,Long-only MHTP control: EMA50/100 EMA20 pullback SL1.5 TP3.75,2018Q2,2026Q2,25.0,0.0,7.0,0.1,1993,37,44.6,54.0,61.0,60.39393939393939,65.0,71.8,86,4.315102860010035,1.4098360655737705,0.1882140744315115,0.10400036491356111,3182.110714285661,98449.81071428563,95267.69999999997,1.0334017795568242,1.59664360977705,28.499749121926744,19.472375888690912,51.16651218870949,73.50771637315833,93.33629895601217,True,46.666666666666664,10.0,7,4,57.14285714285714,80.77931466840467,94.87664344445682,True,1.2718917293137026,3.567461331910699,5.566877495628923,True,True,True,True,True,False,False,False,False,False,True,False,Gate E1: PF = 1.033 < 1.25,REJECTED,3555,0.983604257385236,-0.8082574844283948,30.0,0.0
