id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter,entry_year
24,1881,2018-04-02 16:30:00,1881,2018-04-02 16:30:00,BUY,1335.71,1333.8157142857142,1333.8157142857142,1340.4457142857143,0.1,-19.64285714285843,-189.4285714285843,-1.0,SL,2018Q2,2018,0,2018-04-02 16:30:00,2018Q2,2018
25,1884,2018-04-02 18:00:00,1889,2018-04-02 20:30:00,BUY,1337.39,1343.5185714285715,1334.9385714285715,1343.5185714285715,0.1,60.58571428571376,612.8571428571377,2.402832861189801,TP,2018Q2,2018,5,2018-04-02 18:00:00,2018Q2,2018
26,1890,2018-04-02 21:00:00,1892,2018-04-02 22:00:00,BUY,1344.57,1340.8714285714284,1340.8714285714284,1353.8164285714286,0.1,-37.685714285715406,-369.85714285715403,-1.0,SL,2018Q2,2018,2,2018-04-02 21:00:00,2018Q2,2018
27,1962,2018-04-04 11:00:00,1969,2018-04-04 14:30:00,BUY,1339.74,1345.1828571428573,1337.5628571428572,1345.1828571428573,0.1,53.72857142857292,544.2857142857292,2.390972663700036,TP,2018Q2,2018,7,2018-04-04 11:00:00,2018Q2,2018
28,1970,2018-04-04 15:00:00,1970,2018-04-04 15:00:00,BUY,1346.92,1343.2900000000002,1343.2900000000002,1355.995,0.1,-36.99999999999882,-362.9999999999882,-1.0,SL,2018Q2,2018,0,2018-04-04 15:00:00,2018Q2,2018
29,2064,2018-04-06 16:00:00,2156,2018-04-10 16:00:00,BUY,1328.52,1339.095,1324.29,1339.095,0.1,105.05000000000045,1057.5000000000045,2.4430232558139533,TP,2018Q2,2018,92,2018-04-06 16:00:00,2018Q2,2018
30,2163,2018-04-10 19:30:00,2198,2018-04-11 14:00:00,BUY,1340.35,1348.9214285714286,1336.9214285714284,1348.9214285714286,0.1,85.01428571428669,857.1428571428669,2.4299714169047966,TP,2018Q2,2018,35,2018-04-10 19:30:00,2018Q2,2018
31,2199,2018-04-11 14:30:00,2199,2018-04-11 14:30:00,BUY,1350.93,1348.337142857143,1348.337142857143,1357.412142857143,0.1,-26.628571428571558,-259.2857142857156,-1.0,SL,2018Q2,2018,0,2018-04-11 14:30:00,2018Q2,2018
32,2201,2018-04-11 15:30:00,2206,2018-04-11 18:00:00,BUY,1351.76,1359.6323214285715,1348.6110714285714,1359.6323214285715,0.1,78.02321428571467,787.2321428571468,2.423887717741075,TP,2018Q2,2018,5,2018-04-11 15:30:00,2018Q2,2018
33,2207,2018-04-11 18:30:00,2208,2018-04-11 19:00:00,BUY,1362.98,1357.9860714285714,1357.9860714285714,1375.4648214285714,0.1,-50.63928571428569,-499.3928571428569,-1.0,SL,2018Q2,2018,1,2018-04-11 18:30:00,2018Q2,2018
34,2286,2018-04-13 12:00:00,2289,2018-04-13 13:30:00,BUY,1341.21,1338.93,1338.93,1346.91,0.1,-23.499999999999726,-227.99999999999727,-1.0,SL,2018Q2,2018,3,2018-04-13 12:00:00,2018Q2,2018
35,2296,2018-04-13 17:00:00,2310,2018-04-16 01:00:00,BUY,1343.86,1340.1260714285713,1340.1260714285713,1353.1948214285715,0.1,-38.03928571428578,-373.3928571428578,-1.0,SL,2018Q2,2018,14,2018-04-13 17:00:00,2018Q2,2018
36,2317,2018-04-16 04:30:00,2325,2018-04-16 08:30:00,BUY,1347.15,1343.7417857142857,1343.7417857142857,1355.670535714286,0.1,-34.78214285714394,-340.82142857143936,-1.0,SL,2018Q2,2018,8,2018-04-16 04:30:00,2018Q2,2018
37,2341,2018-04-16 16:30:00,2367,2018-04-17 06:30:00,BUY,1347.49,1344.5114285714285,1344.5114285714285,1354.9364285714285,0.1,-30.48571428571513,-297.8571428571513,-1.0,SL,2018Q2,2018,26,2018-04-16 16:30:00,2018Q2,2018
38,2422,2018-04-18 11:00:00,2423,2018-04-18 11:30:00,BUY,1346.24,1344.0928571428572,1344.0928571428572,1351.6078571428573,0.1,-22.17142857142853,-214.71428571428532,-1.0,SL,2018Q2,2018,1,2018-04-18 11:00:00,2018Q2,2018
39,2428,2018-04-18 14:00:00,2470,2018-04-19 12:00:00,BUY,1349.27,1346.2657142857142,1346.2657142857142,1356.7807142857146,0.1,-30.742857142857428,-300.4285714285743,-1.0,SL,2018Q2,2018,42,2018-04-18 14:00:00,2018Q2,2018
40,2476,2018-04-19 15:00:00,2476,2018-04-19 15:00:00,BUY,1350.73,1347.535,1347.535,1358.7175,0.1,-32.649999999999366,-319.49999999999363,-1.0,SL,2018Q2,2018,0,2018-04-19 15:00:00,2018Q2,2018
41,2608,2018-04-24 12:00:00,2612,2018-04-24 14:00:00,BUY,1327.78,1325.4303571428572,1325.4303571428572,1333.654107142857,0.1,-24.19642857142726,-234.9642857142726,-1.0,SL,2018Q2,2018,4,2018-04-24 12:00:00,2018Q2,2018
42,2618,2018-04-24 17:00:00,2645,2018-04-25 07:30:00,BUY,1329.96,1327.0564285714286,1327.0564285714286,1337.2189285714287,0.1,-29.735714285714675,-290.35714285714675,-1.0,SL,2018Q2,2018,27,2018-04-24 17:00:00,2018Q2,2018
43,2704,2018-04-26 14:00:00,2706,2018-04-26 15:00:00,BUY,1324.84,1322.5717857142856,1322.5717857142856,1330.5105357142859,0.1,-23.382142857142934,-226.82142857142935,-1.0,SL,2018Q2,2018,2,2018-04-26 14:00:00,2018Q2,2018
44,2750,2018-04-27 14:00:00,2753,2018-04-27 15:30:00,BUY,1319.79,1317.6375,1317.6375,1325.1712499999999,0.1,-22.22499999999918,-215.24999999999181,-1.0,SL,2018Q2,2018,3,2018-04-27 14:00:00,2018Q2,2018
45,2754,2018-04-27 16:00:00,2786,2018-04-30 09:00:00,BUY,1321.26,1318.2782142857143,1318.2782142857143,1328.7144642857143,0.1,-30.517857142857064,-298.17857142857065,-1.0,SL,2018Q2,2018,32,2018-04-27 16:00:00,2018Q2,2018
46,2809,2018-04-30 20:30:00,2813,2018-04-30 22:30:00,BUY,1318.66,1314.7267857142858,1314.7267857142858,1328.493035714286,0.1,-40.032142857142574,-393.3214285714257,-1.0,SL,2018Q2,2018,4,2018-04-30 20:30:00,2018Q2,2018
47,2903,2018-05-02 21:30:00,2903,2018-05-02 21:30:00,BUY,1312.57,1309.2635714285714,1309.2635714285714,1320.8360714285714,0.1,-33.76428571428569,-330.6428571428569,-1.0,SL,2018Q2,2018,0,2018-05-02 21:30:00,2018Q2,2018
48,2931,2018-05-03 12:30:00,2972,2018-05-04 10:00:00,BUY,1312.87,1310.5771428571427,1310.5771428571427,1318.6021428571428,0.1,-23.628571428572013,-229.28571428572013,-1.0,SL,2018Q2,2018,41,2018-05-03 12:30:00,2018Q2,2018
49,2984,2018-05-04 16:00:00,2984,2018-05-04 16:00:00,BUY,1313.44,1310.9510714285716,1310.9510714285716,1319.6623214285714,0.1,-25.589285714284596,-248.89285714284597,-1.0,SL,2018Q2,2018,0,2018-05-04 16:00:00,2018Q2,2018
50,2992,2018-05-04 20:00:00,3068,2018-05-08 12:00:00,BUY,1313.49,1309.8771428571429,1309.8771428571429,1322.5221428571426,0.1,-36.82857142857138,-361.28571428571377,-1.0,SL,2018Q2,2018,76,2018-05-04 20:00:00,2018Q2,2018
