quarter,year,trades,wins,losses,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,50,12,38,-416.5142857142792,669.642857142859,1086.1571428571388,0.6165248385526997,-8.330285714285584
2018Q3,2018,30,7,23,-254.76428571428272,357.82142857143083,612.5857142857137,0.5841165084769521,-8.492142857142758
2018Q4,2018,51,15,36,-80.49642857142611,903.5571428571408,984.0535714285675,0.9181991398551924,-1.5783613445377669
2019Q1,2019,45,16,29,21.60000000000395,756.949999999996,735.3499999999922,1.0293737675936683,0.48000000000008775
2019Q2,2019,58,21,37,274.90357142856226,1360.2642857142814,1085.3607142857197,1.253283141549376,4.7397167487683145
2019Q3,2019,41,15,26,-46.03571428570946,1268.3357142857215,1314.3714285714314,0.9649751103188956,-1.1228222996514503
2019Q4,2019,54,22,32,174.2857142857107,1232.564285714281,1058.2785714285706,1.1646879366086398,3.227513227513161
2020Q1,2020,43,14,29,-377.95000000000306,1766.3928571428528,2144.3428571428562,0.8237455364280748,-8.789534883721002
2020Q2,2020,43,12,31,-325.98571428570943,1735.3285714285735,2061.3142857142834,0.8418554043190217,-7.581063122923475
2020Q3,2020,51,19,32,543.3321428571314,2884.7214285714244,2341.3892857142923,1.2320554493745266,10.653571428571205
2020Q4,2020,44,19,25,558.0142857142861,2196.0714285714284,1638.0571428571423,1.3406561780506527,12.682142857142866
2021Q1,2021,34,11,23,-146.48928571429343,1398.1214285714257,1544.6107142857195,0.9051610322526893,-4.3085084033615715
2021Q2,2021,45,16,29,77.25000000000676,1680.3500000000067,1603.1000000000001,1.0481878859709355,1.7166666666668169
2021Q3,2021,55,13,42,-801.3999999999978,1362.242857142856,2163.6428571428532,0.6296061536429969,-14.570909090909051
2021Q4,2021,46,18,28,506.77142857144,1926.642857142865,1419.8714285714254,1.3569136038474394,11.016770186335652
2022Q1,2022,50,21,29,746.9107142857183,2507.4214285714274,1760.510714285709,1.4242579770886326,14.938214285714366
2022Q2,2022,43,11,32,-654.7321428571379,1391.221428571432,2045.9535714285698,0.6799868032195977,-15.22632890365437
2022Q3,2022,48,14,34,-199.73571428571267,1669.1714285714284,1868.9071428571415,0.8931269993540921,-4.161160714285681
2022Q4,2022,50,23,27,1005.3035714285626,2698.857142857144,1693.5535714285804,1.593606005968001,20.10607142857125
2023Q1,2023,53,21,32,803.2321428571483,2817.2142857142867,2013.9821428571372,1.39882783752871,15.155323450134874
2023Q2,2023,53,14,39,-813.7999999999963,1529.9285714285702,2343.728571428566,0.652775492042595,-15.354716981132006
2023Q3,2023,49,13,36,-402.8857142857209,1032.8428571428533,1435.7285714285745,0.719385876757441,-8.222157434402467
2023Q4,2023,59,23,36,562.9000000000008,2573.564285714294,2010.6642857142929,1.2799572280660616,9.540677966101708
2024Q1,2024,61,24,37,841.078571428586,2878.671428571436,2037.5928571428506,1.4127804867788756,13.788173302107968
2024Q2,2024,57,15,42,-1092.857142857126,2297.485714285724,3390.3428571428494,0.6776558628710162,-19.17293233082677
2024Q3,2024,54,19,35,195.79285714285783,2856.0285714285783,2660.2357142857195,1.0735998152687871,3.6257936507936637
2024Q4,2024,44,13,31,-485.24642857142754,1991.8785714285634,2477.12499999999,0.8041090261607999,-11.0283279220779
2025Q1,2025,45,13,32,-280.3500000000157,2333.6,2613.9500000000157,0.8927485223512255,-6.2300000000003495
2025Q2,2025,28,10,18,413.6000000000018,3117.6071428571304,2704.007142857128,1.1529581758289962,14.771428571428634
2025Q3,2025,38,14,24,566.7785714285617,2883.8285714285676,2317.0500000000056,1.2446121453695693,14.915225563909518
2025Q4,2025,28,10,18,-15.29285714285777,3537.9714285714344,3553.264285714292,0.9956961104175838,-0.5461734693877774
2026Q1,2026,33,15,18,2511.2571428571155,8715.857142857132,6204.600000000017,1.4047411828090623,76.09870129870046
2026Q2,2026,26,8,18,-154.21785714286943,4101.057142857138,4255.275000000008,0.9637584275651118,-5.9314560439565165
