config_id,evaluation_start,evaluation_end,total_trades,min_trades_q,median_trades_q,max_trades_q,max_q_share_pct,max_median,trade_count_gini,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd,win_rate_pct,top1_positive_q_share_pct,top3_positive_q_share_pct,top5_positive_q_share_pct,top10_positive_q_share_pct,positive_quarter_pool_applicable,rolling4_positive_pct,rolling4_pf120_pct,rolling8_positive_pct,rolling8_pf120_pct,min_full_year_trades,profitable_full_year_pct,gate_A1,gate_A2,gate_A3,gate_A4,gate_B1,gate_B2,gate_D4_1,gate_D4_2,gate_D8_1,gate_D8_2,gate_Y1,gate_Y2,gate_E1,gate_E2,all_gates_pass,primary_failure_reason,final_status,family,description,baseline_spread_pips,baseline_slippage_pips,commission_per_lot,fixed_lot
H-218-C1,2018Q2,2026Q2,2365,60,72.0,86,3.6363636363636362,1.1944444444444444,0.04592222435774232,-5894.221428571422,113813.65000000002,119707.87142857147,0.9507616219532525,-2.492271217154935,32.17758985200846,20.651189032198793,54.06822498103278,73.32705513378671,97.44228808358265,True,26.666666666666668,0.0,19.230769230769234,0.0,273,28.57142857142857,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.951 < 1.25,REJECTED,PDBC,Prev-day breakout SL1.5 RR2.0,25.0,0.0,7.0,0.1
H-218-C2,2018Q2,2026Q2,2266,56,68.0,84,3.7069726390114734,1.2352941176470589,0.04929257268180481,-828.4446428571118,120676.63392857148,121505.0785714286,0.9931818105662957,-0.3655978123817793,28.243601059135038,27.868833069310213,66.97891848879682,78.44096014322743,97.84936246251903,True,30.0,6.666666666666667,23.076923076923077,0.0,258,28.57142857142857,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.993 < 1.25,REJECTED,PDBC,Prev-day breakout SL1.5 RR2.5,25.0,0.0,7.0,0.1
H-218-C3,2018Q2,2026Q2,1968,48,59.0,73,3.709349593495935,1.2372881355932204,0.05487804878048781,853.1000000000049,130337.68571428576,129484.58571428574,1.006588429003298,0.43348577235772606,33.28252032520325,21.36000959865596,53.327988627046565,70.85598925241344,93.70169994382597,True,40.0,6.666666666666667,30.76923076923077,0.0,218,28.57142857142857,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,Gate E1: PF 1.007 < 1.25,REJECTED,PDBC,Prev-day breakout SL2.0 RR2.0,25.0,0.0,7.0,0.1
H-218-C4,2018Q2,2026Q2,1851,46,56.0,68,3.6736898973527823,1.2142857142857142,0.05170014570338719,-1424.364285714284,127984.73571428572,129409.10000000003,0.9889933220637938,-0.7695106892027467,29.875742841707186,25.705655330641424,52.42155141851658,67.95758429961948,92.66349038902183,True,50.0,3.3333333333333335,38.46153846153847,0.0,210,28.57142857142857,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.989 < 1.25,REJECTED,PDBC,Prev-day breakout SL2.0 RR2.5,25.0,0.0,7.0,0.1
H-219-C1,2018Q2,2026Q2,5216,131,157.0,179,3.431748466257669,1.1401273885350318,0.04608198549916342,6168.192857142789,256856.82857142852,250688.63571428577,1.0246049959128292,1.1825523115687862,32.285276073619634,39.13976138863228,83.22643274084699,89.09415379687272,99.36596983518452,True,20.0,3.3333333333333335,19.230769230769234,0.0,583,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,Gate E1: PF 1.025 < 1.25,REJECTED,NIC,Impulse N6 K1.5 SL1.5 RR2.0,25.0,0.0,7.0,0.1
H-219-C2,2018Q2,2026Q2,4549,105,138.0,164,3.6051879533963507,1.1884057971014492,0.042193755537347534,-7442.110714285638,212850.59999999998,220292.71071428564,0.9662171721880626,-1.6359882862795423,31.787205979336118,39.98334664898701,74.52644404579402,88.45243992672465,99.66077756393055,True,6.666666666666667,0.0,7.6923076923076925,0.0,499,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.966 < 1.25,REJECTED,NIC,Impulse N6 K2.0 SL1.5 RR2.0,25.0,0.0,7.0,0.1
H-219-C3,2018Q2,2026Q2,4591,101,137.0,158,3.4415160095839683,1.1532846715328466,0.04513441978046639,-11452.632142857132,223601.23571428575,235053.8678571429,0.9512765637627472,-2.4945833462986564,31.191461555216726,37.06537052300295,79.7379855934457,90.61660956035374,100.00000000000003,True,23.333333333333332,0.0,3.8461538461538463,0.0,508,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.951 < 1.25,REJECTED,NIC,Impulse N12 K1.5 SL1.5 RR2.0,25.0,0.0,7.0,0.1
H-219-C4,2018Q2,2026Q2,4422,110,134.0,153,3.4599728629579376,1.1417910447761195,0.04664007784767622,-11416.63928571421,214887.40714285715,226304.04642857137,0.949551766899945,-2.5817818375654022,31.863410221619176,24.403716899056967,57.046793768196544,79.5533899200916,99.99999999999997,True,13.333333333333334,0.0,0.0,0.0,496,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.950 < 1.25,REJECTED,NIC,Impulse N12 K2.0 SL1.5 RR2.0,25.0,0.0,7.0,0.1
H-220-C1,2018Q2,2026Q2,1339,31,41.0,49,3.6594473487677375,1.1951219512195121,0.06839115576979654,6444.575000000017,57688.69285714285,51244.117857142846,1.1257622390528028,4.812976101568347,31.142643764002987,35.79722525780921,79.47153975447806,96.41397023337345,100.0,True,16.666666666666664,16.666666666666664,19.230769230769234,15.384615384615385,153,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,Gate E1: PF 1.126 < 1.25,REJECTED,LMDC,Morning carry K1.0 SL1.5 RR2.0,25.0,0.0,7.0,0.1
H-220-C2,2018Q2,2026Q2,1326,30,41.0,49,3.695324283559578,1.1951219512195121,0.06951871657754011,8986.480357142935,62637.18750000006,53650.70714285712,1.1674997560277147,6.777134507649272,27.149321266968325,38.04857007988049,76.734610853534,92.20912000026654,99.50164238654621,True,16.666666666666664,16.666666666666664,19.230769230769234,11.538461538461538,151,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,Gate E1: PF 1.167 < 1.25,REJECTED,LMDC,Morning carry K1.0 SL1.5 RR2.5,25.0,0.0,7.0,0.1
