window,width_quarters,net_pnl_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,4,-1533.2928571428583,0.8362392729442083,False,False
2018Q3->2019Q2,4,-510.6357142856917,0.9446076767751933,False,False
2018Q4->2019Q3,4,-466.0464285713915,0.9573826514899437,False,False
2019Q1->2019Q4,4,-864.9249999999504,0.9243859100813733,False,False
2019Q2->2020Q1,4,-1498.4714285713897,0.9022408744293924,False,False
2019Q3->2020Q2,4,-722.1071428571261,0.9568790857060975,False,False
2019Q4->2020Q3,4,-1899.8285714285728,0.9048387425702226,False,False
2020Q1->2020Q4,4,-1186.9535714285817,0.9460164104446637,False,False
2020Q2->2021Q1,4,-75.41071428572832,0.9963895324311974,False,False
2020Q3->2021Q2,4,-1898.153571428555,0.9120890735711461,False,False
2020Q4->2021Q3,4,-1107.4357142856854,0.9393190422458715,False,False
2021Q1->2021Q4,4,-1924.4928571428286,0.8903388506680934,False,False
2021Q2->2022Q1,4,-2747.535714285659,0.8507412010627473,False,False
2021Q3->2022Q2,4,-1923.253571428558,0.895237783973246,False,False
2021Q4->2022Q3,4,-2937.296428571406,0.8487121986519841,False,False
2022Q1->2022Q4,4,-2331.892857142843,0.8807388917281642,False,False
2022Q2->2023Q1,4,-1893.9035714285565,0.8983638140502823,False,False
2022Q3->2023Q2,4,-3203.932142857126,0.8331684111963573,False,False
2022Q4->2023Q3,4,-2356.0178571428464,0.8673213528984323,False,False
2023Q1->2023Q4,4,-1603.0857142856967,0.908435465182696,False,False
2023Q2->2024Q1,4,-2058.925000000004,0.8802602749428249,False,False
2023Q3->2024Q2,4,-682.8249999999616,0.9631437259938627,False,False
2023Q4->2024Q3,4,-1707.9749999999583,0.9245969122185429,False,False
2024Q1->2024Q4,4,-1334.0678571428205,0.9471580282481951,False,False
2024Q2->2025Q1,4,-1557.17499999998,0.9441307702529153,False,False
2024Q3->2025Q2,4,-1851.203571428608,0.9491176223732966,False,False
2024Q4->2025Q3,4,-1966.7892857143333,0.949273727661297,False,False
2025Q1->2025Q4,4,-778.542857142904,0.9845863423476361,False,False
2025Q2->2026Q1,4,3535.517857142817,1.0481685049324607,True,False
2025Q3->2026Q2,4,4187.896428571416,1.0539912468329475,True,False
