config_id,evaluation_start,evaluation_end,total_trades,min_trades_q,median_trades_q,max_trades_q,max_q_share_pct,max_median,trade_count_gini,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd,win_rate_pct,top1_positive_q_share_pct,top3_positive_q_share_pct,top5_positive_q_share_pct,top10_positive_q_share_pct,positive_quarter_pool_applicable,rolling4_positive_pct,rolling4_pf120_pct,rolling8_positive_pct,rolling8_pf120_pct,min_full_year_trades,profitable_full_year_pct,gate_A1,gate_A2,gate_A3,gate_A4,gate_B1,gate_B2,gate_D4_1,gate_D4_2,gate_D8_1,gate_D8_2,gate_Y1,gate_Y2,gate_E1,gate_E2,all_gates_pass,primary_failure_reason,final_status,family,params_json,raw_trade_count_all_dates,execution_contract
H221-C1,2018Q2,2026Q2,6592,158,204.0,233,3.5345873786407767,1.142156862745098,0.045270667843483374,-42127.988832496565,239480.71288143162,281608.70171392814,0.8504023896417371,-6.390775004929697,29.88470873786408,84.38883932730438,99.27951507241019,100.0,100.0,True,0.0,0.0,0.0,0.0,719,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.850 < 1.25,REJECTED,H221_WRR,"{""RMIN"": 0.5, ""W"": 0.45}",6775,CANONICAL_V2_GAP_SAFE_V3_7_3
H221-C2,2018Q2,2026Q2,5768,145,177.0,192,3.3287101248266295,1.0847457627118644,0.041367208842937,-29475.824835664294,212007.35437704303,241483.17921270733,0.8779383933416708,-5.110233154588123,30.218446601941746,78.91287161501472,97.87427446670127,99.99999999999999,99.99999999999999,True,3.3333333333333335,0.0,0.0,0.0,660,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.878 < 1.25,REJECTED,H221_WRR,"{""RMIN"": 0.5, ""W"": 0.55}",5925,CANONICAL_V2_GAP_SAFE_V3_7_3
H221-C3,2018Q2,2026Q2,5404,134,163.0,188,3.4789045151739453,1.1533742331288344,0.046194737904582464,-30418.26058290293,189883.44348602428,220301.70406892727,0.8619245333963199,-5.628841706680779,29.58919319022946,45.14257407508918,88.47184726271774,99.99999999999999,99.99999999999999,True,0.0,0.0,0.0,0.0,606,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.862 < 1.25,REJECTED,H221_WRR,"{""RMIN"": 0.8, ""W"": 0.45}",5548,CANONICAL_V2_GAP_SAFE_V3_7_3
H221-C4,2018Q2,2026Q2,4438,108,134.0,161,3.627760252365931,1.2014925373134329,0.042060988433228176,-28170.632378999566,152677.55360175192,180848.18598075147,0.8442304951734606,-6.347596299909772,29.74312753492564,62.08770883513949,89.5189963998705,100.0,100.0,True,6.666666666666667,0.0,0.0,0.0,508,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.844 < 1.25,REJECTED,H221_WRR,"{""RMIN"": 0.8, ""W"": 0.55}",4561,CANONICAL_V2_GAP_SAFE_V3_7_3
H222-C1,2018Q2,2026Q2,4599,112,139.0,168,3.65296803652968,1.20863309352518,0.05688983771175552,-24507.31908943788,223166.98259655404,247674.30168599196,0.9010502142426187,-5.328836505639895,31.137203739943466,27.402107850063363,73.22295339540025,93.78735444626464,100.0,True,13.333333333333334,0.0,0.0,0.0,490,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.901 < 1.25,REJECTED,H222_CRE,"{""K"": 3, ""Z"": 1.5}",4739,CANONICAL_V2_GAP_SAFE_V3_7_3
H222-C2,2018Q2,2026Q2,3179,77,97.0,117,3.6804026423403586,1.2061855670103092,0.06041541555854233,-25031.095296456322,150220.56830915547,175251.66360561183,0.8571705695599752,-7.873889681175314,30.544196288140924,27.777460321698687,58.16157712942117,79.72721515109923,100.0,True,20.0,0.0,3.8461538461538463,0.0,326,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.857 < 1.25,REJECTED,H222_CRE,"{""K"": 3, ""Z"": 2.0}",3273,CANONICAL_V2_GAP_SAFE_V3_7_3
H222-C3,2018Q2,2026Q2,3543,73,107.0,130,3.66920688681908,1.2149532710280373,0.05971655590622568,-15642.102417382459,170534.66381622478,186176.76623360725,0.9159825216979256,-4.4149315318607,31.16003386960203,40.76086843308944,77.81838374096483,90.9669640855172,100.0,True,6.666666666666667,0.0,3.8461538461538463,0.0,373,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.916 < 1.25,REJECTED,H222_CRE,"{""K"": 4, ""Z"": 1.5}",3652,CANONICAL_V2_GAP_SAFE_V3_7_3
H222-C4,2018Q2,2026Q2,2677,55,82.0,100,3.735524841240194,1.2195121951219512,0.07181263512978119,-12174.686373109625,130884.29760000022,143058.98397310986,0.9148974357639919,-4.547884338105949,31.49047441165484,26.611500513938896,68.32191172124968,88.73659592253924,100.0,True,0.0,0.0,0.0,0.0,275,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.915 < 1.25,REJECTED,H222_CRE,"{""K"": 4, ""Z"": 2.0}",2759,CANONICAL_V2_GAP_SAFE_V3_7_3
H223-C1,2018Q2,2026Q2,3430,89,104.0,124,3.6151603498542273,1.1923076923076923,0.04670023853697323,-5401.939788946893,138328.76800931495,143730.70779826186,0.9624162444358864,-1.5749095594597355,30.0,45.77884782428045,82.22679780947549,96.40328941851156,99.99999999999997,True,16.666666666666664,3.3333333333333335,11.538461538461538,0.0,394,14.285714285714285,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.962 < 1.25,REJECTED,H223_IBC,"{""BUFFER"": 0.0, ""N"": 1}",3528,CANONICAL_V2_GAP_SAFE_V3_7_3
H223-C2,2018Q2,2026Q2,2896,73,87.0,104,3.591160220994475,1.1954022988505748,0.04562196551146828,-1466.3584470377846,118548.61083623921,120014.96928327701,0.9877818704133758,-0.506339242761666,30.421270718232048,42.397596470511004,80.1948043461804,98.72910900703747,100.0,True,20.0,6.666666666666667,19.230769230769234,0.0,330,28.57142857142857,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.988 < 1.25,REJECTED,H223_IBC,"{""BUFFER"": 0.1, ""N"": 1}",2980,CANONICAL_V2_GAP_SAFE_V3_7_3
