cohort,horizon,bootstrap_reps_requested,bootstrap_reps_valid,seed,ci_2_5,ci_97_5,p_mean_gt_zero_pct
H226-C1,1h,2000,2000,390226,-0.0156871802484507,0.08134996368735163,91.45
H226-C1,2h,2000,2000,390226,-0.0304951307363372,0.10742960923060194,85.2
H226-C1,4h,2000,2000,390226,-0.053303929940104244,0.13976429660787112,79.7
H226-C1,8h,2000,2000,390226,0.01664197919032983,0.2547604573707758,98.9
H226-C2,1h,2000,2000,390226,-0.025484772681688667,0.08799487048617564,83.39999999999999
H226-C2,2h,2000,2000,390226,-0.05722458819769466,0.11205120918750666,73.3
H226-C2,4h,2000,2000,390226,-0.06199228183975672,0.13382454352555334,78.3
H226-C2,8h,2000,2000,390226,0.03001566085913685,0.2827437173809802,99.35000000000001
H226-C3,1h,2000,2000,390226,-0.009603455965913273,0.08484747741816498,92.85
H226-C3,2h,2000,2000,390226,-0.04870763059202043,0.10553838414956204,77.0
H226-C3,4h,2000,2000,390226,-0.08534228591953855,0.1284150784145674,65.75
H226-C3,8h,2000,2000,390226,-0.009287120019929143,0.2380068646299902,96.5
H226-C4,1h,2000,2000,390226,-0.028931352162315863,0.0868485442480044,83.85000000000001
H226-C4,2h,2000,2000,390226,-0.08481809343078323,0.11117191362180248,57.85
H226-C4,4h,2000,2000,390226,-0.09151824586533153,0.12447864319914861,61.6
H226-C4,8h,2000,2000,390226,-0.016705602818706977,0.2882557336569535,95.7
