cohort,horizon,quarter,event_count,mean_signed_reversion_atr,positive_mean
H226-C1,2h,2018Q2,29,-0.005167221869644813,False
H226-C1,2h,2018Q3,33,0.1728489652231322,True
H226-C1,2h,2018Q4,35,-0.11671573787519215,False
H226-C1,2h,2019Q1,26,0.014422257609952647,True
H226-C1,2h,2019Q2,23,0.32965179096364117,True
H226-C1,2h,2019Q3,31,0.242374681959573,True
H226-C1,2h,2019Q4,28,-0.1288421066013649,False
H226-C1,2h,2020Q1,34,0.2827434932415734,True
H226-C1,2h,2020Q2,22,-0.008021780292032207,False
H226-C1,2h,2020Q3,28,0.209186847940294,True
H226-C1,2h,2020Q4,31,-0.11476287112298031,False
H226-C1,2h,2021Q1,20,-0.02106732943972971,False
H226-C1,2h,2021Q2,28,0.3124239568947789,True
H226-C1,2h,2021Q3,31,0.08482725428096079,True
H226-C1,2h,2021Q4,27,0.06059848630459034,True
H226-C1,2h,2022Q1,30,0.18062057139051205,True
H226-C1,2h,2022Q2,24,-0.13201709593636501,False
H226-C1,2h,2022Q3,31,-0.08321391086939968,False
H226-C1,2h,2022Q4,29,-0.025592184103711644,False
H226-C1,2h,2023Q1,27,0.14849577156242635,True
H226-C1,2h,2023Q2,21,0.06993032987718582,True
H226-C1,2h,2023Q3,15,0.0893352178499669,True
H226-C1,2h,2023Q4,28,0.5449195449281962,True
H226-C1,2h,2024Q1,20,0.1841220201854429,True
H226-C1,2h,2024Q2,21,-0.23135947503827875,False
H226-C1,2h,2024Q3,24,0.10540193002530672,True
H226-C1,2h,2024Q4,24,-0.45057937401009324,False
H226-C1,2h,2025Q1,24,0.2204186735961993,True
H226-C1,2h,2025Q2,39,-0.1623945353117611,False
H226-C1,2h,2025Q3,30,0.17425863453732168,True
H226-C1,2h,2025Q4,34,-0.2600458330682237,False
H226-C1,2h,2026Q1,34,0.09049396570875476,True
H226-C1,2h,2026Q2,32,-0.3586884525190069,False
H226-C1,4h,2018Q2,29,-0.06840708126890488,False
H226-C1,4h,2018Q3,33,-0.28582673380619417,False
H226-C1,4h,2018Q4,35,-0.13760706915812834,False
H226-C1,4h,2019Q1,26,-0.060489376654397915,False
H226-C1,4h,2019Q2,23,-0.04893383089607878,False
H226-C1,4h,2019Q3,31,0.27481886575468795,True
H226-C1,4h,2019Q4,28,0.11429335383719275,True
H226-C1,4h,2020Q1,34,0.4529565812252725,True
H226-C1,4h,2020Q2,22,0.04414700722541045,True
H226-C1,4h,2020Q3,28,-0.21279864426945624,False
H226-C1,4h,2020Q4,31,-0.38504589680484713,False
H226-C1,4h,2021Q1,20,0.02462614578356096,True
H226-C1,4h,2021Q2,28,0.42220512596763543,True
H226-C1,4h,2021Q3,31,-0.021148012042166243,False
H226-C1,4h,2021Q4,27,0.1944734847622124,True
H226-C1,4h,2022Q1,30,0.3515993979856164,True
H226-C1,4h,2022Q2,24,-0.1887883730770771,False
H226-C1,4h,2022Q3,31,-0.32303958635883395,False
H226-C1,4h,2022Q4,29,0.33785720276690295,True
H226-C1,4h,2023Q1,27,0.11572648539811352,True
H226-C1,4h,2023Q2,21,0.0989864908766113,True
H226-C1,4h,2023Q3,15,-0.06434516824031482,False
H226-C1,4h,2023Q4,28,0.311853217651591,True
H226-C1,4h,2024Q1,20,0.00470437617880172,True
H226-C1,4h,2024Q2,21,-0.3578868907384712,False
H226-C1,4h,2024Q3,24,0.16434555355254357,True
H226-C1,4h,2024Q4,24,-0.5277600080893227,False
H226-C1,4h,2025Q1,24,0.49044065296144623,True
H226-C1,4h,2025Q2,39,0.22753731393341725,True
H226-C1,4h,2025Q3,30,0.462537880476902,True
H226-C1,4h,2025Q4,34,-0.43810879966998834,False
H226-C1,4h,2026Q1,34,-0.0793645645113387,False
H226-C1,4h,2026Q2,32,0.3907740667507198,True
H226-C2,2h,2018Q2,21,0.00817305295896423,True
H226-C2,2h,2018Q3,30,0.15734811232490026,True
H226-C2,2h,2018Q4,30,-0.09288082428878765,False
H226-C2,2h,2019Q1,24,0.02272755760210281,True
H226-C2,2h,2019Q2,21,0.3497082098065928,True
H226-C2,2h,2019Q3,25,0.24586695033622583,True
H226-C2,2h,2019Q4,17,-0.13550565290818417,False
H226-C2,2h,2020Q1,29,0.07302291824568953,True
H226-C2,2h,2020Q2,19,0.07093361387177825,True
H226-C2,2h,2020Q3,22,0.18328341996430542,True
H226-C2,2h,2020Q4,23,-0.1287051789276286,False
H226-C2,2h,2021Q1,15,0.3235136173823208,True
H226-C2,2h,2021Q2,20,0.2320924945390091,True
H226-C2,2h,2021Q3,25,0.06645350962961621,True
H226-C2,2h,2021Q4,21,0.00836460350408042,True
H226-C2,2h,2022Q1,21,0.1908276654683516,True
H226-C2,2h,2022Q2,15,-0.11387093040699131,False
H226-C2,2h,2022Q3,20,0.1265097524752487,True
H226-C2,2h,2022Q4,25,-0.031033474450093534,False
H226-C2,2h,2023Q1,20,0.21257971776960635,True
H226-C2,2h,2023Q2,12,-0.04243777745674956,False
H226-C2,2h,2023Q3,12,0.14051508888158956,True
H226-C2,2h,2023Q4,23,0.5657468955130993,True
H226-C2,2h,2024Q1,15,0.2722831043725204,True
H226-C2,2h,2024Q2,19,-0.27638483462699703,False
H226-C2,2h,2024Q3,16,0.18754401974080626,True
H226-C2,2h,2024Q4,17,-0.596362001773538,False
H226-C2,2h,2025Q1,13,0.41433502856830756,True
H226-C2,2h,2025Q2,32,-0.32914912057156975,False
H226-C2,2h,2025Q3,20,0.16106149537715309,True
H226-C2,2h,2025Q4,21,-0.382492109991629,False
H226-C2,2h,2026Q1,23,-0.14815096732839608,False
H226-C2,2h,2026Q2,30,-0.3725591850750913,False
H226-C2,4h,2018Q2,21,0.18459894474741906,True
H226-C2,4h,2018Q3,30,-0.28806314240869385,False
H226-C2,4h,2018Q4,30,-0.10116291498740816,False
H226-C2,4h,2019Q1,24,-0.02434847302510673,False
H226-C2,4h,2019Q2,21,0.1644999684758463,True
H226-C2,4h,2019Q3,25,0.29905917835506296,True
H226-C2,4h,2019Q4,17,-0.019979490716789276,False
H226-C2,4h,2020Q1,29,0.1539681987949041,True
H226-C2,4h,2020Q2,19,0.07866638412909276,True
H226-C2,4h,2020Q3,22,-0.26949271932834434,False
H226-C2,4h,2020Q4,23,-0.43481875198751657,False
H226-C2,4h,2021Q1,15,0.01312504533393241,True
H226-C2,4h,2021Q2,20,0.1523406161023731,True
H226-C2,4h,2021Q3,25,0.037712542104636294,True
H226-C2,4h,2021Q4,21,0.30515385433632813,True
H226-C2,4h,2022Q1,21,0.5842719305975813,True
H226-C2,4h,2022Q2,15,-0.07184722973221278,False
H226-C2,4h,2022Q3,20,-0.18003903859420403,False
H226-C2,4h,2022Q4,25,0.19193569604894395,True
H226-C2,4h,2023Q1,20,0.17438334193582494,True
H226-C2,4h,2023Q2,12,0.0415682017477226,True
H226-C2,4h,2023Q3,12,-0.13079969494629343,False
H226-C2,4h,2023Q4,23,0.3138561443763291,True
H226-C2,4h,2024Q1,15,0.10348893639477783,True
H226-C2,4h,2024Q2,19,-0.40651611864523,False
H226-C2,4h,2024Q3,16,0.4129852851627927,True
H226-C2,4h,2024Q4,17,-0.6681904381601931,False
H226-C2,4h,2025Q1,13,0.826847413446841,True
H226-C2,4h,2025Q2,32,-0.02955847898524866,False
H226-C2,4h,2025Q3,20,0.3303454551811921,True
H226-C2,4h,2025Q4,21,-0.33476685397191086,False
H226-C2,4h,2026Q1,23,-0.30527208217849716,False
H226-C2,4h,2026Q2,30,0.3726307525801578,True
H226-C3,2h,2018Q2,27,-0.033887848356088525,False
H226-C3,2h,2018Q3,33,0.1728489652231322,True
H226-C3,2h,2018Q4,33,-0.13099510313625767,False
H226-C3,2h,2019Q1,24,-0.0010399530254664262,False
H226-C3,2h,2019Q2,23,0.32965179096364117,True
H226-C3,2h,2019Q3,30,0.2646257501032872,True
H226-C3,2h,2019Q4,28,-0.1288421066013649,False
H226-C3,2h,2020Q1,32,0.12445076603313976,True
H226-C3,2h,2020Q2,20,-0.03070463829609372,False
H226-C3,2h,2020Q3,26,0.1683186069369097,True
H226-C3,2h,2020Q4,28,-0.1525717099547397,False
H226-C3,2h,2021Q1,17,0.2605946872935923,True
H226-C3,2h,2021Q2,25,0.3161281764077368,True
H226-C3,2h,2021Q3,27,0.07271750326368133,True
H226-C3,2h,2021Q4,26,0.07297543240006449,True
H226-C3,2h,2022Q1,27,0.1816905557201219,True
H226-C3,2h,2022Q2,23,-0.13139808746503953,False
H226-C3,2h,2022Q3,27,-0.024917401490077467,False
H226-C3,2h,2022Q4,26,-0.1309357960964312,False
H226-C3,2h,2023Q1,25,0.1772149511428688,True
H226-C3,2h,2023Q2,18,0.03360526590621965,True
H226-C3,2h,2023Q3,14,0.12973125599424282,True
H226-C3,2h,2023Q4,27,0.571306647119162,True
H226-C3,2h,2024Q1,19,0.23933943792947757,True
H226-C3,2h,2024Q2,18,-0.3012947644123884,False
H226-C3,2h,2024Q3,22,0.060022219457050774,True
H226-C3,2h,2024Q4,22,-0.3983022504788899,False
