cohort,horizon,year,event_count,mean_signed_reversion_atr,positive_mean
H226-C1,2h,2019,108,0.10984264857343577,True
H226-C1,2h,2020,115,0.10205549862004025,True
H226-C1,2h,2021,106,0.1187955492188013,True
H226-C1,2h,2022,114,-0.009399980146635326,False
H226-C1,2h,2023,91,0.24259009104775175,True
H226-C1,2h,2024,89,-0.1062962609857289,False
H226-C1,2h,2025,127,-0.03667037794527442,False
H226-C1,4h,2019,108,0.08353145224270896,True
H226-C1,4h,2020,115,-0.013243712346754253,False
H226-C1,4h,2021,106,0.15952322790601506,True
H226-C1,4h,2022,114,0.050883269200306815,True
H226-C1,4h,2023,91,0.14252795587689812,True
H226-C1,4h,2024,89,-0.1813874616945456,False
H226-C1,4h,2025,127,0.15452730818901914,True
H226-C2,2h,2019,87,0.13485530399259116,True
H226-C2,2h,2020,93,0.04878945609212954,True
H226-C2,2h,2021,81,0.13989566130668007,True
H226-C2,2h,2022,81,0.05004537292571791,True
H226-C2,2h,2023,67,0.2752343386461417,True
H226-C2,2h,2024,67,-0.1239479851734684,False
H226-C2,2h,2025,86,-0.1157851266184114,False
H226-C2,4h,2019,87,0.11502257588599277,True
H226-C2,4h,2020,93,-0.10720357051001586,False
H226-C2,4h,2021,81,0.13079916661401536,True
H226-C2,4h,2022,81,0.15295819414698186,True
H226-C2,4h,2023,67,0.14381463046252566,True
H226-C2,4h,2024,67,-0.16302903126054186,False
H226-C2,4h,2025,86,0.10906918857551964,True
H226-C3,2h,2019,105,0.11322119845536142,True
H226-C3,2h,2020,106,0.032760449516656014,True
H226-C3,2h,2021,95,0.1704636623653217,True
H226-C3,2h,2022,103,-0.021297199475649703,False
H226-C3,2h,2023,84,0.265199828821672,True
H226-C3,2h,2024,81,-0.10269156939806641,False
H226-C3,2h,2025,122,-0.060324113254278826,False
H226-C3,4h,2019,105,0.09972062052890181,True
H226-C3,4h,2020,106,-0.10205900734780454,False
H226-C3,4h,2021,95,0.15957608848570615,True
H226-C3,4h,2022,103,0.024615769491796974,True
H226-C3,4h,2023,84,0.18688851340279738,True
H226-C3,4h,2024,81,-0.2526091233828559,False
H226-C3,4h,2025,122,0.14066736013489972,True
H226-C4,2h,2019,84,0.13997180046711094,True
H226-C4,2h,2020,84,-0.044361372332988626,False
H226-C4,2h,2021,71,0.15362224468465707,True
H226-C4,2h,2022,71,0.049944551312769744,True
H226-C4,2h,2023,60,0.3106964670827755,True
H226-C4,2h,2024,60,-0.11241608058820526,False
H226-C4,2h,2025,82,-0.14549689409779432,False
H226-C4,4h,2019,84,0.1363837192309939,True
H226-C4,4h,2020,84,-0.22934714186216695,False
H226-C4,4h,2021,71,0.09867242681087651,True
H226-C4,4h,2022,71,0.15631086069411426,True
H226-C4,4h,2023,60,0.20606952303377452,True
H226-C4,4h,2024,60,-0.19309439789993527,False
H226-C4,4h,2025,82,0.07903094079035407,True
