config_id,old_total_trades,new_total_trades,old_pf,new_pf,old_expectancy,new_expectancy,old_long_pf,new_long_pf,old_short_pf,new_short_pf,old_top3,new_top3,old_top5,new_top5,old_final_status,new_final_status,status_changed,reason
H-209-C1,3986,3986,0.9484108116806969,0.9511668758649251,-2.423371630809984,-2.28477170095332,0.9956504184445674,0.9898065252078464,0.8937596215259295,0.9055674891001166,N/A (-999),58.0%,N/A (-999),77.5%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-209-C2,3555,3555,0.977462488635204,0.983604257385236,-1.116858783995022,-0.8082574844283948,1.0343131768909954,1.0298859306582924,0.9116519837990829,0.928829626781773,N/A (-999),35.9%,N/A (-999),54.1%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-209-C3,2796,2796,1.012917765366418,1.0108966426166413,0.7939805149617599,0.6680410790926085,1.0940838987114292,1.085542875354877,0.919344659251817,0.9236433835291824,433.7%,47.4%,574.0%,62.7%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-209-C4,2524,2524,0.9861145783163928,0.9876472179533973,-0.9069808938179076,-0.8040383744622833,1.0880645519275618,1.0830475907516823,0.8707142776504591,0.8776216607301243,N/A (-999),44.8%,N/A (-999),65.1%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-210-C1,5415,5415,0.8591512577995142,0.8624689814694245,-6.725745866283242,-6.558452710724171,0.938171352026974,0.9530668671788759,0.7909011906072966,0.7852442508022636,N/A (-999),96.9%,N/A (-999),100.0%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-210-C2,4946,4946,0.880996443925536,0.8828958179910682,-6.154415405390223,-6.05095170700713,0.9452673124464728,0.9558919613938546,0.8242319089737954,0.8193739536917397,N/A (-999),62.5%,N/A (-999),85.9%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-210-C3,4180,4180,0.8877253497280486,0.8847601253767552,-5.387665967854653,-5.5440746753246755,0.9803046126830788,0.980928563859021,0.8109023049998217,0.8054441187851336,N/A (-999),89.5%,N/A (-999),100.0%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-210-C4,3925,3925,0.8829511511265754,0.8848024373727588,-6.172562597531583,-6.076981801637871,0.960456735147776,0.9648004820287714,0.8170115474891342,0.8172721540118351,N/A (-999),58.1%,N/A (-999),85.0%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-211-C1,5069,5069,0.8584168262844556,0.8548916640435349,-7.217137920631885,-7.399828791252164,0.9523663813807128,0.9549894501729954,0.7733260448267758,0.7651089436068725,N/A (-999),75.4%,N/A (-999),98.7%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-211-C2,4371,4371,0.8729684073753995,0.8650492315925151,-6.983008501509626,-7.4276992025362105,0.975146163434706,0.9679628899163174,0.7817630111162394,0.7739030667573331,N/A (-999),62.5%,N/A (-999),88.5%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-211-C3,4025,4025,0.85289690998936,0.8492110802925655,-7.777670582138524,-7.958671694764852,0.9367543897911746,0.9416785966127199,0.7784192251744391,0.7679785390662496,N/A (-999),86.3%,N/A (-999),100.0%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
