Trade_ID,Entry_Time,Date,Sub_Engine,Type,Entry_Price,Exit_Price,PnL_USD,Balance_USD
1,2022-07-28 15:00:00,2022-07-28,CP95_PinbarKeltnerBuy,BUY,1744.49,1755.35,16.75,1016.75
2,2022-07-28 17:00:00,2022-07-28,CP95_PinbarKeltnerBuy,BUY,1755.06,1768.11,17.17,1033.92
3,2022-07-28 17:00:00,2022-07-28,CP95_Donchian5Buy,BUY,1755.06,1767.52,16.67,1050.59
4,2022-07-28 17:00:00,2022-07-28,CP95_Donchian7Buy,BUY,1755.06,1767.64,17.1,1067.69
5,2022-07-28 17:00:00,2022-07-28,CP95_Donchian10Buy,BUY,1755.06,1767.82,17.62,1085.31
6,2022-07-28 17:00:00,2022-07-28,CP95_Donchian12Buy,BUY,1755.06,1767.99,18.16,1103.47
7,2022-07-28 17:00:00,2022-07-28,CP95_Donchian15Buy,BUY,1755.06,1768.11,18.64,1122.11
8,2022-07-28 17:00:00,2022-07-28,CP95_Donchian20Buy,BUY,1755.06,1768.71,18.08,1140.19
9,2022-07-28 17:00:00,2022-07-28,CP95_Donchian3Buy,BUY,1755.06,1767.52,18.38,1158.57
10,2022-08-10 15:00:00,2022-08-10,CP95_Donchian5Buy,BUY,1797.2,1792.87,-9.27,1149.3
11,2022-08-10 15:00:00,2022-08-10,CP95_Donchian7Buy,BUY,1797.2,1792.87,-9.19,1140.1
12,2022-08-10 15:00:00,2022-08-10,CP95_Donchian10Buy,BUY,1797.2,1792.87,-9.12,1130.98
13,2022-08-10 15:00:00,2022-08-10,CP95_Donchian12Buy,BUY,1797.2,1792.87,-9.05,1121.93
14,2022-08-10 15:00:00,2022-08-10,CP95_Donchian15Buy,BUY,1797.2,1792.87,-8.98,1112.96
15,2022-08-10 15:00:00,2022-08-10,CP95_Donchian3Buy,BUY,1797.2,1792.87,-8.9,1104.06
16,2022-10-03 19:00:00,2022-10-03,CP95_PinbarKeltnerBuy,BUY,1691.08,1705.38,18.71,1122.77
17,2022-10-03 22:00:00,2022-10-03,CP95_Donchian20Buy,BUY,1700.55,1717.06,18.2,1140.97
18,2022-11-10 22:00:00,2022-11-10,CP95_Donchian20Buy,BUY,1755.51,1747.55,-9.13,1131.84
19,2022-11-11 10:00:00,2022-11-11,CP95_PinbarKeltnerBuy,BUY,1765.23,1759.49,-9.05,1122.79
20,2022-11-11 10:00:00,2022-11-11,CP95_Donchian5Buy,BUY,1765.23,1759.49,-8.98,1113.81
21,2022-11-11 10:00:00,2022-11-11,CP95_Donchian7Buy,BUY,1765.23,1759.49,-8.91,1104.9
22,2022-11-11 10:00:00,2022-11-11,CP95_Donchian10Buy,BUY,1765.23,1759.49,-8.84,1096.06
23,2022-11-11 10:00:00,2022-11-11,CP95_Donchian12Buy,BUY,1765.23,1759.49,-8.77,1087.29
24,2022-11-11 10:00:00,2022-11-11,CP95_Donchian15Buy,BUY,1765.23,1759.49,-8.7,1078.59
25,2022-11-11 10:00:00,2022-11-11,CP95_Donchian20Buy,BUY,1765.23,1758.94,-8.63,1069.96
26,2022-11-11 10:00:00,2022-11-11,CP95_Donchian3Buy,BUY,1765.23,1759.49,-8.56,1061.4
27,2022-11-30 20:00:00,2022-11-30,CP95_Donchian3Buy,BUY,1760.31,1771.89,17.06,1078.46
28,2022-11-30 22:00:00,2022-11-30,CP95_PinbarKeltnerBuy,BUY,1769.77,1783.67,18.26,1096.72
29,2022-11-30 22:00:00,2022-11-30,CP95_Donchian5Buy,BUY,1769.77,1783.04,17.72,1114.44
30,2022-11-30 22:00:00,2022-11-30,CP95_Donchian7Buy,BUY,1769.77,1783.17,18.18,1132.62
31,2022-11-30 22:00:00,2022-11-30,CP95_Donchian10Buy,BUY,1769.77,1783.35,18.74,1151.36
32,2022-11-30 22:00:00,2022-11-30,CP95_Donchian12Buy,BUY,1769.77,1783.54,19.32,1170.68
33,2022-11-30 22:00:00,2022-11-30,CP95_Donchian15Buy,BUY,1769.77,1783.67,19.82,1190.5
34,2022-11-30 22:00:00,2022-11-30,CP95_Donchian20Buy,BUY,1769.77,1784.3,19.22,1209.72
35,2022-11-30 22:00:00,2022-11-30,CP95_Donchian3Buy,BUY,1769.77,1783.04,19.55,1229.27
36,2022-12-07 21:00:00,2022-12-07,CP95_Donchian20Buy,BUY,1789.74,1783.51,-9.83,1219.44
37,2022-12-13 21:00:00,2022-12-13,CP95_PinbarKeltnerBuy,BUY,1811.33,1803.62,-9.76,1209.68
38,2023-01-06 18:00:00,2023-01-06,CP95_PinbarKeltnerBuy,BUY,1863.33,1877.08,20.47,1230.15
39,2023-01-06 18:00:00,2023-01-06,CP95_Donchian5Buy,BUY,1863.33,1876.46,19.87,1250.02
40,2023-01-06 18:00:00,2023-01-06,CP95_Donchian7Buy,BUY,1863.33,1876.58,20.39,1270.41
